N_fit,N_cal,prevalence,AUROC,P_certify,modal_q,median_coverage_when_certified,label
670,448,0.02,0.6,0.737,1.0,1.0,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.02,0.65,0.816,1.0,1.0,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.02,0.7,0.898,1.0,1.0,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.02,0.75,0.958,1.0,1.0,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.02,0.8,0.991,1.0,1.0,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.02,0.85,0.998,1.0,1.0,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.02,0.9,1.0,1.0,1.0,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.02,0.95,1.0,1.0,1.0,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.02,0.98,1.0,1.0,1.0,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.03,0.6,0.305,1.0,0.9404587402046275,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.03,0.65,0.429,1.0,0.8799091604427314,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.03,0.7,0.61,1.0,0.8491109762718154,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.03,0.75,0.777,0.95,0.8655789416801477,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.03,0.8,0.927,0.95,0.8950571343954091,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.03,0.85,0.989,0.95,0.9369005168123833,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.03,0.9,1.0,0.95,0.9471000548581539,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.03,0.95,1.0,0.95,0.951118341141892,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.03,0.98,1.0,0.95,0.9514781411433655,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.05,0.6,0.03,0.65,0.6147762407540356,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.05,0.65,0.073,0.5,0.5469781036471346,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.05,0.7,0.16,0.55,0.5868220919375438,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.05,0.75,0.36,0.6,0.605695220657163,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.05,0.8,0.618,0.75,0.6817410506925112,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.05,0.85,0.855,0.8,0.7848746211230797,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.05,0.9,0.977,0.9,0.8605996214150129,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.05,0.95,1.0,0.95,0.9181690693657327,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.05,0.98,1.0,0.95,0.9467646426061873,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
670,448,0.075,0.6,0.004,0.35,0.3823263952215309,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy"
