path,category,N_fit,N_cal,cal_disagreements,cal_dis_rate,N_dev,q,cal_n,cal_k,cal_p,dev_coverage,dev_n,dev_k,dev_rate,dev_CP_lo,dev_CP_hi,q_delta_over_14,min_p,min_p_q,min_p_n,min_p_k,label,cal_n_delta_over_14,cal_k_delta_over_14,cal_p_delta_over_14,dev_coverage_delta_over_14,dev_n_delta_over_14,dev_k_delta_over_14,dev_rate_delta_over_14,dev_CP_lo_delta_over_14,dev_CP_hi_delta_over_14
Text,biology,163,327,33,0.10091743119266056,144,0.6,201,1,0.0003855793287371156,0.6458333333333334,93,1,0.010752688172043012,0.00027219744200713874,0.058458164514380385,fallback,0.0003855793287371156,0.6,201,1,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,,,,,,
Text,business,201,401,91,0.22693266832917705,177,fallback,,,,,,,,,,fallback,0.024067594799104572,0.25,110,1,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,,,,,,
Text,chemistry,292,583,161,0.27615780445969124,257,fallback,,,,,,,,,,fallback,0.09918726248514663,0.2,105,2,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,,,,,,
Text,computer science,105,211,48,0.22748815165876776,93,fallback,,,,,,,,,,fallback,0.11451369084827127,0.4,73,1,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,,,,,,
Text,economics,216,432,63,0.14583333333333334,190,0.45,198,1,0.0004435881951302423,0.5105263157894737,97,0,0.0,0.0,0.03731563690873607,fallback,0.0004435881951302423,0.45,198,1,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,,,,,,
Text,engineering,250,499,101,0.20240480961923848,220,0.35,191,1,0.0006147156981509809,0.4636363636363636,102,5,0.049019607843137254,0.016105818843923623,0.11069566263552737,fallback,0.0006147156981509809,0.35,191,1,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,,,,,,
Text,health,176,352,66,0.1875,155,fallback,,,,,,,,,,fallback,0.009114634216403962,0.4,132,1,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,,,,,,
Text,history,98,197,24,0.1218274111675127,86,fallback,,,,,,,,,,fallback,0.00805413485829669,0.4,94,0,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,,,,,,
Text,law,247,495,128,0.2585858585858586,217,fallback,,,,,,,,,,fallback,0.03386553563803232,0.05,66,0,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,,,,,,
Text,math,347,693,202,0.29148629148629146,305,fallback,,,,,,,,,,fallback,0.40932891307369734,0.2,124,5,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,,,,,,
Text,other,238,476,115,0.2415966386554622,210,fallback,,,,,,,,,,fallback,0.011389302461836089,0.3,127,1,"POST-HOC descriptive re-analysis (E17, PREREG.md); does not change any deployed policy",,,,,,,,,
