check,expected,observed,status,source
(0) small/OBQA/Text: certification recomputed (deployed q; 0 = fallback),0.0,0.0,PASS,stored thresholds + cal records
(0) small/OBQA/C2C: certification recomputed (deployed q; 0 = fallback),0.0,0.0,PASS,stored thresholds + cal records
(0) small/ARC/Text: certification recomputed (deployed q; 0 = fallback),0.0,0.0,PASS,stored thresholds + cal records
(0) small/ARC/C2C: certification recomputed (deployed q; 0 = fallback),0.0,0.0,PASS,stored thresholds + cal records
(0) medium/OBQA/Text: certification recomputed (deployed q; 0 = fallback),0.0,0.0,PASS,stored thresholds + cal records
(0) medium/OBQA/C2C: certification recomputed (deployed q; 0 = fallback),0.55,0.55,PASS,stored thresholds + cal records
(0) medium/ARC/Text: certification recomputed (deployed q; 0 = fallback),0.0,0.0,PASS,stored thresholds + cal records
(0) medium/ARC/C2C: certification recomputed (deployed q; 0 = fallback),0.6,0.6,PASS,stored thresholds + cal records
(0) large/OBQA/Text: certification recomputed (deployed q; 0 = fallback),0.8,0.8,PASS,stored thresholds + cal records
(0) large/OBQA/C2C: certification recomputed (deployed q; 0 = fallback),0.8,0.8,PASS,stored thresholds + cal records
(0) large/ARC/Text: certification recomputed (deployed q; 0 = fallback),0.95,0.95,PASS,stored thresholds + cal records
(0) large/ARC/C2C: certification recomputed (deployed q; 0 = fallback),0.9,0.9,PASS,stored thresholds + cal records
(0) large/MMLU-Pro/Text: certification recomputed (deployed q; 0 = fallback),0.4,0.4,PASS,stored thresholds + cal records
(0) large/MMLU-Pro/C2C: certification recomputed (deployed q; 0 = fallback),0.4,0.4,PASS,stored thresholds + cal records
(0) small/MMLU-Pro/Text: certification recomputed (deployed q; 0 = fallback),0.0,0.0,PASS,stored thresholds + cal records
(0) small/MMLU-Pro/C2C: certification recomputed (deployed q; 0 = fallback),0.0,0.0,PASS,stored thresholds + cal records
(0) medium/MMLU-Pro/Text: certification recomputed (deployed q; 0 = fallback),0.0,0.0,PASS,stored thresholds + cal records
(0) medium/MMLU-Pro/C2C: certification recomputed (deployed q; 0 = fallback),0.0,0.0,PASS,stored thresholds + cal records
(0) large/OBQA/Text+fact: certification recomputed (deployed q; 0 = fallback),0.75,0.75,PASS,stored thresholds + cal records
(0) X1-Llama/OBQA/Text: certification recomputed (deployed q; 0 = fallback),0.0,0.0,PASS,stored thresholds + cal records
(0) X1-Llama/OBQA/C2C: certification recomputed (deployed q; 0 = fallback),0.0,0.0,PASS,stored thresholds + cal records
(0) X1-Llama/ARC/Text: certification recomputed (deployed q; 0 = fallback),0.0,0.0,PASS,stored thresholds + cal records
(0) X1-Llama/ARC/C2C: certification recomputed (deployed q; 0 = fallback),0.0,0.0,PASS,stored thresholds + cal records
(0) X2-OLMo/OBQA/Text: certification recomputed (deployed q; 0 = fallback),0.0,0.0,PASS,stored thresholds + cal records
(0) X2-OLMo/ARC/Text: certification recomputed (deployed q; 0 = fallback),0.0,0.0,PASS,stored thresholds + cal records
(0) X2-OLMo/MMLU-Pro/Text: certification recomputed (deployed q; 0 = fallback),0.0,0.0,PASS,stored thresholds + cal records
(0) X3-Llama8B/OBQA/Text: certification recomputed (deployed q; 0 = fallback),0.6,0.6,PASS,stored thresholds + cal records
(0) X3-Llama8B/OBQA/Text: thresholds = fit order statistics (X3 analyze_x3 rule),true,true,PASS,by construction
(0) X3-Llama8B/ARC/Text: certification recomputed (deployed q; 0 = fallback),0.7,0.7,PASS,stored thresholds + cal records
(0) X3-Llama8B/ARC/Text: thresholds = fit order statistics (X3 analyze_x3 rule),true,true,PASS,by construction
(1) large/OBQA/Text: dev omitted/changed vs E14_2_zero_u.csv,"[572, 19]","[572, 19]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
(1) large/OBQA/C2C: dev omitted/changed vs E14_2_zero_u.csv,"[572, 13]","[572, 13]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
(1) large/ARC/Text: dev omitted/changed vs E14_2_zero_u.csv,"[284, 9]","[284, 9]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
(1) large/ARC/C2C: dev omitted/changed vs E14_2_zero_u.csv,"[270, 3]","[270, 3]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
(1) large/MMLU-Pro/Text: dev omitted/changed vs E14_2_zero_u.csv,"[1069, 40]","[1069, 40]",PASS,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv
