row,policy,configuration,N,tau,tau_source,u_source,route_source,route_mismatches_vs_u_le_tau,n_omitted,n_u0_omitted,n_upos_omitted,n_routed,n_u0_routed,part_u0_ms,part_u0_CI95_lo,part_u0_CI95_hi,part_upos_ms,part_upos_CI95_lo,part_upos_CI95_hi,part_routed_ms,part_routed_CI95_lo,part_routed_CI95_hi,net_ms,net_CI95_lo,net_CI95_hi,net_interval_excludes_0,gross_share_upos,upos_share_of_net,mean_saving_u0_omitted_ms,mean_saving_upos_omitted_ms,mean_saving_routed_ms,recomposed_u0_only_ms,recomposed_CI95_lo,recomposed_CI95_hi,recomposed_label,probe_source,mean_probe_upos_omitted_ms,source,label
large/OBQA/Text,large/OBQA/Text,original (Table 2),128,0.001170039176940918,frozen deployment threshold (record has no threshold field),"policy request probe.ProbeMax (online probe of this replay, as stored)",policy request 'selected' (omitted iff == 'R'),0,97,60,37,31,0,332.8701417740376,265.07865947710343,397.28694834807357,194.5490829039045,131.45151932267254,262.04618068554737,-10.292928738635965,-13.618822585203816,-7.201850666069731,517.1262959393061,447.76240365922604,583.5989186702591,True,0.36886991182906154,0.376211932039786,710.1229691179469,673.034665181075,-42.49983479178721,294.8757760532317,211.5130342775501,372.4339948688794,recomposed (not a replay): omitted u>0 questions assigned policy_i = fixed_i + probe_i,logged per request (parts_ms.probe_ms),95.83199820858803,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/C2C,large/OBQA/C2C,original (Table 2),128,0.001170039176940918,frozen deployment threshold (record has no threshold field),"policy request probe.ProbeMax (online probe of this replay, as stored)",policy request 'selected' (omitted iff == 'R'),0,97,60,37,31,0,29.0959323720017,14.134898434122078,45.67675361722648,17.700762147796922,7.434781534357171,29.966510477561307,-10.221406011623912,-13.476047918311451,-7.207190927238118,36.57528850817471,18.015153644773818,56.77256611406846,True,0.3782481290491176,0.48395413596917325,62.07132239360362,61.235069051838,-42.2045151447697,6.6948986968782265,-9.542665590151955,24.821257977055204,recomposed (not a replay): omitted u>0 questions assigned policy_i = fixed_i + probe_i,logged per request (parts_ms.probe_ms),42.134928133187664,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/Text,large/ARC/Text,original (Table 2),128,0.01800704002380371,frozen deployment threshold (record has no threshold field),"policy request probe.ProbeMax (online probe of this replay, as stored)",policy request 'selected' (omitted iff == 'R'),0,120,93,27,8,0,557.3421346944087,490.71358085752763,622.770789777951,163.05458941860707,108.04386046347645,221.6280791985355,-2.767962807411095,-4.834743654964768,-1.03821973666527,717.6287613056047,670.6139493022874,763.2107882986928,True,0.22633999289678483,0.22721300790948887,767.0945509772507,772.9995350215446,-44.28740491857752,545.6072028591734,476.06609874083006,614.0202788410988,recomposed (not a replay): omitted u>0 questions assigned policy_i = fixed_i + probe_i,logged per request (parts_ms.probe_ms),42.51007539116674,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/C2C,large/ARC/C2C,original (Table 2),128,0.0007095932960510254,frozen deployment threshold (record has no threshold field),"policy request probe.ProbeMax (online probe of this replay, as stored)",policy request 'selected' (omitted iff == 'R'),0,115,93,22,13,0,94.6881481741002,68.17220146981526,121.27099617378008,20.46975216399005,4.868395501353007,37.821752166883016,-4.222955662044114,-6.5588235770064784,-2.121634757941138,110.93494467604614,81.95591963353763,142.82876717547876,True,0.17775378071233697,0.18452032606827473,130.32347275575083,119.09673986321485,-41.579871133972816,83.20175062726776,55.177672645731946,110.99404218621201,recomposed (not a replay): omitted u>0 questions assigned policy_i = fixed_i + probe_i,logged per request (parts_ms.probe_ms),42.26002551149577,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/MMLU-Pro/Text,large/MMLU-Pro/Text,original (Table 2),128,3.838539123535156e-05,record threshold field,"policy request probe.ProbeMax (online probe of this replay, as stored)",policy request 'selected' (omitted iff == 'R'),0,48,30,18,80,0,204.52217719503096,140.1222882535876,272.2808436837567,143.98701012760284,82.03170453807616,215.42226016440506,-2.193500189605402,-32.52464145020895,55.29554832392018,346.3156871330284,249.8286115142946,442.9725224629692,True,0.41315126075659603,0.41576808523921666,872.6279560321321,1023.9076275740647,-3.509600303368643,195.978522851874,113.60442827231054,287.02839682205183,recomposed (not a replay): omitted u>0 questions assigned policy_i = fixed_i + probe_i,logged per request (parts_ms.online_probe_ms),45.15665175858885,$DATA_DIR/P2_MMLU_PRO_E2E_STAGE2_20260916T212147Z/records/four_arm_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/MMLU-Pro/C2C,large/MMLU-Pro/C2C,original (Table 2),128,3.838539123535156e-05,record threshold field,"policy request probe.ProbeMax (online probe of this replay, as stored)",policy request 'selected' (omitted iff == 'R'),0,48,30,18,80,0,23.214978205942316,0.9434894138848905,49.88931713523924,11.643436817394104,-3.195430195910376,33.3840778951071,-26.615478675012127,-31.895600639791155,-20.41005356527422,8.242936348324292,-20.510967994323437,44.02031206291207,False,0.3340208328347475,1.4125350876646159,99.05057367868721,82.79777292369141,-42.584765880019404,-9.775313637874206,-33.66886733801948,17.895789310796314,recomposed (not a replay): omitted u>0 questions assigned policy_i = fixed_i + probe_i,logged per request (parts_ms.online_probe_ms),45.33200475594236,$DATA_DIR/P2_MMLU_PRO_E2E_STAGE2_20260916T212147Z/records/four_arm_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
medium/OBQA/C2C q=.55,medium/OBQA/C2C q=.55,original (Table 2),128,1.3113021850585938e-06,record threshold field,"policy request probe.ProbeMax (online probe of this replay, as stored)",policy request 'selected' (omitted iff == 'R'),0,66,55,11,62,0,67.04691601953527,52.582068718766095,83.29965342591093,9.367121108880383,4.378337732896398,15.827534521213236,3.2450718372274423,-18.48073528185523,44.58725695626526,79.6591089656431,48.086896885524766,129.10239917268876,True,0.12258377466876547,0.11759008141705946,156.03645910000935,108.99922744878991,6.699503147824397,67.44504490416148,35.6203033955353,115.20567946745359,recomposed (not a replay): omitted u>0 questions assigned policy_i = fixed_i + probe_i,logged per request (parts_ms.online_probe_ms),33.12806344845078,$DATA_DIR/P2_MEDIUM_PAIR_E2E_STAGE2_20260915T205303Z/records/e2e_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
medium/ARC/C2C,medium/ARC/C2C,original (Table 2),128,3.5762786865234375e-07,record threshold field,"policy request probe.ProbeMax (online probe of this replay, as stored)",policy request 'selected' (omitted iff == 'R'),0,77,70,7,51,0,105.63640215150372,80.81776780163636,136.676098977523,8.344011946974206,2.019576757447794,16.85351321029884,-13.320289226612658,-16.166573341661206,-10.381589639564481,100.66012487186526,74.4974185454339,133.12655095660375,True,0.07320566443779598,0.08289292267018016,193.1637067913211,152.5762184589569,-33.43131413738079,90.48615393476211,63.466142012930504,123.06138560088583,recomposed (not a replay): omitted u>0 questions assigned policy_i = fixed_i + probe_i,logged per request (parts_ms.online_probe_ms),33.462107248072115,$DATA_DIR/P2_MEDIUM_PAIR_E2E_STAGE2_20260915T205303Z/records/e2e_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/Text+fact,large/OBQA/Text+fact,"second (E6 replay, ClusterA)",128,0.0002611875534057617,record threshold field,"policy request probe.ProbeMax (online probe of this replay, as stored)",policy request 'selected' (omitted iff == 'R'),0,92,60,32,36,0,224.4844341166754,179.15375454495006,268.490096926098,124.28923621519061,86.1414174688889,164.84629283977483,-5.345760226191487,-11.043203370763877,4.1359644052590525,343.4279101056745,297.7048677665607,385.9620618798999,True,0.35636071982419604,0.36190779071201923,478.9001261155742,497.15694486076245,-19.007147470903064,211.16613868071,162.00048992986922,258.00549937680444,recomposed (not a replay): omitted u>0 questions assigned policy_i = fixed_i + probe_i,logged per request (parts_ms.probe_ms),31.890140839095693,$DATA_DIR/P2_R2_E7_20260919T231531Z/e6replay/records_e6/e6_replay_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
Llama-3.1-8B/OBQA/Text,Llama-3.1-8B/OBQA/Text,"second (E16-4, ClusterA)",128,0.009371757507324219,frozen deployment threshold (record has no threshold field),"policy request probe.ProbeMax (online probe of this replay, as stored)",policy request 'selected' (omitted iff == 'R'),0,76,0,76,52,0,0.0,0.0,0.0,337.59650605134084,284.8945091284804,388.07906747174457,-18.995636150066275,-30.471268015389796,-11.628821080694255,318.60086990127456,261.09326909677293,372.13898995200907,True,1.0,1.0596220473470537,nan,568.5835891391004,-46.75848898477852,-37.6957660773769,-48.2938290542279,-31.669496034328404,recomposed (not a replay): omitted u>0 questions assigned policy_i = fixed_i + probe_i,logged per request (parts_ms.probe_ms),31.494955667049478,$DATA_DIR/P2_R7_E16_20260921T184114Z/replay_llama/records/e2e_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
