policy,population,N,u0_n0,u0_coverage,u0_k0,u0_change_rate,upos_n,upos_coverage,upos_k,upos_change_rate,source,label
large/OBQA/Text,dev,742,354,0.477088948787062,2,0.005649717514124294,218,0.29380053908355797,17,0.0779816513761468,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/Text,held-out,744,346,0.4650537634408602,1,0.002890173410404624,249,0.3346774193548387,11,0.04417670682730924,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/C2C,dev,742,354,0.477088948787062,1,0.002824858757062147,218,0.29380053908355797,12,0.05504587155963303,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/C2C,held-out,744,346,0.4650537634408602,2,0.005780346820809248,249,0.3346774193548387,11,0.04417670682730924,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/Text,dev,299,217,0.725752508361204,0,0.0,67,0.22408026755852842,9,0.13432835820895522,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/Text,sealed,1172,837,0.7141638225255973,0,0.0,263,0.22440273037542663,20,0.07604562737642585,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/C2C,dev,299,217,0.725752508361204,1,0.004608294930875576,53,0.17725752508361203,2,0.03773584905660377,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/C2C,sealed,1172,837,0.7141638225255973,0,0.0,210,0.17918088737201365,11,0.05238095238095238,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
medium/OBQA/C2C q=.55,dev,742,321,0.4326145552560647,7,0.021806853582554516,69,0.09299191374663072,4,0.057971014492753624,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
medium/OBQA/C2C q=.55,held-out,744,306,0.4112903225806452,5,0.016339869281045753,82,0.11021505376344086,3,0.036585365853658534,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
medium/OBQA/C2C q=.50,dev,742,321,0.4326145552560647,7,0.021806853582554516,34,0.04582210242587601,0,0.0,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
medium/OBQA/C2C q=.50,held-out,744,306,0.4112903225806452,5,0.016339869281045753,40,0.053763440860215055,1,0.025,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
medium/ARC/C2C,dev,299,174,0.5819397993311036,1,0.005747126436781609,15,0.05016722408026756,3,0.2,$DATA_DIR/P2_R6_E14_20260921T052241Z/results/E14_2_zero_u.csv,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
