policy,split,n_omitted,k,both_parse_differ,only_R_INVALID,only_ref_INVALID,exactly_one_INVALID,share_exactly_one_INVALID,both_INVALID_agreement,source,label
large/OBQA/Text,dev,572,19,19,0,0,0,0.0,0,E17 loader (e17_common.load) -> E13/E11 frozen V2 labels,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/C2C,dev,572,13,13,0,0,0,0.0,0,E17 loader (e17_common.load) -> E13/E11 frozen V2 labels,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/Text,dev,284,9,9,0,0,0,0.0,0,E17 loader (e17_common.load) -> E13/E11 frozen V2 labels,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/C2C,dev,270,3,3,0,0,0,0.0,0,E17 loader (e17_common.load) -> E13/E11 frozen V2 labels,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/MMLU-Pro/Text,dev,1069,40,38,1,1,2,0.05,0,E17 loader (e17_common.load) -> E13/E11 frozen V2 labels,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/MMLU-Pro/C2C,dev,1069,37,34,1,2,3,0.08108108108108109,0,E17 loader (e17_common.load) -> E13/E11 frozen V2 labels,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
medium/OBQA/C2C q=.55,dev,390,11,9,0,2,2,0.18181818181818182,0,E17 loader (e17_common.load) -> E13/E11 frozen V2 labels,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
medium/OBQA/C2C q=.50,dev,355,7,5,0,2,2,0.2857142857142857,0,E17 loader (e17_common.load) -> E13/E11 frozen V2 labels,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
medium/ARC/C2C,dev,189,4,2,0,2,2,0.5,0,E17 loader (e17_common.load) -> E13/E11 frozen V2 labels,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/Text+fact,dev,536,13,13,0,0,0,0.0,0,E17 loader (e17_common.load) -> E13/E11 frozen V2 labels,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
Llama-3.1-8B/OBQA/Text,dev,438,7,7,0,0,0,0.0,0,E17 loader (e17_common.load) -> E13/E11 frozen V2 labels,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
Llama-3.1-8B/ARC/Text,dev,206,4,4,0,0,0,0.0,0,E17 loader (e17_common.load) -> E13/E11 frozen V2 labels,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/Text,held-out 744 OBQA (E9b),595,12,11,1,0,1,0.08333333333333333,0,$DATA_DIR/P2_R3_E9BC_20260920T061042Z/analysis/SEALED_ROUTES.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/C2C,held-out 744 OBQA (E9b),595,13,11,0,2,2,0.15384615384615385,1,$DATA_DIR/P2_R3_E9BC_20260920T061042Z/analysis/SEALED_ROUTES.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
medium/OBQA/C2C q=.55,held-out 744 OBQA (E9b),388,8,6,0,2,2,0.25,0,$DATA_DIR/P2_R3_E9BC_20260920T061042Z/analysis/SEALED_ROUTES.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
medium/OBQA/C2C q=.50,held-out 744 OBQA (E9b),346,6,4,0,2,2,0.3333333333333333,0,$DATA_DIR/P2_R3_E9BC_20260920T061042Z/analysis/SEALED_ROUTES.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/Text+fact,held-out 744 OBQA (E9b),558,16,16,0,0,0,0.0,0,$DATA_DIR/P2_R3_E9BC_20260920T061042Z/analysis/SEALED_ROUTES.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/Text,"sealed ARC 1,172",1100,20,20,0,0,0,0.0,0,$DATA_DIR/P2_FINAL_SEALED_ARC_CONFIRMATION_20260914T211958Z/records/paired_sealed_2344.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/C2C,"sealed ARC 1,172",1047,11,11,0,0,0,0.0,0,$DATA_DIR/P2_FINAL_SEALED_ARC_CONFIRMATION_20260914T211958Z/records/paired_sealed_2344.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
Llama-3.1-8B/OBQA/Text,held-out 744 OBQA (E16-1),440,3,3,0,0,0,0.0,0,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/analysis_oos/routes_llama_obqa.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
Llama-3.1-8B/ARC/Text,"ARC test 1,172 (E16-1)",794,15,15,0,0,0,0.0,0,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/analysis_oos/routes_llama_arc.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
medium/ARC/C2C,"ARC test 1,172 (E16-2)",733,15,8,0,7,7,0.4666666666666667,0,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/analysis_oos/routes_medium_arc_C.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/Text,pooled out-of-sample,595,12,11,1,0,1,0.08333333333333333,0,held-out 744 OBQA (E9b),"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/C2C,pooled out-of-sample,595,13,11,0,2,2,0.15384615384615385,1,held-out 744 OBQA (E9b),"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/Text,pooled out-of-sample,1100,20,20,0,0,0,0.0,0,"sealed ARC 1,172","POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/C2C,pooled out-of-sample,1047,11,11,0,0,0,0.0,0,"sealed ARC 1,172","POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/MMLU-Pro/Text,pooled out-of-sample,none (no out-of-sample test),,,,,,,,,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/MMLU-Pro/C2C,pooled out-of-sample,none (no out-of-sample test),,,,,,,,,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
medium/OBQA/C2C q=.55,pooled out-of-sample,388,8,6,0,2,2,0.25,0,held-out 744 OBQA (E9b),"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
medium/OBQA/C2C q=.50,pooled out-of-sample,346,6,4,0,2,2,0.3333333333333333,0,held-out 744 OBQA (E9b),"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
medium/ARC/C2C,pooled out-of-sample,733,15,8,0,7,7,0.4666666666666667,0,"ARC test 1,172 (E16-2)","POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/Text+fact,pooled out-of-sample,558,16,16,0,0,0,0.0,0,held-out 744 OBQA (E9b),"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
Llama-3.1-8B/OBQA/Text,pooled out-of-sample,440,3,3,0,0,0,0.0,0,held-out 744 OBQA (E16-1),"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
Llama-3.1-8B/ARC/Text,pooled out-of-sample,794,15,15,0,0,0,0.0,0,"ARC test 1,172 (E16-1)","POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
