policy,configuration,replay_panel_coverage,dev_panel_coverage_stored_u,full_dev_coverage,mean_gap_cb_minus_cR_on_omitted_ms,mean_probe_cs_ms,eq4_saving_panel_coverage_ms,eq4_saving_full_coverage_ms,eq4_diff_full_minus_panel_ms,measured_net_saving_ms,source,label
large/OBQA/Text,original (Table 2),0.7578125,0.7578125,0.77088948787062,758.5794200866301,57.6358788403013,517.225087944098,527.1450218194728,9.919933875374777,517.1262959393061,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/C2C,original (Table 2),0.7578125,0.7578125,0.77088948787062,103.84365463552555,42.08645161452296,36.60756791396125,37.96553012607086,1.3579622121096147,36.57528850817471,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/Text,original (Table 2),0.9375,0.9375,0.9498327759197325,810.7956911747655,42.363856575320824,717.7571039010218,727.7564654769648,9.999361575942995,717.6287613056047,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/C2C,original (Table 2),0.8984375,0.8984375,0.903010033444816,170.3075850038263,42.12690855274559,110.88381234912958,111.66254947746543,0.7787371283358407,110.93494467604614,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/MMLU-Pro/Text,original (Table 2),0.375,0.375,0.40477092010602045,974.3249329185346,48.3989901458699,316.9728596985806,345.979409433802,29.006549735221427,346.3156871330284,$DATA_DIR/P2_MMLU_PRO_E2E_STAGE2_20260916T212147Z/records/four_arm_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/MMLU-Pro/C2C,original (Table 2),0.375,0.375,0.40477092010602045,137.8486336907372,46.14015668266802,5.5530809513584245,9.65696161168944,4.103880660331016,8.242936348324292,$DATA_DIR/P2_MMLU_PRO_E2E_STAGE2_20260916T212147Z/records/four_arm_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
medium/OBQA/C2C q=.55,original (Table 2),0.515625,0.515625,0.5256064690026954,181.40698589074114,36.72631176414143,56.81166533577198,58.6223735423128,1.810708206540828,79.6591089656431,$DATA_DIR/P2_MEDIUM_PAIR_E2E_STAGE2_20260915T205303Z/records/e2e_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
medium/ARC/C2C,original (Table 2),0.6015625,0.6015625,0.6321070234113713,222.972574586339,33.51262906107877,100.61931033851579,107.42990136306193,6.810591024546156,100.66012487186526,$DATA_DIR/P2_MEDIUM_PAIR_E2E_STAGE2_20260915T205303Z/records/e2e_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/Text+fact,"second (E6 replay, ClusterA)",0.71875,0.71875,0.7223719676549866,517.1066934708506,32.12962807992881,339.54080785224505,341.41375157017353,1.8729437179284751,343.4279101056745,$DATA_DIR/P2_R2_E7_20260919T231531Z/e6replay/records_e6/e6_replay_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
Llama-3.1-8B/OBQA/Text,"second (E16-4, ClusterA)",0.59375,0.59375,0.5902964959568733,600.0785448061498,33.8994257581362,322.39721022051526,320.3248365398336,-2.072373680681637,318.60086990127456,$DATA_DIR/P2_R7_E16_20260921T184114Z/replay_llama/records/e2e_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
Llama-3.1-8B/ARC/Text,"second (E16-4, ClusterA)",0.6875,0.6875,0.6889632107023411,654.0323392228773,32.42435618994932,417.22287702577887,418.179864144207,0.9569871184281135,418.89480087957054,$DATA_DIR/P2_R7_E16_20260921T184114Z/replay_llama/records/e2e_requests.jsonl,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
