policy,variable,tokenizer,N_full,N_panel,mean_full,mean_panel,median_full,median_panel,SD_full,diff_panel_minus_full,SMD,diff_points,length_variable,label
large/OBQA/Text,question_len_tokens,Qwen3-8B,742,128,39.10916442048517,38.15625,37.0,36.0,10.046667232590114,-0.9529144204851718,-0.09484880890590647,,True,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/Text,helper_msg_len_tokens,Qwen2.5-7B,742,128,27.551212938005392,28.2734375,27.0,27.5,5.305689605937157,0.7222245619946079,0.13612265617393568,,True,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/Text,R_output_len_tokens,Qwen3-8B,742,128,5.214285714285714,5.2109375,5.0,5.0,0.4103259033241449,-0.0033482142857144126,-0.008159890122923645,,True,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/Text,ref_output_len_tokens,Qwen3-8B,742,128,5.420485175202156,5.3671875,6.0,6.0,1.101829295739606,-0.053297675202156114,-0.04837198957065295,,True,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/Text,u_eq_0,,742,128,0.477088948787062,0.46875,0.0,0.0,0.499474807905582,-0.008338948787061984,-0.016695434194227334,-0.8338948787061984,False,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/Text,coverage_omitted,,742,128,0.77088948787062,0.7578125,1.0,1.0,0.4202604970267765,-0.01307698787061995,-0.031116386058494483,-1.307698787061995,False,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/C2C,question_len_tokens,Qwen3-8B,742,128,39.10916442048517,38.15625,37.0,36.0,10.046667232590114,-0.9529144204851718,-0.09484880890590647,,True,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/C2C,R_output_len_tokens,Qwen3-8B,742,128,5.214285714285714,5.2109375,5.0,5.0,0.4103259033241449,-0.0033482142857144126,-0.008159890122923645,,True,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/C2C,ref_output_len_tokens,Qwen3-8B,742,128,3.815363881401617,4.1015625,3.0,4.0,2.4914151392114907,0.2861986185983829,0.11487391807732295,,True,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/C2C,u_eq_0,,742,128,0.477088948787062,0.46875,0.0,0.0,0.499474807905582,-0.008338948787061984,-0.016695434194227334,-0.8338948787061984,False,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/OBQA/C2C,coverage_omitted,,742,128,0.77088948787062,0.7578125,1.0,1.0,0.4202604970267765,-0.01307698787061995,-0.031116386058494483,-1.307698787061995,False,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/Text,question_len_tokens,Qwen3-8B,299,128,62.585284280936456,61.375,60.0,57.0,22.942167749355892,-1.210284280936456,-0.05275370201102444,,True,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/Text,helper_msg_len_tokens,Qwen2.5-7B,299,128,30.45819397993311,30.7734375,30.0,30.0,6.929706163144458,0.3152435200668897,0.04549161431165838,,True,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/Text,R_output_len_tokens,Qwen3-8B,299,128,5.501672240802676,5.4921875,6.0,5.0,0.499997203602878,-0.009484740802675695,-0.01896958769835228,,True,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/Text,ref_output_len_tokens,Qwen3-8B,299,128,5.334448160535117,5.2890625,6.0,6.0,1.5588298329136396,-0.045385660535116834,-0.029115211665076746,,True,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/Text,u_eq_0,,299,128,0.725752508361204,0.7265625,1.0,1.0,0.44613429028558715,0.000809991638796026,0.0018155780813833436,0.0809991638796026,False,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/Text,coverage_omitted,,299,128,0.9498327759197325,0.9375,1.0,1.0,0.2182898845763307,-0.012332775919732475,-0.05649723963924678,-1.2332775919732475,False,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/C2C,question_len_tokens,Qwen3-8B,299,128,62.585284280936456,61.375,60.0,57.0,22.942167749355892,-1.210284280936456,-0.05275370201102444,,True,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/C2C,R_output_len_tokens,Qwen3-8B,299,128,5.501672240802676,5.4921875,6.0,5.0,0.499997203602878,-0.009484740802675695,-0.01896958769835228,,True,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/C2C,ref_output_len_tokens,Qwen3-8B,299,128,5.68561872909699,5.9453125,5.0,5.0,4.54205475599667,0.25969377090301027,0.05717539414516047,,True,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/C2C,u_eq_0,,299,128,0.725752508361204,0.7265625,1.0,1.0,0.44613429028558715,0.000809991638796026,0.0018155780813833436,0.0809991638796026,False,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/ARC/C2C,coverage_omitted,,299,128,0.903010033444816,0.8984375,1.0,1.0,0.2959441044231296,-0.004572533444816007,-0.015450665772609456,-0.4572533444816007,False,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/MMLU-Pro/Text,question_len_tokens,Qwen3-8B,2641,128,194.6951912154487,197.3515625,161.0,164.0,129.81048958659994,2.6563712845513123,0.020463456327843046,,True,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/MMLU-Pro/Text,helper_msg_len_tokens,Qwen2.5-7B,2641,128,38.528966300643695,39.53125,37.0,39.0,11.34449099720264,1.0022836993563047,0.0883498166293623,,True,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/MMLU-Pro/Text,R_output_len_tokens,Qwen3-8B,2641,128,5.54297614539947,5.6953125,6.0,6.0,0.7184937881085749,0.1523363546005303,0.2120218116311815,,True,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/MMLU-Pro/Text,ref_output_len_tokens,Qwen3-8B,2641,128,5.218477849299508,5.265625,6.0,6.0,1.5419095790369342,0.04714715070049191,0.030577117712661004,,True,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/MMLU-Pro/Text,u_eq_0,,2641,128,0.24422567209390383,0.234375,0.0,0.0,0.4296271560134261,-0.009850672093903834,-0.022928420506072467,-0.9850672093903834,False,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/MMLU-Pro/Text,coverage_omitted,,2641,128,0.40477092010602045,0.375,0.0,0.0,0.49084765695941346,-0.02977092010602045,-0.060652057077013016,-2.977092010602045,False,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/MMLU-Pro/C2C,question_len_tokens,Qwen3-8B,2641,128,194.6951912154487,197.3515625,161.0,164.0,129.81048958659994,2.6563712845513123,0.020463456327843046,,True,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
large/MMLU-Pro/C2C,R_output_len_tokens,Qwen3-8B,2641,128,5.54297614539947,5.6953125,6.0,6.0,0.7184937881085749,0.1523363546005303,0.2120218116311815,,True,"POST-HOC re-analysis (E19, PREREG_E19.md); descriptive; does not change any deployed policy"
