setting,q,threshold,N_fit,N_cal,m_fit,d_fit,n_hat,k_hat,p_hat,predicted_accept,cal_n,cal_k,cal_p,actual_accept,label
X3-Llama8B/OBQA/Text,0.05,8.58306884765625e-06,2100,1366,106,0,69,0,0.029035463617657964,False,57,0,0.05373354598274044,False,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/OBQA/Text,0.1,2.384185791015625e-05,2100,1366,210,0,137,0,0.0008874296289393042,True,110,0,0.0035448395440541825,False,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/OBQA/Text,0.15,5.841255187988281e-05,2100,1366,315,0,205,0,2.7123084951893553e-05,True,192,0,5.283627786488246e-05,True,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/OBQA/Text,0.2,0.00011324882507324219,2100,1366,420,1,273,1,1.2740119286717309e-05,True,259,0,1.6998624084634454e-06,True,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/OBQA/Text,0.25,0.00019997358322143555,2100,1366,525,1,342,1,4.573267550764065e-07,True,311,0,1.1804327357121341e-07,True,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/OBQA/Text,0.3,0.000394284725189209,2100,1366,630,2,410,1,1.6610467647629928e-08,True,397,1,3.1376971940923616e-08,True,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/OBQA/Text,0.35,0.0006575584411621094,2100,1366,735,2,478,1,5.88147311103805e-10,True,457,2,2.071000843562498e-08,True,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/OBQA/Text,0.4,0.0011193156242370605,2100,1366,840,8,546,5,1.3250581929373468e-07,True,533,6,1.1107119877812998e-06,True,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/OBQA/Text,0.45,0.001936495304107666,2100,1366,945,9,615,6,3.7941691077620935e-08,True,595,7,4.021753703932561e-07,True,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/OBQA/Text,0.5,0.0031740665435791016,2100,1366,1050,10,683,7,1.123614068269378e-08,True,671,12,1.2020346577546129e-05,True,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/OBQA/Text,0.55,0.005570113658905029,2100,1366,1155,20,751,13,2.2874330346879454e-06,True,743,19,0.000624371079891911,True,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/OBQA/Text,0.6,0.009371757507324219,2100,1366,1261,22,820,14,6.340621172830665e-07,True,800,21,0.0005735099785435151,True,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/OBQA/Text,0.65,0.016061782836914062,2100,1366,1365,36,888,23,0.00023525827234383072,True,877,32,0.03476096032378715,False,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/OBQA/Text,0.7,0.029870986938476562,2100,1366,1470,48,956,31,0.005410789101936201,False,941,49,0.650173402518083,False,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/OBQA/Text,0.75,0.05291581153869629,2100,1366,1575,74,1025,48,0.35354725498808026,False,1021,64,0.9699094357324061,False,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/OBQA/Text,0.8,0.09196263551712036,2100,1366,1680,101,1093,66,0.9466274150530966,False,1100,84,0.9999320317968249,False,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/OBQA/Text,0.85,0.15815383195877075,2100,1366,1785,131,1161,85,0.999752216558203,False,1164,109,0.999999999719668,False,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/OBQA/Text,0.9,0.25976383686065674,2100,1366,1890,169,1229,110,0.9999999970595926,False,1225,141,1.0,False,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/OBQA/Text,0.95,0.3862430453300476,2100,1366,1995,206,1298,134,0.9999999999999972,False,1288,174,1.0,False,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/OBQA/Text,1.0,Infinity,2100,1366,2100,267,1366,174,1.0,False,1366,217,1.0,False,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/ARC/Text,0.05,6.139278411865234e-06,670,448,34,0,23,0,0.3073568677250239,False,19,0,0.37735360253530764,False,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/ARC/Text,0.1,1.8835067749023438e-05,670,448,67,0,45,0,0.09944025698709247,False,44,0,0.10467395472325523,False,POST-HOC re-analysis (E15); does not change any primary decision
X3-Llama8B/ARC/Text,0.15,3.886222839355469e-05,670,448,101,0,68,0,0.030563645913324174,False,77,0,0.01926271979590453,False,POST-HOC re-analysis (E15); does not change any primary decision
