setting,q,threshold,N_fit,N_cal,m_fit,d_fit,n_hat,k_hat,p_hat,predicted_accept,cal_n,cal_k,cal_p,actual_accept,label
small/OBQA/Text,0.05,0.00014084577560424805,2100,1366,105,17,68,11,0.9998708518735435,False,65,5,0.8941257108629487,False,POST-HOC re-analysis (E15); does not change any primary decision
small/OBQA/Text,0.1,0.0004979372024536133,2100,1366,210,36,137,23,0.9999999142956875,False,142,19,0.9999707550200378,False,POST-HOC re-analysis (E15); does not change any primary decision
small/OBQA/Text,0.15,0.0009494423866271973,2100,1366,315,68,205,44,1.0,False,216,35,0.9999999997444692,False,POST-HOC re-analysis (E15); does not change any primary decision
small/OBQA/Text,0.2,0.0018350481986999512,2100,1366,420,104,273,68,1.0,False,282,55,1.0,False,POST-HOC re-analysis (E15); does not change any primary decision
small/OBQA/Text,0.25,0.0032129883766174316,2100,1366,525,148,342,96,1.0,False,375,92,1.0,False,POST-HOC re-analysis (E15); does not change any primary decision
small/OBQA/Text,0.3,0.00520014762878418,2100,1366,630,189,410,123,1.0,False,447,123,1.0,False,POST-HOC re-analysis (E15); does not change any primary decision
small/OBQA/Text,0.35,0.0075501203536987305,2100,1366,735,232,478,151,1.0,False,506,155,1.0,False,POST-HOC re-analysis (E15); does not change any primary decision
small/OBQA/Text,0.4,0.011367261409759521,2100,1366,840,273,546,177,1.0,False,572,189,1.0,False,POST-HOC re-analysis (E15); does not change any primary decision
small/OBQA/Text,0.45,0.01766204833984375,2100,1366,945,318,615,207,1.0,False,642,211,1.0,False,POST-HOC re-analysis (E15); does not change any primary decision
small/OBQA/Text,0.5,0.023335695266723633,2100,1366,1050,371,683,241,1.0,False,703,245,1.0,False,POST-HOC re-analysis (E15); does not change any primary decision
small/OBQA/Text,0.55,0.033761560916900635,2100,1366,1155,424,751,276,1.0,False,790,294,1.0,False,POST-HOC re-analysis (E15); does not change any primary decision
small/OBQA/Text,0.6,0.047892868518829346,2100,1366,1260,473,820,308,1.0,False,868,323,1.0,False,POST-HOC re-analysis (E15); does not change any primary decision
small/OBQA/Text,0.65,0.06818485260009766,2100,1366,1365,533,888,347,1.0,False,935,354,1.0,False,POST-HOC re-analysis (E15); does not change any primary decision
