setting,nominal,eps,N,N_min,cal_status,q_frozen,tau_frozen,q_L,q_joint,tau_joint,first_L_rejected_q,k_L_at_frozen,p_at_frozen,D_all,D_seq,D_dep,D_need,dev_coverage,dev_k_L,dev_k_W,dev_changed,dev_omitted,dev_change_CP95,dev_dAcc,dev_dAcc_CI95,G_dev_pts,dev_retention,frozen_dev_coverage,frozen_dev_k_L,frozen_dev_k_W,frozen_dev_changed,frozen_dev_omitted,frozen_dev_dAcc,frozen_dev_dAcc_CI95,frozen_dev_retention,oos,frozen_oos,panel,CX_N,CX_q_change_test,CX_q_joint,counted,counted_why
large/OBQA/Text,True,0.01,1366,688,feasible,0.8,0.001170039176940918,0.65,0.65,7.987022399902344e-06,0.7,14,0.6066045767752749,143,8,4,8,0.6199460916442049,3,3,6,460,"[0.0048, 0.0282]",0.0,"[-0.0067, 0.0067]",3.7735849056603774,1.0,0.77088948787062,13,6,19,572,-0.009433962264150943,"[-0.0216, 0.0013]",0.75,"OOS held-out OBQA 744: N 744 cov 65.2% k_L/N 2/744 = 0.27% [0.03%, 0.97%] (<eps True) W 1 dAcc -0.13 [-0.54, +0.27] ret 0.966","k_L/N 9/744 [0.0055, 0.0228] cov 0.7997 dAcc -0.0094","panel 393.4 ms [310.3, 468.8] (frozen 517.1 [447.8, 583.6]; 20/97 re-routed)",1158,0.8,0.6,True,cov 0.6199 (>= .20: True); G_dev 3.774 pts (eps <= G/2: True)
large/OBQA/Text,True,0.02,1366,342,feasible,0.8,0.001170039176940918,0.75,0.75,0.0002611875534057617,0.8,14,0.003633905168776665,143,18,12,18,0.7223719676549866,9,6,15,536,"[0.0157, 0.0457]",-0.004043126684636119,"[-0.0148, 0.0054]",3.7735849056603774,0.8928571428571429,0.77088948787062,13,6,19,572,-0.009433962264150943,"[-0.0216, 0.0013]",0.75,"OOS held-out OBQA 744: N 744 cov 75.0% k_L/N 4/744 = 0.54% [0.15%, 1.37%] (<eps True) W 2 dAcc -0.27 [-0.94, +0.40] ret 0.931","k_L/N 9/744 [0.0055, 0.0228] cov 0.7997 dAcc -0.0094","panel 490.0 ms [411.9, 560.5] (frozen 517.1 [447.8, 583.6]; 5/97 re-routed)",1158,0.8,0.75,False,cov 0.7224 (>= .20: True); G_dev 3.774 pts (eps <= G/2: False)
large/ARC/Text,False,0.01,448,688,infeasible at eps,0.95,0.01800704002380371,NONE,NONE,,0.05,2,0.1744252024276053,12,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.0066889632107023,N/A,0.9498327759197325,6,2,9,284,-0.013377926421404682,"[-0.0334, 0.0033]",0.3333333333333333,OOS N/A (q_joint NONE),"k_L/N 12/1172 [0.0053, 0.0178] cov 0.9386 dAcc -0.0043",panel N/A,315,0.95,,False,no joint certificate
large/ARC/Text,False,0.02,448,342,feasible,0.95,0.01800704002380371,0.8,0.8,8.940696716308594e-07,0.85,2,0.006081249454870442,12,1,0,1,0.7792642140468228,0,0,0,233,"[0.0000, 0.0157]",0.0,"[0.0000, 0.0000]",2.0066889632107023,1.0,0.9498327759197325,6,2,9,284,-0.013377926421404682,"[-0.0334, 0.0033]",0.3333333333333333,"OOS sealed ARC 1,172: N 1172 cov 79.0% k_L/N 0/1172 = 0.00% [0.00%, 0.31%] (<eps True) W 0 dAcc +0.00 [+0.00, +0.00] ret N/A","k_L/N 12/1172 [0.0053, 0.0178] cov 0.9386 dAcc -0.0043","panel 588.6 ms [522.4, 656.1] (frozen 717.6 [670.6, 763.2]; 21/120 re-routed)",315,0.95,,False,cov 0.7793 (>= .20: True); G_dev 2.007 pts (eps <= G/2: False)
large/MMLU-Pro/Text,False,0.01,6000,688,feasible,0.4,3.838539123535156e-05,0.45,0.4,3.838539123535156e-05,0.5,23,3.800672370479001e-08,1295,153,67,67,0.40477092010602045,12,14,40,1069,"[0.0269, 0.0506]",0.0007572889057175312,"[-0.0030, 0.0045]",1.4009844755774328,1.054054054054054,0.40477092010602045,12,14,40,1069,0.0007572889057175312,"[-0.0030, 0.0045]",1.054054054054054,OOS N/A (MMLU-Pro: no unused data),N/A,"panel 346.3 ms [249.8, 443.0] (frozen 346.3 [249.8, 443.0]; 0/48 re-routed)",6000,0.4,0.4,False,cov 0.4048 (>= .20: True); G_dev 1.401 pts (eps <= G/2: False)
large/MMLU-Pro/Text,False,0.02,6000,342,feasible,0.4,3.838539123535156e-05,0.6,0.4,3.838539123535156e-05,0.65,23,1.0922459484182425e-27,1295,361,67,67,0.40477092010602045,12,14,40,1069,"[0.0269, 0.0506]",0.0007572889057175312,"[-0.0030, 0.0045]",1.4009844755774328,1.054054054054054,0.40477092010602045,12,14,40,1069,0.0007572889057175312,"[-0.0030, 0.0045]",1.054054054054054,OOS N/A (MMLU-Pro: no unused data),N/A,"panel 346.3 ms [249.8, 443.0] (frozen 346.3 [249.8, 443.0]; 0/48 re-routed)",6000,0.4,0.4,False,cov 0.4048 (>= .20: True); G_dev 1.401 pts (eps <= G/2: False)
large/OBQA/Text+fact,True,0.01,1366,688,feasible,0.75,0.0002611875534057617,0.55,0.55,3.5762786865234375e-07,0.6,18,0.9016663494348668,170,7,3,7,0.5363881401617251,1,0,1,398,"[0.0001, 0.0139]",-0.0013477088948787063,"[-0.0040, 0.0000]",7.142857142857143,0.9811320754716981,0.7223719676549866,11,1,13,536,-0.013477088948787063,"[-0.0229, -0.0054]",0.8113207547169812,"OOS held-out OBQA 744: N 744 cov 54.3% k_L/N 2/744 = 0.27% [0.03%, 0.97%] (<eps True) W 0 dAcc -0.27 [-0.67, +0.00] ret 0.967","k_L/N 13/744 [0.0093, 0.0297] cov 0.7500 dAcc -0.0148","panel 245.1 ms [195.7, 293.1] (frozen 343.4 [297.7, 386.0]; 24/92 re-routed)",1158,0.75,0.55,True,cov 0.5364 (>= .20: True); G_dev 7.143 pts (eps <= G/2: True)
large/OBQA/Text+fact,True,0.02,1366,342,feasible,0.75,0.0002611875534057617,0.7,0.7,4.5418739318847656e-05,0.75,18,0.03785568842620772,170,22,16,22,0.6644204851752021,6,0,7,493,"[0.0057, 0.0290]",-0.008086253369272238,"[-0.0148, -0.0027]",7.142857142857143,0.8867924528301887,0.7223719676549866,11,1,13,536,-0.013477088948787063,"[-0.0229, -0.0054]",0.8113207547169812,"OOS held-out OBQA 744: N 744 cov 70.2% k_L/N 8/744 = 1.08% [0.47%, 2.11%] (<eps False) W 2 dAcc -0.81 [-1.61, +0.00] ret 0.900","k_L/N 13/744 [0.0093, 0.0297] cov 0.7500 dAcc -0.0148","panel 306.2 ms [259.2, 352.0] (frozen 343.4 [297.7, 386.0]; 9/92 re-routed)",1158,0.75,0.65,True,cov 0.6644 (>= .20: True); G_dev 7.143 pts (eps <= G/2: True)
Llama-3.1-8B/OBQA/Text,False,0.01,1366,688,feasible,0.6,0.009371757507324219,0.45,0.45,0.001936495304107666,0.5,12,0.39184565368299995,217,12,7,12,0.4501347708894879,1,3,4,334,"[0.0033, 0.0304]",0.0026954177897574125,"[-0.0027, 0.0081]",4.44743935309973,1.0606060606060606,0.5902964959568733,2,4,7,438,0.0026954177897574125,"[-0.0040, 0.0094]",1.0606060606060606,"OOS held-out OBQA 744 (E16-1): N 744 cov 44.0% k_L/N 1/744 = 0.13% [0.00%, 0.75%] (<eps True) W 0 dAcc -0.13 [-0.40, +0.00] ret 0.950","k_L/N 3/744 [0.0008, 0.0117] cov 0.5914 dAcc -0.0040","panel 218.1 ms [164.1, 273.4] (frozen 318.6 [261.1, 372.1]; 22/76 re-routed)",1158,0.5,0.35,True,cov 0.4501 (>= .20: True); G_dev 4.447 pts (eps <= G/2: True)
Llama-3.1-8B/OBQA/Text,False,0.02,1366,342,feasible,0.6,0.009371757507324219,0.6,0.6,0.009371757507324219,0.65,12,0.000769281402507868,217,32,21,21,0.5902964959568733,2,4,7,438,"[0.0064, 0.0327]",0.0026954177897574125,"[-0.0040, 0.0094]",4.44743935309973,1.0606060606060606,0.5902964959568733,2,4,7,438,0.0026954177897574125,"[-0.0040, 0.0094]",1.0606060606060606,"OOS held-out OBQA 744 (E16-1): N 744 cov 59.1% k_L/N 3/744 = 0.40% [0.08%, 1.17%] (<eps True) W 0 dAcc -0.40 [-0.94, +0.00] ret 0.850","k_L/N 3/744 [0.0008, 0.0117] cov 0.5914 dAcc -0.0040","panel 318.6 ms [261.1, 372.1] (frozen 318.6 [261.1, 372.1]; 0/76 re-routed)",1158,0.5,0.5,True,cov 0.5903 (>= .20: True); G_dev 4.447 pts (eps <= G/2: True)
Llama-3.1-8B/ARC/Text,False,0.01,448,688,infeasible at eps,0.7,0.014996349811553955,NONE,NONE,,0.05,3,0.34441808620315584,40,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.023411371237458,N/A,0.6889632107023411,3,1,4,206,-0.006688963210702341,"[-0.0201, 0.0067]",0.9047619047619048,OOS N/A (q_joint NONE),"k_L/N 8/1172 [0.0030, 0.0134] cov 0.6775 dAcc -0.0017",panel N/A,315,0.55,,False,no joint certificate
Llama-3.1-8B/ARC/Text,False,0.02,448,342,feasible,0.7,0.014996349811553955,0.45,0.45,0.0009936094284057617,0.5,3,0.02092223751244748,40,1,0,1,0.4080267558528428,0,0,0,122,"[0.0000, 0.0298]",0.0,"[0.0000, 0.0000]",7.023411371237458,1.0,0.6889632107023411,3,1,4,206,-0.006688963210702341,"[-0.0201, 0.0067]",0.9047619047619048,"OOS ARC test 1,172 (E16-1): N 1172 cov 44.3% k_L/N 2/1172 = 0.17% [0.02%, 0.62%] (<eps True) W 2 dAcc +0.00 [-0.34, +0.34] ret 1.000","k_L/N 8/1172 [0.0030, 0.0134] cov 0.6775 dAcc -0.0017","panel 199.0 ms [144.6, 254.9] (frozen 418.9 [361.7, 473.7]; 43/88 re-routed)",315,0.55,,True,cov 0.4080 (>= .20: True); G_dev 7.023 pts (eps <= G/2: True)
