setting,nominal,eps,N,N_min,status,q_frozen,tau_frozen,q_L,q_joint,tau_joint,first_L_rejected_q,D_all,D_seq,D_dep,D_need,k_L_at_frozen,p_at_frozen,CX_N,CX_removed,CX_q_change,CX_q_L,CX_q_joint,label
large/OBQA/Text,True,0.01,1366,688,feasible,0.8,0.001170039176940918,0.65,0.65,7.987022399902344e-06,0.7,143,8,4,8,14,0.6066045767752749,1158,208,0.8,0.6,0.6,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/Text,True,0.02,1366,342,feasible,0.8,0.001170039176940918,0.75,0.75,0.0002611875534057617,0.8,143,18,12,18,14,0.003633905168776665,1158,208,0.8,0.75,0.75,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,False,0.01,448,688,infeasible at eps,0.95,0.01800704002380371,NONE,NONE,,0.05,12,0,N/A,0,2,0.1744252024276053,315,133,0.95,NONE,NONE,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/ARC/Text,False,0.02,448,342,feasible,0.95,0.01800704002380371,0.8,0.8,8.940696716308594e-07,0.85,12,1,0,1,2,0.006081249454870442,315,133,0.95,NONE,NONE,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/MMLU-Pro/Text,False,0.01,6000,688,feasible,0.4,3.838539123535156e-05,0.45,0.4,3.838539123535156e-05,0.5,1295,153,67,67,23,3.800672370479001e-08,6000,0,0.4,0.45,0.4,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/MMLU-Pro/Text,False,0.02,6000,342,feasible,0.4,3.838539123535156e-05,0.6,0.4,3.838539123535156e-05,0.65,1295,361,67,67,23,1.0922459484182425e-27,6000,0,0.4,0.6,0.4,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/Text+fact,True,0.01,1366,688,feasible,0.75,0.0002611875534057617,0.55,0.55,3.5762786865234375e-07,0.6,170,7,3,7,18,0.9016663494348668,1158,208,0.75,0.55,0.55,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/Text+fact,True,0.02,1366,342,feasible,0.75,0.0002611875534057617,0.7,0.7,4.5418739318847656e-05,0.75,170,22,16,22,18,0.03785568842620772,1158,208,0.75,0.65,0.65,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
Llama-3.1-8B/OBQA/Text,False,0.01,1366,688,feasible,0.6,0.009371757507324219,0.45,0.45,0.001936495304107666,0.5,217,12,7,12,12,0.39184565368299995,1158,208,0.5,0.35,0.35,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
Llama-3.1-8B/OBQA/Text,False,0.02,1366,342,feasible,0.6,0.009371757507324219,0.6,0.6,0.009371757507324219,0.65,217,32,21,21,12,0.000769281402507868,1158,208,0.5,0.5,0.5,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
Llama-3.1-8B/ARC/Text,False,0.01,448,688,infeasible at eps,0.7,0.014996349811553955,NONE,NONE,,0.05,40,0,N/A,0,3,0.34441808620315584,315,133,0.55,NONE,NONE,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
Llama-3.1-8B/ARC/Text,False,0.02,448,342,feasible,0.7,0.014996349811553955,0.45,0.45,0.0009936094284057617,0.5,40,1,0,1,3,0.02092223751244748,315,133,0.55,NONE,NONE,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
