setting,nominal,eps,N_cal,N_min,cal_status,q_frozen,q_L,q_joint,tau_joint,D_all,D_seq,D_dep,D_need,CX_q_joint,panel_N,panel_omitted_frozen,panel_omitted_joint,panel_rerouted,frozen_saving_ms,joint_saving_ms,panel_source,panel_config,probe_source,joint_CI95_lo,joint_CI95_hi,frozen_CI95_lo,frozen_CI95_hi,recomposed_label,label,note
large/OBQA/Text,True,0.01,1366,688,feasible,0.8,0.65,0.65,7.987022399902344e-06,143,8,4,8,0.6,128,97,77,20,517.1262959393061,393.3594832815288,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,original (Table 2),logged per request (parts_ms.probe_ms),310.32999017120346,468.8492197456071,447.76240365922604,583.5989186702591,recomposed (not a replay): omitted at frozen tau but u > tau_joint -> policy_i = fixed_i + probe_i,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
large/OBQA/Text,True,0.02,1366,342,feasible,0.8,0.75,0.75,0.0002611875534057617,143,18,12,18,0.75,128,97,92,5,517.1262959393061,490.0125326585112,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,original (Table 2),logged per request (parts_ms.probe_ms),411.92225443796815,560.5409765303193,447.76240365922604,583.5989186702591,recomposed (not a replay): omitted at frozen tau but u > tau_joint -> policy_i = fixed_i + probe_i,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
large/ARC/Text,False,0.01,448,688,infeasible at eps,0.95,NONE,NONE,,12,0,N/A,0,NONE,,,,,,,,,,,,,,,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",q_joint = NONE -> N/A
large/ARC/Text,False,0.02,448,342,feasible,0.95,0.8,0.8,8.940696716308594e-07,12,1,0,1,NONE,128,120,99,21,717.6287613056047,588.5998384983395,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,original (Table 2),logged per request (parts_ms.probe_ms),522.3752120839436,656.14253267604,670.6139493022874,763.2107882986928,recomposed (not a replay): omitted at frozen tau but u > tau_joint -> policy_i = fixed_i + probe_i,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
large/MMLU-Pro/Text,False,0.01,6000,688,feasible,0.4,0.45,0.4,3.838539123535156e-05,1295,153,67,67,0.4,128,48,48,0,346.3156871330284,346.3156871330284,$DATA_DIR/P2_MMLU_PRO_E2E_STAGE2_20260916T212147Z/records/four_arm_requests.jsonl,original (Table 2),logged per request (parts_ms.online_probe_ms),249.8286115142946,442.9725224629692,249.8286115142946,442.9725224629692,recomposed (not a replay): omitted at frozen tau but u > tau_joint -> policy_i = fixed_i + probe_i,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
large/MMLU-Pro/Text,False,0.02,6000,342,feasible,0.4,0.6,0.4,3.838539123535156e-05,1295,361,67,67,0.4,128,48,48,0,346.3156871330284,346.3156871330284,$DATA_DIR/P2_MMLU_PRO_E2E_STAGE2_20260916T212147Z/records/four_arm_requests.jsonl,original (Table 2),logged per request (parts_ms.online_probe_ms),249.8286115142946,442.9725224629692,249.8286115142946,442.9725224629692,recomposed (not a replay): omitted at frozen tau but u > tau_joint -> policy_i = fixed_i + probe_i,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
large/OBQA/Text+fact,True,0.01,1366,688,feasible,0.75,0.55,0.55,3.5762786865234375e-07,170,7,3,7,0.55,128,92,68,24,343.4279101056745,245.12476909876568,$DATA_DIR/P2_R2_E7_20260919T231531Z/e6replay/records_e6/e6_replay_requests.jsonl,"second (E6 replay, ClusterA)",logged per request (parts_ms.probe_ms),195.65753469141782,293.05807831824495,297.7048677665607,385.9620618798999,recomposed (not a replay): omitted at frozen tau but u > tau_joint -> policy_i = fixed_i + probe_i,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
large/OBQA/Text+fact,True,0.02,1366,342,feasible,0.75,0.7,0.7,4.5418739318847656e-05,170,22,16,22,0.65,128,92,83,9,343.4279101056745,306.1706018215773,$DATA_DIR/P2_R2_E7_20260919T231531Z/e6replay/records_e6/e6_replay_requests.jsonl,"second (E6 replay, ClusterA)",logged per request (parts_ms.probe_ms),259.1848242528613,352.0395448987074,297.7048677665607,385.9620618798999,recomposed (not a replay): omitted at frozen tau but u > tau_joint -> policy_i = fixed_i + probe_i,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
Llama-3.1-8B/OBQA/Text,False,0.01,1366,688,feasible,0.6,0.45,0.45,0.001936495304107666,217,12,7,12,0.35,128,76,54,22,318.60086990127456,218.13799503252085,$DATA_DIR/P2_R7_E16_20260921T184114Z/replay_llama/records/e2e_requests.jsonl,"second (E16-4, ClusterA)",logged per request (parts_ms.probe_ms),164.130449249933,273.37650115218815,261.09326909677293,372.13898995200907,recomposed (not a replay): omitted at frozen tau but u > tau_joint -> policy_i = fixed_i + probe_i,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
Llama-3.1-8B/OBQA/Text,False,0.02,1366,342,feasible,0.6,0.6,0.6,0.009371757507324219,217,32,21,21,0.5,128,76,76,0,318.60086990127456,318.60086990127456,$DATA_DIR/P2_R7_E16_20260921T184114Z/replay_llama/records/e2e_requests.jsonl,"second (E16-4, ClusterA)",logged per request (parts_ms.probe_ms),261.09326909677293,372.13898995200907,261.09326909677293,372.13898995200907,recomposed (not a replay): omitted at frozen tau but u > tau_joint -> policy_i = fixed_i + probe_i,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",
