row,kind,population,n,n_pos,auroc_all,upos_n,upos_pos,auroc_upos,auroc_upos_CI95_lo,auroc_upos_CI95_hi,auroc_upos_boot_dropped,u0_n,u0_pos,share_u0,share_dis_upos,u0_change_rate,auroc_m_all,auroc_m_u0,m_distinct_values,m_units_in_ties,m_source,paper_auroc,label,score,m_note,source
medium/OBQA/C2C q=.55,policy,dev,742,131,0.8401069451905898,421,124,0.7387857065276421,0.6896855093093167,0.7887548220547018,0,321,7,0.4326145552560647,0.9465648854961832,0.021806853582554516,0.8477280393798178,0.7770700636942676,738,4,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/e163/qwen3_1_7b_bf16_q17b_bf16.jsonl,0.84,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,,
medium/ARC/C2C,policy,dev,299,48,0.9097360557768924,125,47,0.7482269503546098,0.6584933096695559,0.8373573284174701,0,174,1,0.5819397993311036,0.9791666666666666,0.005747126436781609,0.912765604249668,0.6820809248554913,298,1,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/e163/qwen3_1_7b_bf16_q17b_bf16.jsonl,0.91,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,,
large/OBQA/Text,policy,dev,742,72,0.8727300995024876,388,70,0.7685759209344116,0.7065446140994662,0.8261757625871233,0,354,2,0.477088948787062,0.9722222222222222,0.005649717514124294,0.8763681592039801,0.7528409090909091,739,3,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/e163/qwen3_8b_bf16_q8b_bf16.jsonl,0.873,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,,
large/OBQA/C2C,policy,dev,742,60,0.8826490713587488,388,59,0.7786564319200453,0.7238186464291263,0.8305397496306405,0,354,1,0.477088948787062,0.9833333333333333,0.002824858757062147,0.8843230694037145,0.696883852691218,739,3,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/e163/qwen3_8b_bf16_q8b_bf16.jsonl,0.883,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,,
large/ARC/Text,policy,dev,299,15,0.9518779342723005,82,15,0.7960199004975125,0.6856051265412071,0.8955386999429084,0,217,0,0.725752508361204,1.0,0.0,0.9521126760563381,N/A,299,0,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/e163/qwen3_8b_bf16_q8b_bf16.jsonl,0.952,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,,
large/ARC/C2C,policy,dev,299,12,0.9088269454123112,82,11,0.8271446862996159,0.6734955185659411,0.9539147612950429,0,217,1,0.725752508361204,0.9166666666666666,0.004608294930875576,0.9311846689895471,0.8611111111111112,299,0,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/e163/qwen3_8b_bf16_q8b_bf16.jsonl,0.909,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,,
large/MMLU-Pro/Text,policy,dev,2641,561,0.8214679315782257,1996,553,0.756593218618535,0.7339374550242815,0.7783363541538078,0,645,8,0.24422567209390383,0.9857397504456328,0.012403100775193798,0.8224538941450708,0.7233124018838305,2641,0,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/e163/qwen3_8b_bf16_q8b_bf16.jsonl,0.821,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,,
large/MMLU-Pro/C2C,policy,dev,2641,756,0.8463998007101454,1996,751,0.7742613596864154,0.752637428888864,0.7952046258122283,0,645,5,0.24422567209390383,0.9933862433862434,0.007751937984496124,0.8473797594487249,0.9384375,2641,0,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/e163/qwen3_8b_bf16_q8b_bf16.jsonl,0.846,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,,
large/OBQA/Text+fact,policy,dev,742,76,0.8885925399083293,388,75,0.7806389776357827,0.7282342246982291,0.831836411198867,0,354,1,0.477088948787062,0.9868421052631579,0.002824858757062147,0.8919511616880038,0.9830028328611897,739,3,$DATA_DIR/P2_R7_E16_20260921T184114Z/results/e163/qwen3_8b_bf16_q8b_bf16.jsonl,0.889,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,,
Llama-3.1-8B/OBQA/Text,control,dev,742,86,0.8744859614293817,,,,,,,0,,0.0,1.0,,,,,,,0.8745,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,,
