line,n,changes,rate,CP95_lo,CP95_hi,population,N,V1_missing,V1_INVALID,R_INVALID,V1_probe_score,label,policy,q
"V1 vs R, all",742,558,0.7520215633423181,0.7193107831540325,0.782714292918384,small/OBQA,742,0,30,25,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, all, parseable-only (R and V1 both parse)",696,521,0.7485632183908046,0.7146014728134881,0.7804017293031835,small/OBQA,742,0,30,25,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"supplementary: V0 (same-job unchanged replay) vs R, all",742,0,0.0,0.0,0.0049591980231951695,small/OBQA,742,0,30,25,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, u = 0",0,0,nan,nan,nan,small/OBQA,742,0,30,25,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, u = 0, parseable-only (R and V1 both parse)",0,0,nan,nan,nan,small/OBQA,742,0,30,25,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"supplementary: V0 (same-job unchanged replay) vs R, u = 0",0,0,nan,nan,nan,small/OBQA,742,0,30,25,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, u > 0",742,558,0.7520215633423181,0.7193107831540325,0.782714292918384,small/OBQA,742,0,30,25,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, u > 0, parseable-only (R and V1 both parse)",696,521,0.7485632183908046,0.7146014728134881,0.7804017293031835,small/OBQA,742,0,30,25,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"supplementary: V0 (same-job unchanged replay) vs R, u > 0",742,0,0.0,0.0,0.0049591980231951695,small/OBQA,742,0,30,25,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, all",299,209,0.6989966555183946,0.643540282528517,0.750458657528247,small/ARC,299,0,21,32,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, all, parseable-only (R and V1 both parse)",258,180,0.6976744186046512,0.6376496006539154,0.7530908837052087,small/ARC,299,0,21,32,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"supplementary: V0 (same-job unchanged replay) vs R, all",299,0,0.0,0.0,0.012261595907535044,small/ARC,299,0,21,32,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, u = 0",0,0,nan,nan,nan,small/ARC,299,0,21,32,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, u = 0, parseable-only (R and V1 both parse)",0,0,nan,nan,nan,small/ARC,299,0,21,32,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"supplementary: V0 (same-job unchanged replay) vs R, u = 0",0,0,nan,nan,nan,small/ARC,299,0,21,32,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, u > 0",299,209,0.6989966555183946,0.643540282528517,0.750458657528247,small/ARC,299,0,21,32,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, u > 0, parseable-only (R and V1 both parse)",258,180,0.6976744186046512,0.6376496006539154,0.7530908837052087,small/ARC,299,0,21,32,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"supplementary: V0 (same-job unchanged replay) vs R, u > 0",299,0,0.0,0.0,0.012261595907535044,small/ARC,299,0,21,32,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, all",742,183,0.24663072776280323,0.2160000316724305,0.279290367282424,medium/OBQA,742,0,5,8,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, all, parseable-only (R and V1 both parse)",732,176,0.24043715846994534,0.2098935599931108,0.2730885286353231,medium/OBQA,742,0,5,8,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"supplementary: V0 (same-job unchanged replay) vs R, all",742,0,0.0,0.0,0.0049591980231951695,medium/OBQA,742,0,5,8,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, u = 0",321,19,0.059190031152647975,0.03600880641974864,0.09089160193644392,medium/OBQA,742,0,5,8,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, u = 0, parseable-only (R and V1 both parse)",321,19,0.059190031152647975,0.03600880641974864,0.09089160193644392,medium/OBQA,742,0,5,8,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"supplementary: V0 (same-job unchanged replay) vs R, u = 0",321,0,0.0,0.0,0.011426057369519968,medium/OBQA,742,0,5,8,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, u > 0",421,164,0.38954869358669836,0.3426996441080562,0.4379616439274221,medium/OBQA,742,0,5,8,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, u > 0, parseable-only (R and V1 both parse)",411,157,0.3819951338199513,0.3348035490065584,0.4308989372977932,medium/OBQA,742,0,5,8,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"supplementary: V0 (same-job unchanged replay) vs R, u > 0",421,0,0.0,0.0,0.008723907918036143,medium/OBQA,742,0,5,8,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, all",299,53,0.17725752508361203,0.13568823506099492,0.22535583875272175,medium/ARC,299,0,0,2,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, all, parseable-only (R and V1 both parse)",297,51,0.1717171717171717,0.1306082470524071,0.21951664129662446,medium/ARC,299,0,0,2,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"supplementary: V0 (same-job unchanged replay) vs R, all",299,0,0.0,0.0,0.012261595907535044,medium/ARC,299,0,0,2,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, u = 0",174,11,0.06321839080459771,0.031977906756814306,0.11029828962260883,medium/ARC,299,0,0,2,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, u = 0, parseable-only (R and V1 both parse)",174,11,0.06321839080459771,0.031977906756814306,0.11029828962260883,medium/ARC,299,0,0,2,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"supplementary: V0 (same-job unchanged replay) vs R, u = 0",174,0,0.0,0.0,0.020977306694394248,medium/ARC,299,0,0,2,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, u > 0",125,42,0.336,0.25402069302057495,0.4259521719763569,medium/ARC,299,0,0,2,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"V1 vs R, u > 0, parseable-only (R and V1 both parse)",123,40,0.3252032520325203,0.24351712840979764,0.41553161986349374,medium/ARC,299,0,0,2,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
"supplementary: V0 (same-job unchanged replay) vs R, u > 0",125,0,0.0,0.0,0.02907983713643152,medium/ARC,299,0,0,2,not stored (E4 V1 records carry no probe score),"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper",,
