policy,q,threshold,n,k,p,accepted,frozen_q,label
large/OBQA/Text,0.05,0.0,642,1,1.7378106481890661e-13,True,0.8,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/Text,0.1,0.0,642,1,1.7378106481890661e-13,True,0.8,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/Text,0.15,0.0,642,1,1.7378106481890661e-13,True,0.8,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/Text,0.2,0.0,642,1,1.7378106481890661e-13,True,0.8,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/Text,0.25,0.0,642,1,1.7378106481890661e-13,True,0.8,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/Text,0.3,0.0,642,1,1.7378106481890661e-13,True,0.8,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/Text,0.35,0.0,642,1,1.7378106481890661e-13,True,0.8,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/Text,0.4,0.0,642,1,1.7378106481890661e-13,True,0.8,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/Text,0.45,0.0,642,1,1.7378106481890661e-13,True,0.8,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/Text,0.5,1.1920928955078125e-07,683,1,2.2532320678619448e-14,True,0.8,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/Text,0.55,3.5762786865234375e-07,728,1,2.3842492305152782e-15,True,0.8,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/Text,0.6,1.7881393432617188e-06,807,2,9.956079973330062e-16,True,0.8,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
large/OBQA/Text,0.65,7.987022399902344e-06,870,4,8.284684543850362e-15,True,0.8,"POST HOC (E21, PREREG.md); stored outputs only; creates no deployment and changes no count in the paper"
