population,reference,undetermined,stratified_ratio,stratified_CI95,unstratified_ratio,unstratified_CI95,label
small/OBQA,Text,no,0.803,"[0.687, 0.940]",0.719,"[0.606, 0.845]","POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/ARC,Text,no,0.840,"[0.680, 1.074]",0.851,"[0.671, 1.080]","POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/OBQA,Text,no,0.969,"[0.859, 1.115]",0.800,"[0.680, 0.945]","POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/ARC,Text,no,0.787,"[0.601, 1.004]",0.742,"[0.505, 1.057]","POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,Text,no,0.809,"[0.702, 0.924]",0.547,"[0.443, 0.665]","POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/ARC,Text,yes,0.900,"[0.538, 1.056]",0.498,"[0.263, 0.778]","POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/MMLU-Pro,Text,no,0.893,"[0.806, 1.006]",0.861,"[0.769, 0.969]","POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/OBQA,C2C,no,0.801,"[0.694, 0.923]",0.686,"[0.584, 0.804]","POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/ARC,C2C,no,0.856,"[0.691, 1.078]",0.747,"[0.598, 0.953]","POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/OBQA,C2C,no,1.201,"[0.984, 1.517]",1.125,"[0.880, 1.464]","POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/ARC,C2C,no,1.475,"[0.964, 2.844]",1.705,"[1.019, 3.449]","POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,C2C,no,1.077,"[0.823, 1.558]",1.313,"[0.882, 2.175]","POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/ARC,C2C,no,1.351,"[0.800, 3.151]",0.986,"[0.490, 2.970]","POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/MMLU-Pro,C2C,no,1.222,"[1.067, 1.406]",1.246,"[1.071, 1.447]","POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
MEDIAN Text of 7,Text,,0.840,"[0.769, 0.936]",0.742,"[0.644, 0.840]","POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
MEDIAN C2C of 7,C2C,,1.201,"[0.947, 1.331]",1.125,"[0.895, 1.349]","POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
MEDIAN C2C of the 5 medium/large,C2C,,1.222,"[1.059, 1.448]",1.246,not stored (E9-a reports no median over the 5 medium/large cells),"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
