design,population,n_resamples,n_defined,n_undefined_real_gain_zero,n_resamples_undetermined_S_minus,boot_mean,ci_lo_2_5,ci_hi_97_5,label
stratified per-reference Text,small/OBQA,2000,2000,0,0,0.805,0.687,0.940,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
stratified per-reference Text,small/ARC,2000,2000,0,0,0.849,0.680,1.074,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
stratified per-reference Text,medium/OBQA,2000,2000,0,2,0.974,0.859,1.115,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
stratified per-reference Text,medium/ARC,2000,2000,0,44,0.794,0.601,1.004,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
stratified per-reference Text,large/OBQA,2000,2000,0,0,0.815,0.702,0.924,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
stratified per-reference Text,large/ARC,2000,2000,0,1170,0.869,0.538,1.056,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
stratified per-reference Text,large/MMLU-Pro,2000,2000,0,0,0.896,0.806,1.006,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
stratified per-reference Text,MEDIAN of 7,2000,2000,0,,0.854,0.769,0.936,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
stratified per-reference C2C,small/OBQA,2000,2000,0,0,0.802,0.694,0.923,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
stratified per-reference C2C,small/ARC,2000,2000,0,0,0.865,0.691,1.078,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
stratified per-reference C2C,medium/OBQA,2000,2000,0,0,1.218,0.984,1.517,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
stratified per-reference C2C,medium/ARC,2000,1998,2,0,1.573,0.964,2.844,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
stratified per-reference C2C,large/OBQA,2000,2000,0,0,1.106,0.823,1.558,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
stratified per-reference C2C,large/ARC,2000,1956,44,134,1.457,0.800,3.151,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
stratified per-reference C2C,large/MMLU-Pro,2000,2000,0,0,1.225,1.067,1.406,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
stratified per-reference C2C,MEDIAN of 7,2000,2000,0,,1.138,0.947,1.331,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
stratified per-reference C2C,MEDIAN of the 5 medium/large,2000,2000,0,,1.232,1.059,1.448,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
