population,reference,check,expected,obtained,mc_se,abs_diff_in_mc_se,pass_,s_plus_gain_always_zero,label
small/OBQA,Text,"mean null gain == min(n-, elig-) * g_-",109.1971,109.1870,0.1738,0.058,True,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/OBQA,C2C,"mean null gain == min(n-, elig-) * g_-",117.4696,117.7150,0.1651,1.486,True,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/ARC,Text,"mean null gain == min(n-, elig-) * g_-",46.1813,46.1820,0.1155,0.006,True,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/ARC,C2C,"mean null gain == min(n-, elig-) * g_-",59.2515,59.0790,0.1098,1.571,True,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/OBQA,Text,"mean null gain == min(n-, elig-) * g_-",79.5833,79.4630,0.0918,1.311,True,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/OBQA,C2C,"mean null gain == min(n-, elig-) * g_-",52.8433,52.8310,0.1034,0.119,True,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/ARC,Text,"mean null gain == min(n-, elig-) * g_-",19.6585,19.6720,0.0478,0.281,True,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/ARC,C2C,"mean null gain == min(n-, elig-) * g_-",14.5854,14.7530,0.0512,3.277,False,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,Text,"mean null gain == min(n-, elig-) * g_-",37.2857,37.2360,0.0694,0.717,True,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,C2C,"mean null gain == min(n-, elig-) * g_-",17.2619,17.2390,0.0633,0.362,True,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/ARC,Text,"mean null gain == min(n-, elig-) * g_-",9.0000,9.0000,0.0000,0,True,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/ARC,C2C,"mean null gain == min(n-, elig-) * g_-",5.4000,5.4060,0.0155,0.386,True,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/MMLU-Pro,Text,"mean null gain == min(n-, elig-) * g_-",148.3531,148.1960,0.2291,0.686,True,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/MMLU-Pro,C2C,"mean null gain == min(n-, elig-) * g_-",189.5623,189.4760,0.2168,0.398,True,True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
