population,reference,N,n_plus,n_minus,elig_plus,elig_minus,n_questions_S_plus,n_questions_S_minus,drawn_S_minus,drawn_S_plus,undetermined,under_matched_S_plus,real_gain_over_R,null_gain_mean,null_gain_p2_5,null_gain_p97_5,g_minus,stratified_ratio,appendix_scaled_ratio_if_undetermined,unstratified_ratio_stored_E9a,unstratified_CI95_stored_E9a,draws,seed,label
small/OBQA,Text,742,75,264,179,411,285,457,264,75,no,no,136,109.187,98.0,120.0,0.414,0.803,,0.719,"[0.606, 0.845]",1000,0,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/OBQA,C2C,742,66,284,179,411,285,457,284,66,no,no,147,117.715,107.0,128.0,0.414,0.801,,0.686,"[0.584, 0.804]",1000,0,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/ARC,Text,299,39,106,60,171,110,189,106,39,no,no,55,46.182,39.0,54.0,0.436,0.840,,0.851,"[0.671, 1.080]",1000,0,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/ARC,C2C,299,24,136,60,171,110,189,136,24,no,no,69,59.079,52.0,66.0,0.436,0.856,,0.747,"[0.598, 0.953]",1000,0,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/OBQA,Text,742,49,125,103,150,490,252,125,49,no,no,82,79.463,74.0,85.0,0.637,0.969,,0.800,"[0.680, 0.945]",1000,0,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/OBQA,C2C,742,48,83,103,150,490,252,83,48,no,no,44,52.831,46.0,59.0,0.637,1.201,,1.125,"[0.880, 1.464]",1000,0,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/ARC,Text,299,21,31,32,41,217,82,31,21,no,no,25,19.672,17.0,23.0,0.634,0.787,,0.742,"[0.505, 1.057]",1000,0,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/ARC,C2C,299,25,23,32,41,217,82,23,25,no,no,10,14.753,11.0,18.0,0.634,1.475,,1.705,"[1.019, 3.449]",1000,0,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,Text,742,18,54,82,84,617,125,54,18,no,no,46,37.236,33.0,41.0,0.690,0.809,,0.547,"[0.443, 0.665]",1000,0,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,C2C,742,35,25,82,84,617,125,25,35,no,no,16,17.239,13.0,21.0,0.690,1.077,,1.313,"[0.882, 2.175]",1000,0,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/ARC,Text,299,4,11,17,10,268,31,10,4,yes,no,10,9.000,9.0,9.0,0.900,0.900,0.990,0.498,"[0.263, 0.778]",1000,0,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/ARC,C2C,299,6,6,17,10,268,31,6,6,no,no,4,5.406,5.0,6.0,0.900,1.351,,0.986,"[0.490, 2.970]",1000,0,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/MMLU-Pro,Text,2641,129,432,288,827,1282,1359,432,129,no,no,166,148.196,135.0,163.0,0.343,0.893,,0.861,"[0.769, 0.969]",1000,0,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/MMLU-Pro,C2C,2641,204,552,288,827,1282,1359,552,204,no,no,155,189.476,176.0,203.0,0.343,1.222,,1.246,"[1.071, 1.447]",1000,0,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
