population,N,action,n_S_minus,n_S_plus,changes_S_minus,wrong_to_right,wrong_to_wrong,wrong_to_right_share,share_CP95_lo,share_CP95_hi,changes_S_plus_right_to_wrong,INVALID_among_S_minus_changes,INVALID_among_S_plus_changes,null_g_minus,label
small/OBQA,742,Text,457,285,264,136,128,0.515,0.453,0.577,75,18,14,0.414,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/OBQA,742,C2C,457,285,284,147,137,0.518,0.458,0.577,66,0,0,0.414,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/OBQA,742,V1,457,285,399,164,235,0.411,0.362,0.461,159,8,13,0.414,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/OBQA,742,V2,457,285,166,78,88,0.470,0.392,0.549,47,23,13,0.414,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/ARC,299,Text,189,110,106,55,51,0.519,0.420,0.617,39,5,6,0.436,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/ARC,299,C2C,189,110,136,69,67,0.507,0.420,0.594,24,0,3,0.436,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/ARC,299,V1,189,110,157,65,92,0.414,0.336,0.495,52,7,2,0.436,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/ARC,299,V2,189,110,71,38,33,0.535,0.413,0.655,18,6,3,0.436,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/OBQA,742,Text,252,490,125,82,43,0.656,0.566,0.739,49,1,0,0.637,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/OBQA,742,C2C,252,490,83,44,39,0.530,0.417,0.641,48,8,5,0.637,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/OBQA,742,V1,252,490,109,66,43,0.606,0.507,0.698,74,1,1,0.637,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/OBQA,742,V2,252,490,103,66,37,0.641,0.540,0.733,49,0,0,0.637,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/ARC,299,Text,82,217,31,25,6,0.806,0.625,0.925,21,0,0,0.634,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/ARC,299,C2C,82,217,23,10,13,0.435,0.232,0.655,25,6,6,0.634,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/ARC,299,V1,82,217,33,19,14,0.576,0.392,0.745,20,0,0,0.634,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/ARC,299,V2,82,217,23,16,7,0.696,0.471,0.868,13,0,0,0.634,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,742,Text,125,617,54,46,8,0.852,0.729,0.934,18,0,0,0.690,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,742,C2C,125,617,25,16,9,0.640,0.425,0.820,35,0,0,0.690,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,742,V1,125,617,71,48,23,0.676,0.555,0.782,66,1,2,0.690,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,742,V2,125,617,44,31,13,0.705,0.548,0.832,24,0,0,0.690,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/ARC,299,Text,31,268,11,10,1,0.909,0.587,0.998,4,0,0,0.900,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/ARC,299,C2C,31,268,6,4,2,0.667,0.223,0.957,6,0,0,0.900,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/ARC,299,V1,31,268,6,6,0,1.000,0.541,1.000,14,0,0,0.900,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/ARC,299,V2,31,268,8,7,1,0.875,0.473,0.997,4,0,0,0.900,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/MMLU-Pro,2641,Text,1359,1282,432,166,266,0.384,0.338,0.432,129,0,1,0.343,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/MMLU-Pro,2641,C2C,1359,1282,552,155,397,0.281,0.244,0.320,204,10,8,0.343,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/MMLU-Pro,2641,V1,1359,1282,686,232,454,0.338,0.303,0.375,228,2,2,0.343,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/MMLU-Pro,2641,V2,1359,1282,408,151,257,0.370,0.323,0.419,127,0,1,0.343,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
