population,action,wrong_to_right_share,null_g_minus,share_minus_g_pp,label
small/OBQA,Text,0.515,0.414,+10.1,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/OBQA,C2C,0.518,0.414,+10.4,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/OBQA,V1,0.411,0.414,-0.3,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/OBQA,V2,0.470,0.414,+5.6,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/ARC,Text,0.519,0.436,+8.3,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/ARC,C2C,0.507,0.436,+7.1,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/ARC,V1,0.414,0.436,-2.2,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/ARC,V2,0.535,0.436,+9.9,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/OBQA,Text,0.656,0.637,+1.9,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/OBQA,C2C,0.530,0.637,-10.7,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/OBQA,V1,0.606,0.637,-3.1,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/OBQA,V2,0.641,0.637,+0.4,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/ARC,Text,0.806,0.634,+17.2,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/ARC,C2C,0.435,0.634,-19.9,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/ARC,V1,0.576,0.634,-5.8,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/ARC,V2,0.696,0.634,+6.2,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,Text,0.852,0.690,+16.2,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,C2C,0.640,0.690,-5.0,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,V1,0.676,0.690,-1.4,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,V2,0.705,0.690,+1.5,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/ARC,Text,0.909,0.900,+0.9,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/ARC,C2C,0.667,0.900,-23.3,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/ARC,V1,1.000,0.900,+10.0,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/ARC,V2,0.875,0.900,-2.5,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/MMLU-Pro,Text,0.384,0.343,+4.1,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/MMLU-Pro,C2C,0.281,0.343,-6.2,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/MMLU-Pro,V1,0.338,0.343,-0.5,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/MMLU-Pro,V2,0.370,0.343,+2.7,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
