population,stratum,n_questions,n_eligible_P_nonempty,a_Text_only,b_C2C_only,c_both,c_same,a_plus_b_plus_c,K_drawn,a_used,b_used,c_used,c_same_used,under_matched,forced_same_mean_per_draw,label
small/OBQA,R_incorrect,457,411,74,94,190,100,358,358,74,94,190,100,no,69.16,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/OBQA,R_correct,285,179,46,37,29,14,112,112,46,37,29,14,no,13.34,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/ARC,R_incorrect,189,171,18,48,88,46,154,154,18,48,88,46,no,32.97,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
small/ARC,R_correct,110,60,27,12,12,8,51,51,27,12,12,8,no,3.47,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/OBQA,R_incorrect,252,150,75,33,50,32,158,150,71,31,48,32,yes,13.51,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/OBQA,R_correct,490,103,38,37,11,5,86,86,38,37,11,5,no,5.43,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/ARC,R_incorrect,82,41,18,10,13,6,41,41,18,10,13,6,no,5.94,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
medium/ARC,R_correct,217,32,11,15,10,7,36,32,10,13,9,7,yes,2.00,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA,R_incorrect,125,84,42,13,12,9,67,67,42,13,12,9,no,2.70,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/OBQA,R_correct,617,82,13,30,5,4,48,48,13,30,5,4,no,0.97,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/ARC,R_incorrect,31,10,8,3,3,2,14,10,6,2,2,2,yes,0.00,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/ARC,R_correct,268,17,3,5,1,1,9,9,3,5,1,1,no,0.00,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/MMLU-Pro,R_incorrect,1359,827,202,322,230,103,754,754,202,322,230,103,no,105.40,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
large/MMLU-Pro,R_correct,1282,288,75,150,54,23,279,279,75,150,54,23,no,27.49,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
