check,expected,obtained,pass_,label
0a interval small/OBQA per-reference Text,"[0.606, 0.845]","[0.606, 0.845]",True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0a interval small/ARC per-reference Text,"[0.671, 1.080]","[0.671, 1.080]",True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0a interval medium/OBQA per-reference Text,"[0.680, 0.945]","[0.680, 0.945]",True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0a interval medium/ARC per-reference Text,"[0.505, 1.057]","[0.505, 1.057]",True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0a interval large/OBQA per-reference Text,"[0.443, 0.665]","[0.443, 0.665]",True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0a interval large/ARC per-reference Text,"[0.263, 0.778]","[0.263, 0.778]",True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0a interval large/MMLU-Pro per-reference Text,"[0.769, 0.969]","[0.769, 0.969]",True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0a interval MEDIAN of 7 per-reference Text,"[0.644, 0.840]","[0.644, 0.840]",True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0a interval small/OBQA per-reference C2C,"[0.584, 0.804]","[0.584, 0.804]",True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0a interval small/ARC per-reference C2C,"[0.598, 0.953]","[0.598, 0.953]",True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0a interval medium/OBQA per-reference C2C,"[0.880, 1.464]","[0.880, 1.464]",True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0a interval medium/ARC per-reference C2C,"[1.019, 3.449]","[1.019, 3.449]",True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0a interval large/OBQA per-reference C2C,"[0.882, 2.175]","[0.882, 2.175]",True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0a interval large/ARC per-reference C2C,"[0.490, 2.970]","[0.490, 2.970]",True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0a interval large/MMLU-Pro per-reference C2C,"[1.071, 1.447]","[1.071, 1.447]",True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
0a interval MEDIAN of 7 per-reference C2C,"[0.895, 1.349]","[0.895, 1.349]",True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
"0a stored median interval, per-reference Text","[0.644, 0.840]","[0.644, 0.840]",True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
"0a stored median interval, per-reference C2C","[0.895, 1.349]","[0.895, 1.349]",True,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
