population,reference,real_gain_over_R,stored_E9a,label
small/OBQA,Text,136,136,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/OBQA,C2C,147,147,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/ARC,Text,55,55,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
small/ARC,C2C,69,69,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/OBQA,Text,82,82,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/OBQA,C2C,44,44,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/ARC,Text,25,25,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
medium/ARC,C2C,10,10,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,Text,46,46,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/OBQA,C2C,16,16,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/ARC,Text,10,10,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/ARC,C2C,4,4,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/MMLU-Pro,Text,166,166,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
large/MMLU-Pro,C2C,155,155,"POST HOC (E22, PREREG.md); stored outputs only; does not change any primary decision"
