pair,dataset,reference,q,threshold,N,n_R,changed,conditional_risk,p_value,CP_upper_0_999,accepted,coverage,calculation_identity
large,obqa,C,0.05,0.0,1366,642,2,0.003115264797507788,3.0209317677572816e-12,0.017365250981299454,True,0.4699853587115666,new
large,obqa,C,0.1,0.0,1366,642,2,0.003115264797507788,3.0209317677572816e-12,0.017365250981299454,True,0.4699853587115666,new
large,obqa,C,0.15,0.0,1366,642,2,0.003115264797507788,3.0209317677572816e-12,0.017365250981299454,True,0.4699853587115666,new
large,obqa,C,0.2,0.0,1366,642,2,0.003115264797507788,3.0209317677572816e-12,0.017365250981299454,True,0.4699853587115666,new
large,obqa,C,0.25,0.0,1366,642,2,0.003115264797507788,3.0209317677572816e-12,0.017365250981299454,True,0.4699853587115666,new
large,obqa,C,0.3,0.0,1366,642,2,0.003115264797507788,3.0209317677572816e-12,0.017365250981299454,True,0.4699853587115666,new
large,obqa,C,0.35,0.0,1366,642,2,0.003115264797507788,3.0209317677572816e-12,0.017365250981299454,True,0.4699853587115666,new
large,obqa,C,0.4,0.0,1366,642,2,0.003115264797507788,3.0209317677572816e-12,0.017365250981299454,True,0.4699853587115666,new
large,obqa,C,0.45,0.0,1366,642,2,0.003115264797507788,3.0209317677572816e-12,0.017365250981299454,True,0.4699853587115666,new
large,obqa,C,0.5,1.1920928955078125e-07,1366,683,2,0.0029282576866764276,4.159829941688358e-13,0.01632986518630855,True,0.5,new
large,obqa,C,0.55,3.5762786865234375e-07,1366,728,3,0.004120879120879121,6.130451995963371e-13,0.01781908987454812,True,0.5329428989751098,new
large,obqa,C,0.6,1.7881393432617188e-06,1366,807,4,0.004956629491945477,1.5630973203410264e-13,0.018210079155942593,True,0.5907759882869692,new
large,obqa,C,0.65,7.987022399902344e-06,1366,870,4,0.004597701149425287,8.284684543850362e-15,0.016899601361964847,True,0.636896046852123,new
large,obqa,C,0.7,4.5418739318847656e-05,1366,932,8,0.008583690987124463,1.6636519116978745e-12,0.022539993733984718,True,0.6822840409956076,new
large,obqa,C,0.75,0.0002611875534057617,1366,999,13,0.013013013013013013,2.568461338288297e-10,0.028254933030849024,True,0.7313323572474377,new
large,obqa,C,0.8,0.001170039176940918,1366,1064,22,0.020676691729323307,6.7085048137187e-07,0.03791617334278821,True,0.7789165446559297,new
large,obqa,C,0.85,0.008580565452575684,1366,1135,37,0.03259911894273128,0.002845311366930047,0.052263637801804055,False,0.8308931185944363,new
large,obqa,C,0.9,0.04792952537536621,1366,1217,64,0.05258833196384552,0.6897642195326337,0.07533485290721414,False,0.8909224011713031,new
large,obqa,C,0.95,0.22272759675979614,1366,1297,90,0.06939090208172706,0.9990641457081348,0.0938688493420469,False,0.9494875549048316,new
large,obqa,C,1.0,Infinity,1366,1366,127,0.09297218155197658,0.9999999999811713,0.11964723548538636,False,1.0,new
large,arc,T,0.05,0.0,448,321,0,0.0,7.067686831570697e-08,0.021289594699944462,True,0.7165178571428571,new
large,arc,T,0.1,0.0,448,321,0,0.0,7.067686831570697e-08,0.021289594699944462,True,0.7165178571428571,new
large,arc,T,0.15,0.0,448,321,0,0.0,7.067686831570697e-08,0.021289594699944462,True,0.7165178571428571,new
large,arc,T,0.2,0.0,448,321,0,0.0,7.067686831570697e-08,0.021289594699944462,True,0.7165178571428571,new
large,arc,T,0.25,0.0,448,321,0,0.0,7.067686831570697e-08,0.021289594699944462,True,0.7165178571428571,new
large,arc,T,0.3,0.0,448,321,0,0.0,7.067686831570697e-08,0.021289594699944462,True,0.7165178571428571,new
large,arc,T,0.35,0.0,448,321,0,0.0,7.067686831570697e-08,0.021289594699944462,True,0.7165178571428571,new
large,arc,T,0.4,0.0,448,321,0,0.0,7.067686831570697e-08,0.021289594699944462,True,0.7165178571428571,new
large,arc,T,0.45,0.0,448,321,0,0.0,7.067686831570697e-08,0.021289594699944462,True,0.7165178571428571,new
large,arc,T,0.5,0.0,448,321,0,0.0,7.067686831570697e-08,0.021289594699944462,True,0.7165178571428571,new
large,arc,T,0.55,0.0,448,321,0,0.0,7.067686831570697e-08,0.021289594699944462,True,0.7165178571428571,new
large,arc,T,0.6,0.0,448,321,0,0.0,7.067686831570697e-08,0.021289594699944462,True,0.7165178571428571,new
large,arc,T,0.65,0.0,448,321,0,0.0,7.067686831570697e-08,0.021289594699944462,True,0.7165178571428571,new
large,arc,T,0.7,0.0,448,321,0,0.0,7.067686831570697e-08,0.021289594699944462,True,0.7165178571428571,new
large,arc,T,0.75,1.1920928955078125e-07,448,338,0,0.0,2.9551435872405092e-08,0.020229722779738363,True,0.7544642857142857,new
large,arc,T,0.8,8.940696716308594e-07,448,359,0,0.0,1.0064085059855213e-08,0.019057719107777083,True,0.8013392857142857,new
large,arc,T,0.85,3.457069396972656e-05,448,385,1,0.0025974025974025974,5.6391779624023226e-08,0.023728116359650362,True,0.859375,new
large,arc,T,0.9,0.0007095932960510254,448,404,3,0.007425742574257425,1.8395676690471413e-06,0.03193226928210504,True,0.9017857142857143,new
large,arc,T,0.95,0.01800704002380371,448,422,4,0.009478672985781991,4.801495832619201e-06,0.034611682349104694,True,0.9419642857142857,new
large,arc,T,1.0,Infinity,448,448,12,0.026785714285714284,0.010802134398183727,0.059318978439679634,False,1.0,new
large,arc,C,0.05,0.0,448,321,2,0.006230529595015576,1.1320045778432438e-05,0.03448212218456295,True,0.7165178571428571,new
large,arc,C,0.1,0.0,448,321,2,0.006230529595015576,1.1320045778432438e-05,0.03448212218456295,True,0.7165178571428571,new
large,arc,C,0.15,0.0,448,321,2,0.006230529595015576,1.1320045778432438e-05,0.03448212218456295,True,0.7165178571428571,new
large,arc,C,0.2,0.0,448,321,2,0.006230529595015576,1.1320045778432438e-05,0.03448212218456295,True,0.7165178571428571,new
large,arc,C,0.25,0.0,448,321,2,0.006230529595015576,1.1320045778432438e-05,0.03448212218456295,True,0.7165178571428571,new
large,arc,C,0.3,0.0,448,321,2,0.006230529595015576,1.1320045778432438e-05,0.03448212218456295,True,0.7165178571428571,new
large,arc,C,0.35,0.0,448,321,2,0.006230529595015576,1.1320045778432438e-05,0.03448212218456295,True,0.7165178571428571,new
large,arc,C,0.4,0.0,448,321,2,0.006230529595015576,1.1320045778432438e-05,0.03448212218456295,True,0.7165178571428571,new
large,arc,C,0.45,0.0,448,321,2,0.006230529595015576,1.1320045778432438e-05,0.03448212218456295,True,0.7165178571428571,new
large,arc,C,0.5,0.0,448,321,2,0.006230529595015576,1.1320045778432438e-05,0.03448212218456295,True,0.7165178571428571,new
large,arc,C,0.55,0.0,448,321,2,0.006230529595015576,1.1320045778432438e-05,0.03448212218456295,True,0.7165178571428571,new
large,arc,C,0.6,0.0,448,321,2,0.006230529595015576,1.1320045778432438e-05,0.03448212218456295,True,0.7165178571428571,new
large,arc,C,0.65,0.0,448,321,2,0.006230529595015576,1.1320045778432438e-05,0.03448212218456295,True,0.7165178571428571,new
large,arc,C,0.7,0.0,448,321,2,0.006230529595015576,1.1320045778432438e-05,0.03448212218456295,True,0.7165178571428571,new
large,arc,C,0.75,1.1920928955078125e-07,448,338,2,0.005917159763313609,5.217424700176114e-06,0.032771455892634714,True,0.7544642857142857,new
large,arc,C,0.8,8.940696716308594e-07,448,359,2,0.005571030640668524,1.9917130995324734e-06,0.0308790694080494,True,0.8013392857142857,new
large,arc,C,0.85,3.457069396972656e-05,448,385,3,0.007792207792207792,4.248385402754289e-06,0.033487574913000445,True,0.859375,new
large,arc,C,0.9,0.0007095932960510254,448,404,7,0.017326732673267328,0.0005396969574823307,0.04782528727380111,True,0.9017857142857143,new
large,arc,C,0.95,0.01800704002380371,448,422,11,0.026066350710900472,0.010694973881189,0.05959548203093573,False,0.9419642857142857,new
large,arc,C,1.0,Infinity,448,448,21,0.046875,0.43509867343301667,0.0860917822721633,False,1.0,new
small,obqa,T,0.05,0.00014084577560424805,1366,65,5,0.07692307692307693,0.8941257108629487,0.23172368159371168,False,0.04758418740849195,new
small,obqa,T,0.1,0.0004979372024536133,1366,142,19,0.13380281690140844,0.9999707550200378,0.24248525418559902,False,0.10395314787701318,new
small,obqa,T,0.15,0.0009494423866271973,1366,216,35,0.16203703703703703,0.9999999997444692,0.25194142503922806,False,0.1581259150805271,new
small,obqa,T,0.2,0.0018350481986999512,1366,282,55,0.1950354609929078,1.0,0.2765971206969285,False,0.20644216691068815,new
small,obqa,T,0.25,0.0032129883766174316,1366,375,92,0.24533333333333332,1.0,0.31954022512368624,False,0.2745241581259151,new
small,obqa,T,0.3,0.00520014762878418,1366,447,123,0.2751677852348993,1.0,0.34463477337678644,False,0.32723279648609077,new
small,obqa,T,0.35,0.0075501203536987305,1366,506,155,0.30632411067193677,1.0,0.37292855449722234,False,0.37042459736456806,new
small,obqa,T,0.4,0.011367261409759521,1366,572,189,0.3304195804195804,1.0,0.3938120640790381,False,0.41874084919472915,new
small,obqa,T,0.45,0.01766204833984375,1366,642,211,0.32866043613707163,1.0,0.38831328922279656,False,0.4699853587115666,new
small,obqa,T,0.5,0.023335695266723633,1366,703,245,0.3485064011379801,1.0,0.4060122222256515,False,0.5146412884333821,new
small,obqa,T,0.55,0.033761560916900635,1366,790,294,0.3721518987341772,1.0,0.4268517205644399,False,0.5783308931185944,new
small,obqa,T,0.6,0.047892868518829346,1366,868,323,0.3721198156682028,1.0,0.42424242494755454,False,0.6354319180087847,new
