pair,dataset,reference,q,threshold,N,n_R,changed,conditional_risk,p_value,CP_upper_0_999,accepted,coverage,calculation_identity
large,obqa,T,0.05,0.0,1366,642,1,0.001557632398753894,1.7378106481890661e-13,0.014290400585786074,True,0.4699853587115666,reused
large,obqa,T,0.1,0.0,1366,642,1,0.001557632398753894,1.7378106481890661e-13,0.014290400585786074,True,0.4699853587115666,reused
large,obqa,T,0.15,0.0,1366,642,1,0.001557632398753894,1.7378106481890661e-13,0.014290400585786074,True,0.4699853587115666,reused
large,obqa,T,0.2,0.0,1366,642,1,0.001557632398753894,1.7378106481890661e-13,0.014290400585786074,True,0.4699853587115666,reused
large,obqa,T,0.25,0.0,1366,642,1,0.001557632398753894,1.7378106481890661e-13,0.014290400585786074,True,0.4699853587115666,reused
large,obqa,T,0.3,0.0,1366,642,1,0.001557632398753894,1.7378106481890661e-13,0.014290400585786074,True,0.4699853587115666,reused
large,obqa,T,0.35,0.0,1366,642,1,0.001557632398753894,1.7378106481890661e-13,0.014290400585786074,True,0.4699853587115666,reused
large,obqa,T,0.4,0.0,1366,642,1,0.001557632398753894,1.7378106481890661e-13,0.014290400585786074,True,0.4699853587115666,reused
large,obqa,T,0.45,0.0,1366,642,1,0.001557632398753894,1.7378106481890661e-13,0.014290400585786074,True,0.4699853587115666,reused
large,obqa,T,0.5,1.1920928955078125e-07,1366,683,1,0.0014641288433382138,2.2532320678619448e-14,0.013437722498507833,True,0.5,reused
large,obqa,T,0.55,3.5762786865234375e-07,1366,728,1,0.0013736263736263737,2.3842492305152782e-15,0.01261178588506713,True,0.5329428989751098,reused
large,obqa,T,0.6,1.7881393432617188e-06,1366,807,2,0.0024783147459727386,9.956079973330062e-16,0.01383503443046264,True,0.5907759882869692,reused
large,obqa,T,0.65,7.987022399902344e-06,1366,870,4,0.004597701149425287,8.284684543850362e-15,0.016899601361964847,True,0.636896046852123,reused
large,obqa,T,0.7,4.5418739318847656e-05,1366,932,8,0.008583690987124463,1.6636519116978745e-12,0.022539993733984718,True,0.6822840409956076,reused
large,obqa,T,0.75,0.0002611875534057617,1366,999,12,0.012012012012012012,6.271074729588066e-11,0.026850016141144115,True,0.7313323572474377,reused
large,obqa,T,0.8,0.001170039176940918,1366,1064,18,0.016917293233082706,1.1550466704560778e-08,0.03295449557541666,True,0.7789165446559297,reused
large,obqa,T,0.85,0.008580565452575684,1366,1135,42,0.03700440528634361,0.022446629250218845,0.05765106665201144,False,0.8308931185944363,reused
large,obqa,T,0.9,0.04792952537536621,1366,1217,67,0.05505341002465078,0.8104583156546636,0.0782128545393063,False,0.8909224011713031,reused
large,obqa,T,0.95,0.22272759675979614,1366,1297,102,0.07864302235929067,0.9999958419210573,0.10435341341322,False,0.9494875549048316,reused
large,obqa,T,1.0,Infinity,1366,1366,143,0.10468521229868229,0.9999999999999999,0.1326098138082249,False,1.0,reused
