pair,dataset,reference,split,N_rows,N_groups,N,d_count,disagreement_rate,AUROC,AP
large,obqa,T,fit,2100,2100,2100,203,0.09666666666666666,0.9078049084502106,0.46799955334021426
large,obqa,T,cal,1366,1366,1366,143,0.10468521229868229,0.9186226692359153,0.5410299533174374
large,obqa,T,dev,742,742,742,72,0.09703504043126684,0.8727300995024876,0.3929204236654057
large,obqa,C,fit,2100,2100,2100,160,0.0761904761904762,0.9152077963917525,0.38168518106993726
large,obqa,C,cal,1366,1366,1366,127,0.09297218155197658,0.9051591008751025,0.4608981189685524
large,obqa,C,dev,742,742,742,60,0.08086253369272237,0.8826490713587488,0.3346294989411315
large,arc,T,fit,671,670,670,32,0.04776119402985075,0.9380387931034483,0.4293978002109748
large,arc,T,cal,448,448,448,12,0.026785714285714284,0.946387614678899,0.32215384974975764
large,arc,T,dev,299,299,299,15,0.05016722408026756,0.9518779342723005,0.36938046400975466
large,arc,C,fit,671,670,670,31,0.04626865671641791,0.9323287394618608,0.5281664550398567
large,arc,C,cal,448,448,448,21,0.046875,0.9005799040927845,0.39450845717771893
large,arc,C,dev,299,299,299,12,0.04013377926421405,0.9088269454123112,0.5063098816473641
small,obqa,T,fit,2100,2100,2100,977,0.46523809523809523,0.6531124136529309,0.5901410980611945
small,obqa,T,cal,1366,1366,1366,598,0.4377745241581259,0.6450091886148273,0.5542131744720427
small,obqa,T,dev,742,742,742,339,0.4568733153638814,0.6414282263554317,0.5715733864095656
small,obqa,C,fit,2100,2100,2100,998,0.47523809523809524,0.7223776045739392,0.6448984713064962
small,obqa,C,cal,1366,1366,1366,640,0.4685212298682284,0.7067267131542699,0.6262667785536881
small,obqa,C,dev,742,742,742,350,0.4716981132075472,0.7002332361516035,0.6167770584929302
small,arc,T,fit,671,670,670,344,0.5134328358208955,0.6259987159366529,0.6317052823414322
small,arc,T,cal,448,448,448,233,0.5200892857142857,0.6444355724124164,0.6304307705984449
small,arc,T,dev,299,299,299,145,0.48494983277591974,0.6339901477832514,0.5998159724074159
small,arc,C,fit,671,670,670,360,0.5373134328358209,0.742105734767025,0.7048191678242575
small,arc,C,cal,448,448,448,254,0.5669642857142857,0.7065305625456612,0.7174798547579345
small,arc,C,dev,299,299,299,160,0.5351170568561873,0.6406474820143885,0.6159254527385358
