pair,dataset,reference,policy,N,n_R,coverage,changed,conditional_risk,marginal_change,correct,accuracy,reference_correct,accuracy_diff_reference,best_fixed_correct,accuracy_diff_best_fixed,benefit,harm,neutral_change,risk_CP95_low,risk_CP95_high
large,obqa,T,Fixed_R,742,742,1.0,72,0.09703504043126684,0.09703504043126684,617,0.8315363881401617,645,-0.03773584905660377,645,-0.037735849056603765,18,46,8,0.07669915718962547,0.12063764140899545
large,obqa,T,Fixed_reference,742,0,0.0,0,,0.0,645,0.8692722371967655,645,0.0,645,0.0,0,0,0,,
large,obqa,C,Fixed_R,742,742,1.0,60,0.08086253369272237,0.08086253369272237,617,0.8315363881401617,598,0.025606469002695417,645,-0.037735849056603765,35,16,9,0.06227145133709894,0.10286266949398791
large,obqa,C,Fixed_reference,742,0,0.0,0,,0.0,598,0.8059299191374663,598,0.0,645,-0.06334231805929924,0,0,0,,
large,arc,T,Fixed_R,299,299,1.0,15,0.05016722408026756,0.05016722408026756,268,0.8963210702341137,274,-0.020066889632107024,274,-0.02006688963210701,4,10,1,0.02834660005634373,0.0813941844080327
large,arc,T,Fixed_reference,299,0,0.0,0,,0.0,274,0.9163879598662207,274,0.0,274,0.0,0,0,0,,
large,arc,C,Fixed_R,299,299,1.0,12,0.04013377926421405,0.04013377926421405,268,0.8963210702341137,266,0.006688963210702341,274,-0.02006688963210701,6,4,2,0.02090683674265958,0.06905568750433605
large,arc,C,Fixed_reference,299,0,0.0,0,,0.0,266,0.8896321070234113,266,0.0,274,-0.026755852842809347,0,0,0,,
small,obqa,T,Fixed_R,742,742,1.0,339,0.4568733153638814,0.4568733153638814,285,0.38409703504043125,346,-0.08221024258760108,366,-0.10916442048517522,75,136,128,0.42059009993930385,0.49350061230422243
small,obqa,T,Fixed_reference,742,0,0.0,0,,0.0,346,0.46630727762803237,346,0.0,366,-0.026954177897574094,0,0,0,,
small,obqa,C,Fixed_R,742,742,1.0,350,0.4716981132075472,0.4716981132075472,285,0.38409703504043125,366,-0.1091644204851752,366,-0.10916442048517522,66,147,137,0.43527961595540554,0.5083424025358024
small,obqa,C,Fixed_reference,742,0,0.0,0,,0.0,366,0.49326145552560646,366,0.0,366,0.0,0,0,0,,
small,arc,T,Fixed_R,299,299,1.0,145,0.48494983277591974,0.48494983277591974,110,0.36789297658862874,126,-0.05351170568561873,155,-0.1505016722408027,39,55,51,0.42702471822612137,0.54317606797797
small,arc,T,Fixed_reference,299,0,0.0,0,,0.0,126,0.4214046822742475,126,0.0,155,-0.09698996655518394,0,0,0,,
small,arc,C,Fixed_R,299,299,1.0,160,0.5351170568561873,0.5351170568561873,110,0.36789297658862874,155,-0.1505016722408027,155,-0.1505016722408027,24,69,67,0.4768033687105418,0.5927280787120183
small,arc,C,Fixed_reference,299,0,0.0,0,,0.0,155,0.5183946488294314,155,0.0,155,0.0,0,0,0,,
