pair,dataset,reference,population,metric,difference,CI95_low,CI95_high,seed,replicates,unit,index_sha256
large,obqa,T,full_dev,accuracy_diff_reference,-0.009433962264150943,-0.0215633423180593,0.0013477088948787063,0,2000,independent group representative,3930b1a8978281ce22258a44757d375dbe2a4c53bf24c2621f56f14798e455fa
large,obqa,T,panel128,accuracy_diff_reference,-0.0078125,-0.03144531249999999,0.015625,0,2000,independent panel group,ce1e04fefddb5c2a1854a52b18077a2343efacb398e7d085fc8fd17df695762e
large,obqa,T,panel128,cost_diff_reference_ms,-518.8908159784064,-576.3562013591036,-457.5329137713241,0,2000,independent panel group,ce1e04fefddb5c2a1854a52b18077a2343efacb398e7d085fc8fd17df695762e
large,obqa,T,panel128,U_diff_reference,0.012749544628123097,-0.014772995920625528,0.03725183714004216,0,2000,independent panel group,ce1e04fefddb5c2a1854a52b18077a2343efacb398e7d085fc8fd17df695762e
large,obqa,C,full_dev,accuracy_diff_reference,0.009433962264150943,0.0013477088948787063,0.018867924528301886,0,2000,independent group representative,3930b1a8978281ce22258a44757d375dbe2a4c53bf24c2621f56f14798e455fa
large,obqa,C,panel128,accuracy_diff_reference,0.0078125,0.0,0.0234375,0,2000,independent panel group,ce1e04fefddb5c2a1854a52b18077a2343efacb398e7d085fc8fd17df695762e
large,obqa,C,panel128,cost_diff_reference_ms,-28.174772251843926,-46.342233082478096,-10.360834625320544,0,2000,independent panel group,ce1e04fefddb5c2a1854a52b18077a2343efacb398e7d085fc8fd17df695762e
large,obqa,C,panel128,U_diff_reference,0.008928979433803901,0.0005460225718624342,0.025084426139493517,0,2000,independent panel group,ce1e04fefddb5c2a1854a52b18077a2343efacb398e7d085fc8fd17df695762e
large,arc,T,full_dev,accuracy_diff_reference,-0.013377926421404682,-0.033444816053511704,0.0033444816053511705,0,2000,independent group representative,27c8ae2bb93fa81bac4de491662c9a6f403c0d17b0eee29e62c5abca16d37993
large,arc,T,panel128,accuracy_diff_reference,0.0,-0.0234375,0.0234375,0,2000,independent panel group,ce1e04fefddb5c2a1854a52b18077a2343efacb398e7d085fc8fd17df695762e
large,arc,T,panel128,cost_diff_reference_ms,-697.1304413398125,-740.366675793665,-650.3707058365766,0,2000,independent panel group,ce1e04fefddb5c2a1854a52b18077a2343efacb398e7d085fc8fd17df695762e
large,arc,T,panel128,U_diff_reference,0.026115552076338252,0.0033801066735930133,0.04859318873650086,0,2000,independent panel group,ce1e04fefddb5c2a1854a52b18077a2343efacb398e7d085fc8fd17df695762e
large,arc,C,full_dev,accuracy_diff_reference,0.0033444816053511705,-0.006688963210702341,0.013377926421404682,0,2000,independent group representative,27c8ae2bb93fa81bac4de491662c9a6f403c0d17b0eee29e62c5abca16d37993
large,arc,C,panel128,accuracy_diff_reference,0.0078125,-0.015625,0.03125,0,2000,independent panel group,ce1e04fefddb5c2a1854a52b18077a2343efacb398e7d085fc8fd17df695762e
large,arc,C,panel128,cost_diff_reference_ms,-101.19800487106252,-130.55942282938906,-71.83708509671006,0,2000,independent panel group,ce1e04fefddb5c2a1854a52b18077a2343efacb398e7d085fc8fd17df695762e
large,arc,C,panel128,U_diff_reference,0.011603529066457771,-0.012277901152353467,0.03634126436695734,0,2000,independent panel group,ce1e04fefddb5c2a1854a52b18077a2343efacb398e7d085fc8fd17df695762e
small,obqa,T,full_dev,accuracy_diff_reference,0.0,0.0,0.0,0,2000,independent group representative,3930b1a8978281ce22258a44757d375dbe2a4c53bf24c2621f56f14798e455fa
small,obqa,T,panel128,accuracy_diff_reference,0.0,0.0,0.0,0,2000,independent panel group,ce1e04fefddb5c2a1854a52b18077a2343efacb398e7d085fc8fd17df695762e
