pair,dataset,reference,split,q,selected,cal_accepted,N,n_R,coverage,changed,conditional_risk,marginal_change,correct,accuracy,reference_correct,accuracy_diff_reference,best_fixed_correct,accuracy_diff_best_fixed,benefit,harm,neutral_change,risk_CP95_low,risk_CP95_high,identity
large,obqa,T,fit,0.05,False,True,2100,1049,0.49952380952380954,3,0.002859866539561487,0.0014285714285714286,1799,0.8566666666666667,1800,-0.0004761904761904762,1800,-0.0004761904761904079,1,2,0,0.0005901619878743287,0.008334796256223768,predeclared descriptive curve; no dev selection
large,obqa,T,fit,0.1,False,True,2100,1049,0.49952380952380954,3,0.002859866539561487,0.0014285714285714286,1799,0.8566666666666667,1800,-0.0004761904761904762,1800,-0.0004761904761904079,1,2,0,0.0005901619878743287,0.008334796256223768,predeclared descriptive curve; no dev selection
large,obqa,T,fit,0.15,False,True,2100,1049,0.49952380952380954,3,0.002859866539561487,0.0014285714285714286,1799,0.8566666666666667,1800,-0.0004761904761904762,1800,-0.0004761904761904079,1,2,0,0.0005901619878743287,0.008334796256223768,predeclared descriptive curve; no dev selection
large,obqa,T,fit,0.2,False,True,2100,1049,0.49952380952380954,3,0.002859866539561487,0.0014285714285714286,1799,0.8566666666666667,1800,-0.0004761904761904762,1800,-0.0004761904761904079,1,2,0,0.0005901619878743287,0.008334796256223768,predeclared descriptive curve; no dev selection
large,obqa,T,fit,0.25,False,True,2100,1049,0.49952380952380954,3,0.002859866539561487,0.0014285714285714286,1799,0.8566666666666667,1800,-0.0004761904761904762,1800,-0.0004761904761904079,1,2,0,0.0005901619878743287,0.008334796256223768,predeclared descriptive curve; no dev selection
large,obqa,T,fit,0.3,False,True,2100,1049,0.49952380952380954,3,0.002859866539561487,0.0014285714285714286,1799,0.8566666666666667,1800,-0.0004761904761904762,1800,-0.0004761904761904079,1,2,0,0.0005901619878743287,0.008334796256223768,predeclared descriptive curve; no dev selection
large,obqa,T,fit,0.35,False,True,2100,1049,0.49952380952380954,3,0.002859866539561487,0.0014285714285714286,1799,0.8566666666666667,1800,-0.0004761904761904762,1800,-0.0004761904761904079,1,2,0,0.0005901619878743287,0.008334796256223768,predeclared descriptive curve; no dev selection
large,obqa,T,fit,0.4,False,True,2100,1049,0.49952380952380954,3,0.002859866539561487,0.0014285714285714286,1799,0.8566666666666667,1800,-0.0004761904761904762,1800,-0.0004761904761904079,1,2,0,0.0005901619878743287,0.008334796256223768,predeclared descriptive curve; no dev selection
large,obqa,T,fit,0.45,False,True,2100,1049,0.49952380952380954,3,0.002859866539561487,0.0014285714285714286,1799,0.8566666666666667,1800,-0.0004761904761904762,1800,-0.0004761904761904079,1,2,0,0.0005901619878743287,0.008334796256223768,predeclared descriptive curve; no dev selection
large,obqa,T,fit,0.5,False,True,2100,1116,0.5314285714285715,3,0.002688172043010753,0.0014285714285714286,1799,0.8566666666666667,1800,-0.0004761904761904762,1800,-0.0004761904761904079,1,2,0,0.0005547091542274682,0.0078357032385624,predeclared descriptive curve; no dev selection
large,obqa,T,fit,0.55,False,True,2100,1172,0.5580952380952381,3,0.002559726962457338,0.0014285714285714286,1799,0.8566666666666667,1800,-0.0004761904761904762,1800,-0.0004761904761904079,1,2,0,0.0005281886373382845,0.0074622225828889594,predeclared descriptive curve; no dev selection
large,obqa,T,fit,0.6,False,True,2100,1267,0.6033333333333334,4,0.0031570639305445935,0.0019047619047619048,1800,0.8571428571428571,1800,0.0,1800,0.0,2,2,0,0.0008608429258522822,0.008063445822850726,predeclared descriptive curve; no dev selection
large,obqa,T,fit,0.65,False,True,2100,1366,0.6504761904761904,6,0.004392386530014641,0.002857142857142857,1798,0.8561904761904762,1800,-0.0009523809523809524,1800,-0.0009523809523809268,2,4,0,0.0016135823800141342,0.009535690296483912,predeclared descriptive curve; no dev selection
large,obqa,T,fit,0.7,False,True,2100,1470,0.7,15,0.01020408163265306,0.007142857142857143,1796,0.8552380952380952,1800,-0.0019047619047619048,1800,-0.0019047619047618536,5,9,1,0.005722077439801875,0.016774313141961893,predeclared descriptive curve; no dev selection
large,obqa,T,fit,0.75,False,True,2100,1578,0.7514285714285714,32,0.020278833967046894,0.015238095238095238,1784,0.8495238095238096,1800,-0.007619047619047619,1800,-0.007619047619047525,6,22,4,0.013911046240523374,0.028507913110720075,predeclared descriptive curve; no dev selection
large,obqa,T,fit,0.8,True,True,2100,1680,0.8,45,0.026785714285714284,0.02142857142857143,1779,0.8471428571428572,1800,-0.01,1800,-0.009999999999999898,9,30,6,0.019603277253790692,0.03567855079140414,predeclared descriptive curve; no dev selection
large,obqa,T,fit,0.85,False,False,2100,1785,0.85,71,0.039775910364145656,0.03380952380952381,1771,0.8433333333333334,1800,-0.01380952380952381,1800,-0.013809523809523716,18,47,6,0.031193589079907692,0.04990947303062778,predeclared descriptive curve; no dev selection
large,obqa,T,fit,0.9,False,False,2100,1890,0.9,103,0.054497354497354496,0.04904761904761905,1755,0.8357142857142857,1800,-0.02142857142857143,1800,-0.021428571428571352,24,69,10,0.04469720518187499,0.06570697315419438,predeclared descriptive curve; no dev selection
large,obqa,T,fit,0.95,False,False,2100,1995,0.95,147,0.07368421052631578,0.07,1741,0.829047619047619,1800,-0.028095238095238097,1800,-0.028095238095238062,36,95,16,0.06260253971011392,0.08603736618098594,predeclared descriptive curve; no dev selection
large,obqa,T,fit,1.0,False,False,2100,2100,1.0,203,0.09666666666666666,0.09666666666666666,1717,0.8176190476190476,1800,-0.039523809523809524,1800,-0.03952380952380952,46,129,28,0.08435950648241218,0.11011231655161621,predeclared descriptive curve; no dev selection
large,obqa,T,cal,0.05,False,True,1366,642,0.4699853587115666,1,0.001557632398753894,0.0007320644216691069,1177,0.8616398243045388,1178,-0.0007320644216691069,1178,-0.0007320644216691763,0,1,0,3.943506039932285e-05,0.008647735437862906,predeclared descriptive curve; no dev selection
large,obqa,T,cal,0.1,False,True,1366,642,0.4699853587115666,1,0.001557632398753894,0.0007320644216691069,1177,0.8616398243045388,1178,-0.0007320644216691069,1178,-0.0007320644216691763,0,1,0,3.943506039932285e-05,0.008647735437862906,predeclared descriptive curve; no dev selection
large,obqa,T,cal,0.15,False,True,1366,642,0.4699853587115666,1,0.001557632398753894,0.0007320644216691069,1177,0.8616398243045388,1178,-0.0007320644216691069,1178,-0.0007320644216691763,0,1,0,3.943506039932285e-05,0.008647735437862906,predeclared descriptive curve; no dev selection
large,obqa,T,cal,0.2,False,True,1366,642,0.4699853587115666,1,0.001557632398753894,0.0007320644216691069,1177,0.8616398243045388,1178,-0.0007320644216691069,1178,-0.0007320644216691763,0,1,0,3.943506039932285e-05,0.008647735437862906,predeclared descriptive curve; no dev selection
large,obqa,T,cal,0.25,False,True,1366,642,0.4699853587115666,1,0.001557632398753894,0.0007320644216691069,1177,0.8616398243045388,1178,-0.0007320644216691069,1178,-0.0007320644216691763,0,1,0,3.943506039932285e-05,0.008647735437862906,predeclared descriptive curve; no dev selection
large,obqa,T,cal,0.3,False,True,1366,642,0.4699853587115666,1,0.001557632398753894,0.0007320644216691069,1177,0.8616398243045388,1178,-0.0007320644216691069,1178,-0.0007320644216691763,0,1,0,3.943506039932285e-05,0.008647735437862906,predeclared descriptive curve; no dev selection
large,obqa,T,cal,0.35,False,True,1366,642,0.4699853587115666,1,0.001557632398753894,0.0007320644216691069,1177,0.8616398243045388,1178,-0.0007320644216691069,1178,-0.0007320644216691763,0,1,0,3.943506039932285e-05,0.008647735437862906,predeclared descriptive curve; no dev selection
large,obqa,T,cal,0.4,False,True,1366,642,0.4699853587115666,1,0.001557632398753894,0.0007320644216691069,1177,0.8616398243045388,1178,-0.0007320644216691069,1178,-0.0007320644216691763,0,1,0,3.943506039932285e-05,0.008647735437862906,predeclared descriptive curve; no dev selection
large,obqa,T,cal,0.45,False,True,1366,642,0.4699853587115666,1,0.001557632398753894,0.0007320644216691069,1177,0.8616398243045388,1178,-0.0007320644216691069,1178,-0.0007320644216691763,0,1,0,3.943506039932285e-05,0.008647735437862906,predeclared descriptive curve; no dev selection
