split,family,q,mode,N,n_R,coverage,changed,conditional_risk,marginal_change,benefit,harm,neutral_change,correct,accuracy,accuracy_diff_Text,INVALID_selected,routed_both_INVALID,routed_R_only_INVALID,routed_Text_only_INVALID,routed_both_valid,risk_CP95_descriptive_low,risk_CP95_descriptive_high,calibration_p_value,calibration_CP_upper_0_999,calibration_accepted,cost_identity,mean_cost_ms,median_cost_ms,p95_cost_ms,net_saving_vs_Text_ms,net_saving_vs_Text_fraction,U
fit,D,0.3,selective,2100,630,0.3,5,0.007936507936507936,0.002380952380952381,1,4,0,1797,0.8557142857142858,-0.0014285714285714286,1,0,0,0,630,0.0025818390453574863,0.01842331233591296,0.00040960882929912964,0.046781425415328697,True,NA,,,,,,
fit,R,0.4,selective,2100,840,0.4,13,0.015476190476190477,0.006190476190476191,3,9,1,1794,0.8542857142857143,-0.002857142857142857,2,0,1,0,839,0.008265479577196071,0.02631936098094925,0.000563729079806503,0.04824838475266088,True,NA,,,,,,
fit,Diff,0.0,fixed_T,2100,0,0.0,0,,0.0,0,0,0,1800,0.8571428571428571,0.0,1,0,0,0,0,,,,,False,NA,,,,,,
fit,H,0.25,selective,2100,525,0.25,3,0.005714285714285714,0.0014285714285714286,1,2,0,1799,0.8566666666666667,-0.0004761904761904762,1,0,0,0,525,0.0011799769243792085,0.01660806254702401,0.00023881525778559942,0.044501373522178506,True,NA,,,,,,
fit,Random,0.0,fixed_T,2100,0,0.0,0,,0.0,0,0,0,1800,0.8571428571428571,0.0,1,0,0,0,0,,,,,False,NA,,,,,,
fit,Fixed_R,,Fixed_R,2100,2100,1.0,203,0.09666666666666666,0.09666666666666666,46,129,28,1717,0.8176190476190476,-0.039523809523809524,2,0,2,1,2097,0.08435950648241218,0.11011231655161621,,,False,NA,,,,,,
fit,Fixed_Text,,Fixed_Text,2100,0,0.0,0,,0.0,0,0,0,1800,0.8571428571428571,0.0,1,0,0,0,0,,,,,False,NA,,,,,,
cal,D,0.3,selective,1366,380,0.2781844802342606,6,0.015789473684210527,0.004392386530014641,0,6,0,1172,0.8579795021961932,-0.004392386530014641,0,0,0,0,380,0.0058159325299253165,0.03404863990669557,0.00040960882929912964,0.046781425415328697,True,NA,,,,,,
cal,R,0.4,selective,1366,523,0.3828696925329429,11,0.021032504780114723,0.008052708638360176,0,11,0,1167,0.8543191800878477,-0.008052708638360176,0,0,0,0,523,0.01054499123753565,0.03732080368856371,0.000563729079806503,0.04824838475266088,True,NA,,,,,,
cal,Diff,0.0,fixed_T,1366,0,0.0,0,,0.0,0,0,0,1178,0.862371888726208,0.0,0,0,0,0,0,,,,,False,NA,,,,,,
cal,H,0.25,selective,1366,327,0.23938506588579794,4,0.012232415902140673,0.0029282576866764276,0,4,0,1174,0.8594436310395315,-0.0029282576866764276,0,0,0,0,327,0.003342705453589902,0.031022016472107977,0.00023881525778559942,0.044501373522178506,True,NA,,,,,,
cal,Random,0.0,fixed_T,1366,0,0.0,0,,0.0,0,0,0,1178,0.862371888726208,0.0,0,0,0,0,0,,,,,False,NA,,,,,,
cal,Fixed_R,,Fixed_R,1366,1366,1.0,143,0.10468521229868229,0.10468521229868229,25,90,28,1113,0.8147877013177159,-0.04758418740849195,2,0,2,0,1364,0.08894788037292162,0.122145376963271,,,False,NA,,,,,,
cal,Fixed_Text,,Fixed_Text,1366,0,0.0,0,,0.0,0,0,0,1178,0.862371888726208,0.0,0,0,0,0,0,,,,,False,NA,,,,,,
dev,D,0.3,selective,742,230,0.30997304582210244,6,0.02608695652173913,0.008086253369272238,2,4,0,643,0.866576819407008,-0.0026954177897574125,0,0,0,0,230,0.00963232368508743,0.05591266534121482,0.00040960882929912964,0.046781425415328697,True,new feature timing + historical fixed full request component recomposition,797.1662359224952,945.1912888819065,1219.534831512978,178.59774053534736,0.18303375082945952,0.8362042446443797
dev,R,0.4,selective,742,291,0.3921832884097035,7,0.024054982817869417,0.009433962264150943,3,4,0,644,0.8679245283018868,-0.0013477088948787063,0,0,0,0,291,0.009724817616592078,0.048932246162769255,0.000563729079806503,0.04824838475266088,True,new feature timing + historical fixed full request component recomposition,740.0872647259026,906.8203819621432,1220.4368294820865,235.67671173194006,0.24153044938949164,0.8397267010911744
dev,Diff,0.0,fixed_T,742,0,0.0,0,,0.0,0,0,0,645,0.8692722371967655,0.0,0,0,0,0,0,,,,,False,new feature timing + historical fixed full request component recomposition,975.7639764578425,966.1796200089157,1223.725617479067,0.0,0.0,0.8320949672747028
