family,q,threshold,N,n_R,changed,conditional_risk,p_value,CP_upper_0_999,accepted,coverage,marginal_change
ProbeMax,0.05,0.0,1366,642,1,0.001557632398753894,1.7378106481890661e-13,0.014290400585786074,True,0.4699853587115666,0.0007320644216691069
ProbeMax,0.1,0.0,1366,642,1,0.001557632398753894,1.7378106481890661e-13,0.014290400585786074,True,0.4699853587115666,0.0007320644216691069
ProbeMax,0.15,0.0,1366,642,1,0.001557632398753894,1.7378106481890661e-13,0.014290400585786074,True,0.4699853587115666,0.0007320644216691069
ProbeMax,0.2,0.0,1366,642,1,0.001557632398753894,1.7378106481890661e-13,0.014290400585786074,True,0.4699853587115666,0.0007320644216691069
ProbeMax,0.25,0.0,1366,642,1,0.001557632398753894,1.7378106481890661e-13,0.014290400585786074,True,0.4699853587115666,0.0007320644216691069
ProbeMax,0.3,0.0,1366,642,1,0.001557632398753894,1.7378106481890661e-13,0.014290400585786074,True,0.4699853587115666,0.0007320644216691069
ProbeMax,0.35,0.0,1366,642,1,0.001557632398753894,1.7378106481890661e-13,0.014290400585786074,True,0.4699853587115666,0.0007320644216691069
ProbeMax,0.4,0.0,1366,642,1,0.001557632398753894,1.7378106481890661e-13,0.014290400585786074,True,0.4699853587115666,0.0007320644216691069
ProbeMax,0.45,0.0,1366,642,1,0.001557632398753894,1.7378106481890661e-13,0.014290400585786074,True,0.4699853587115666,0.0007320644216691069
ProbeMax,0.5,1.1920928955078125e-07,1366,683,1,0.0014641288433382138,2.2532320678619448e-14,0.013437722498507833,True,0.5,0.0007320644216691069
ProbeMax,0.55,3.5762786865234375e-07,1366,728,1,0.0013736263736263737,2.3842492305152782e-15,0.01261178588506713,True,0.5329428989751098,0.0007320644216691069
ProbeMax,0.6,1.7881393432617188e-06,1366,807,2,0.0024783147459727386,9.956079973330062e-16,0.01383503443046264,True,0.5907759882869692,0.0014641288433382138
ProbeMax,0.65,7.987022399902344e-06,1366,870,4,0.004597701149425287,8.284684543850362e-15,0.016899601361964847,True,0.636896046852123,0.0029282576866764276
ProbeMax,0.7,4.5418739318847656e-05,1366,932,8,0.008583690987124463,1.6636519116978745e-12,0.022539993733984718,True,0.6822840409956076,0.005856515373352855
ProbeMax,0.75,0.0002611875534057617,1366,999,12,0.012012012012012012,6.271074729588066e-11,0.026850016141144115,True,0.7313323572474377,0.008784773060029283
ProbeMax,0.8,0.001170039176940918,1366,1064,18,0.016917293233082706,1.1550466704560778e-08,0.03295449557541666,True,0.7789165446559297,0.013177159590043924
ProbeMax,0.85,0.008580565452575684,1366,1135,42,0.03700440528634361,0.022446629250218845,0.05765106665201144,False,0.8308931185944363,0.03074670571010249
ProbeMax,0.9,0.04792952537536621,1366,1217,67,0.05505341002465078,0.8104583156546636,0.0782128545393063,False,0.8909224011713031,0.04904831625183016
ProbeMax,0.95,0.22272759675979614,1366,1297,102,0.07864302235929067,0.9999958419210573,0.10435341341322,False,0.9494875549048316,0.0746705710102489
ProbeMax,1.0,Infinity,1366,1366,143,0.10468521229868229,0.9999999999999999,0.1326098138082249,False,1.0,0.10468521229868229
ProbeEntropy,0.05,3.387987806968695e-11,1366,58,0,0.0,0.05104686868360342,0.11228029110141347,False,0.0424597364568082,0.0
ProbeEntropy,0.1,1.5906902184337213e-10,1366,120,0,0.0,0.0021224263786981707,0.05593912371407661,False,0.08784773060029283,0.0
ProbeEntropy,0.15,5.758294396862595e-10,1366,213,0,0.0,1.7994008716675094e-05,0.031910537422223446,True,0.15592972181551976,0.0
ProbeEntropy,0.2,1.543251637592391e-09,1366,272,0,0.0,8.726109100491435e-07,0.025076389358739307,True,0.19912152269399708,0.0
ProbeEntropy,0.25,3.907375756284637e-09,1366,323,0,0.0,6.378587365492559e-08,0.021159175201824407,True,0.23645680819912152,0.0
ProbeEntropy,0.3,1.2205336297199665e-08,1366,395,0,0.0,1.5879034383058823e-09,0.017335960692602157,True,0.2891654465592972,0.0
ProbeEntropy,0.35,3.321484243201667e-08,1366,459,0,0.0,5.958470967279988e-11,0.014936896870501433,True,0.33601756954612005,0.0
ProbeEntropy,0.4,7.83270550641646e-08,1366,512,0,0.0,3.93084489784042e-12,0.013401104346898111,True,0.37481698389458273,0.0
ProbeEntropy,0.45,2.540310504173249e-07,1366,577,0,0.0,1.4012649260567628e-13,0.011900468810044307,True,0.4224011713030747,0.0
ProbeEntropy,0.5,8.991553386294981e-07,1366,639,0,0.0,5.8261784107488395e-15,0.010752037789540491,True,0.4677891654465593,0.0
ProbeEntropy,0.55,3.9294955058721825e-06,1366,720,1,0.001388888888888889,3.555385078549332e-15,0.012751116655711199,True,0.527086383601757,0.0007320644216691069
ProbeEntropy,0.6,1.8159807950723916e-05,1366,801,2,0.0024968789013732834,1.3347934296218961e-15,0.013938071098765853,True,0.5863836017569546,0.0014641288433382138
ProbeEntropy,0.65,7.344190089497715e-05,1366,867,3,0.0034602076124567475,8.192641052623266e-16,0.014978861963065413,True,0.6346998535871157,0.0021961932650073207
ProbeEntropy,0.7,0.0003607514954637736,1366,932,8,0.008583690987124463,1.6636519116978745e-12,0.022539993733984718,True,0.6822840409956076,0.005856515373352855
ProbeEntropy,0.75,0.0017430416774004698,1366,996,12,0.012048192771084338,7.059657232788388e-11,0.026930277653457697,True,0.7291361639824304,0.008784773060029283
ProbeEntropy,0.8,0.006618913263082504,1366,1065,18,0.016901408450704224,1.1156795150097025e-08,0.03292380584106124,True,0.7796486090775988,0.013177159590043924
ProbeEntropy,0.85,0.035635434091091156,1366,1134,42,0.037037037037037035,0.022795060786781465,0.05770135620522985,False,0.8301610541727672,0.03074670571010249
ProbeEntropy,0.9,0.15584290027618408,1366,1221,68,0.055692055692055695,0.8363636321237149,0.07891354904228623,False,0.8938506588579795,0.04978038067349927
ProbeEntropy,0.95,0.38774967193603516,1366,1297,102,0.07864302235929067,0.9999958419210573,0.10435341341322,False,0.9494875549048316,0.0746705710102489
ProbeEntropy,1.0,Infinity,1366,1366,143,0.10468521229868229,0.9999999999999999,0.1326098138082249,False,1.0,0.10468521229868229
WordD,0.05,0.06482641841359872,1366,50,6,0.12,0.9882135522027358,0.319840774455716,False,0.036603221083455345,0.004392386530014641
WordD,0.1,0.06887609497363209,1366,101,8,0.07920792079207921,0.9336668649729049,0.19615295461621776,False,0.0739385065885798,0.005856515373352855
WordD,0.15,0.07163248026957554,1366,149,11,0.0738255033557047,0.9288349505259517,0.1634558714972504,False,0.10907759882869693,0.008052708638360176
WordD,0.2,0.07469357508862023,1366,219,20,0.091324200913242,0.9965055304227168,0.1665882453494097,False,0.1603221083455344,0.014641288433382138
WordD,0.25,0.07711065298335719,1366,269,26,0.09665427509293681,0.9994813300940563,0.16444320037807278,False,0.19692532942898974,0.01903367496339678
WordD,0.3,0.0791373210420723,1366,312,29,0.09294871794871795,0.9994571297513783,0.15430130259320393,False,0.22840409956076135,0.0212298682284041
WordD,0.35,0.08130248502123591,1366,379,34,0.08970976253298153,0.9995756466086636,0.14383203404078618,False,0.2774524158125915,0.024890190336749635
WordD,0.4,0.08310483767357152,1366,430,40,0.09302325581395349,0.9999265644556311,0.14395865906665672,False,0.31478770131771594,0.029282576866764276
WordD,0.45,0.08561524843283373,1366,502,45,0.08964143426294821,0.999926979180474,0.13564890033008195,False,0.36749633967789164,0.03294289897510981
WordD,0.5,0.08783801602169625,1366,550,49,0.0890909090909091,0.9999549621897987,0.13266464700743708,False,0.40263543191800877,0.03587115666178624
WordD,0.55,0.09030955230438703,1366,625,60,0.096,0.9999992435738169,0.13762777227800468,False,0.4575402635431918,0.043923865300146414
WordD,0.6,0.0932015672557266,1366,688,66,0.09593023255813954,0.9999997545859182,0.1353610645170341,False,0.5036603221083455,0.048316251830161056
WordD,0.65,0.0965755511681558,1366,791,79,0.09987357774968394,0.9999999964731817,0.13689276184754792,False,0.5790629575402635,0.057833089311859445
WordD,0.7,0.09948060011251735,1366,867,86,0.09919261822376009,0.9999999988830128,0.1342871516763234,False,0.6346998535871157,0.0629575402635432
WordD,0.75,0.10359825849183608,1366,954,98,0.10272536687631027,0.9999999999866636,0.13645276264074938,False,0.698389458272328,0.07174231332357248
WordD,0.8,0.1087121821189137,1366,1044,112,0.10727969348659004,0.999999999999967,0.1399049990676529,False,0.7642752562225475,0.08199121522693997
WordD,0.85,0.11736432094404337,1366,1160,119,0.10258620689655172,0.9999999999998719,0.132872126784984,False,0.849194729136164,0.08711566617862372
WordD,0.9,0.13711756842324324,1366,1315,138,0.10494296577946768,0.9999999999999997,0.13347656032498537,False,0.9626647144948756,0.10102489019033675
