name,B,repeat,subset_file,anchor,n_R,coverage,random_expected_changes,random_hypergeom95_low,random_hypergeom95_high,new_changes,new_risk,D_changes,D_risk,R2100_changes,R2100_risk
R32_r0,32,0,subsets/R32_r0.json,new_frozen,145,0.1954177897574124,14.070080862533693,8,21,2,0.013793103448275862,4,0.027586206896551724,3,0.020689655172413793
R32_r0,32,0,subsets/R32_r0.json,D_frozen,230,0.30997304582210244,22.318059299191376,15,30,7,0.030434782608695653,6,0.02608695652173913,5,0.021739130434782608
R32_r0,32,0,subsets/R32_r0.json,R2100_frozen,291,0.3921832884097035,28.237196765498652,21,36,9,0.030927835051546393,8,0.027491408934707903,7,0.024054982817869417
R128_r0,128,0,subsets/R128_r0.json,new_frozen,265,0.35714285714285715,25.714285714285715,18,33,6,0.022641509433962263,6,0.022641509433962263,5,0.018867924528301886
R128_r0,128,0,subsets/R128_r0.json,D_frozen,230,0.30997304582210244,22.318059299191376,15,30,6,0.02608695652173913,6,0.02608695652173913,5,0.021739130434782608
R128_r0,128,0,subsets/R128_r0.json,R2100_frozen,291,0.3921832884097035,28.237196765498652,21,36,9,0.030927835051546393,8,0.027491408934707903,7,0.024054982817869417
R512_r0,512,0,subsets/R512_r0.json,new_frozen,234,0.31536388140161725,22.70619946091644,16,30,5,0.021367521367521368,6,0.02564102564102564,5,0.021367521367521368
R512_r0,512,0,subsets/R512_r0.json,D_frozen,230,0.30997304582210244,22.318059299191376,15,30,5,0.021739130434782608,6,0.02608695652173913,5,0.021739130434782608
R512_r0,512,0,subsets/R512_r0.json,R2100_frozen,291,0.3921832884097035,28.237196765498652,21,36,8,0.027491408934707903,8,0.027491408934707903,7,0.024054982817869417
R32_r1,32,1,subsets/R32_r1.json,new_frozen,138,0.18598382749326145,13.390835579514825,8,20,3,0.021739130434782608,4,0.028985507246376812,3,0.021739130434782608
R32_r1,32,1,subsets/R32_r1.json,D_frozen,230,0.30997304582210244,22.318059299191376,15,30,7,0.030434782608695653,6,0.02608695652173913,5,0.021739130434782608
R32_r1,32,1,subsets/R32_r1.json,R2100_frozen,291,0.3921832884097035,28.237196765498652,21,36,10,0.03436426116838488,8,0.027491408934707903,7,0.024054982817869417
R128_r1,128,1,subsets/R128_r1.json,new_frozen,0,0.0,0.0,0,0,0,,0,,0,
