name,B,repeat,subset_file,fit_correct,fit_incorrect,model_kind,LR_fit_performed,fit_converged,cal_q,mode,cal_accepted_q,cal_n_R,cal_changed,cal_p_value,cal_CP_upper_0_999,cal_minimum_grid_p,cal_maximum_zero_change_n,cal_maximum_n_empirical_risk_le_alpha,cal_AUROC_disagreement,cal_AP_disagreement,dev_AUROC_disagreement,dev_AP_disagreement,dev_Spearman_D,N,n_R,coverage,changed,conditional_risk,marginal_change,benefit,harm,neutral_change,correct,accuracy,accuracy_difference_Text,INVALID,both_INVALID_routed,R_only_INVALID_routed,T_only_INVALID_routed,risk_CP95_descriptive_low,risk_CP95_descriptive_high,mean_cost_ms,median_cost_ms,p95_cost_ms,net_saving_Text_ms,net_saving_Text_fraction,U,delta_U_D,delta_U_R2100,delta_cost_D_ms,delta_cost_R2100_ms,delta_accuracy_D,delta_accuracy_R2100,utility_crossover,cost_accuracy_crossover,crossover_eligibility,head_timing_sensitive_utility,head_timing_sensitive_cost_accuracy,equal_D_head_timing_U,equal_D_head_timing_cost_ms,cost_identity
R32_r0,32,0,subsets/R32_r0.json,26,6,LogisticRegression,True,True,0.2,selective,"[0.1, 0.15, 0.2]",261,1,2.260817003256354e-05,0.0348244060966147,1.8941061807026406e-05,212,606,0.707814671019904,0.2131477210585349,0.704042288557214,0.17783750407148774,0.6181274142249868,742,145,0.1954177897574124,2,0.013793103448275862,0.0026954177897574125,1,1,0,645,0.8692722371967655,0.0,0,0,0,0,0.0016747955856440341,0.04893579490394076,880.9676475129496,980.4035270953394,1246.9393390993732,94.79632894489288,0.09715087995871358,0.8357067717620938,-0.0004974728822859647,-0.004019929329080519,83.80141159045446,140.88038278704715,0.0026954177897574125,0.0013477088948787063,False,False,True,False,False,0.8357060981004476,880.9853286059417,parent feature timing + parent same-structure correctness-R head/selector timing proxy + parent complete action request
R128_r0,128,0,subsets/R128_r0.json,107,21,LogisticRegression,True,True,0.35,selective,"[0.15, 0.3, 0.35]",458,9,0.0006835356767232648,0.04873651924756748,0.0005867607699731625,79,852,0.7569658469086106,0.24590108540731462,0.7549336650082918,0.2632668611951277,0.9839593553421788,742,265,0.35714285714285715,6,0.022641509433962263,0.008086253369272238,2,4,0,643,0.866576819407008,-0.0026954177897574125,0,0,0,0,0.008353317492890797,0.04862706619878245,764.9960996354711,928.1854430784376,1220.4368294820865,210.76787682237168,0.21600292889217745,0.8374299486763259,0.0012257040319462106,-0.002296752414848344,-32.170136287024285,24.908834909568377,0.0,-0.0013477088948787063,True,True,True,False,False,0.8374292750146798,765.013780728463,parent feature timing + parent same-structure correctness-R head/selector timing proxy + parent complete action request
R512_r0,512,0,subsets/R512_r0.json,419,93,LogisticRegression,True,True,0.3,selective,"[0.1, 0.15, 0.25, 0.3]",381,6,0.00039496815830576324,0.04666058740970184,0.00039496815830576324,135,920,0.7681786733299406,0.26017074820944264,0.7570066334991709,0.2767774730231278,0.9897197219921995,742,234,0.31536388140161725,5,0.021367521367521368,0.006738544474393531,2,3,0,644,0.8679245283018868,-0.0013477088948787063,0,0,0,0,0.006973522718305948,0.049157476459349043,793.7167702021868,941.6268408838944,1225.0128490274562,182.0472062556558,0.18656889437188715,0.8376833805249486,0.0014791358805687725,-0.002043320566225783,-3.449465720308405,53.62950547628426,0.0013477088948787063,0.0,True,True,True,False,False,0.8376827068633024,793.7344512951788,parent feature timing + parent same-structure correctness-R head/selector timing proxy + parent complete action request
R32_r1,32,1,subsets/R32_r1.json,26,6,LogisticRegression,True,True,0.15,selective,[0.15],202,1,0.0003679653639470792,0.04478990431539958,0.0003679653639470792,127,713,0.7374334577932289,0.2226658851478463,0.7159618573797678,0.21636711179935295,0.8771973347762473,742,138,0.18598382749326145,3,0.021739130434782608,0.004043126684636119,2,1,0,646,0.8706199460916442,0.0013477088948787063,0,0,0,0,0.004505765961490202,0.06221544308890729,887.0749817459542,974.5534865888055,1245.2447548151974,88.68899471188828,0.09089185177120551,0.8368217870765957,0.0006175424322159547,-0.0029049140145786002,89.90874582345906,146.98771702005175,0.004043126684636119,0.0026954177897574125,True,False,True,False,False,0.8368211134149495,887.0926628389462,parent feature timing + parent same-structure correctness-R head/selector timing proxy + parent complete action request
R128_r1,128,1,subsets/R128_r1.json,96,32,LogisticRegression,True,True,0.0,fixed_T,[],0,0,1.0,1.0,0.0014649705917229058,65,841,0.7544614012316385,0.24115235480169467,0.7364427860696517,0.2571405518740425,0.9657085741386617,742,0,0.0,0,,0.0,0,0,0,645,0.8692722371967655,0.0,0,0,0,0,,,975.7639764578425,966.1796200089157,1223.725617479067,0.0,0.0,0.8320949672747028,-0.004109277369676964,-0.007631733816471519,178.59774053534736,235.67671173194006,0.0026954177897574125,0.0013477088948787063,False,False,False,False,False,0.8320949672747028,975.7639764578425,parent feature timing + parent same-structure correctness-R head/selector timing proxy + parent complete action request
R512_r1,512,1,subsets/R512_r1.json,407,105,LogisticRegression,True,True,0.2,selective,"[0.15, 0.2]",241,2,0.0004013919205241299,0.04571031303761999,7.56601117546345e-05,185,919,0.7620547890376181,0.2552070765740951,0.7595149253731344,0.27455499026488556,0.9854520199962132,742,142,0.19137466307277629,3,0.02112676056338028,0.004043126684636119,1,2,0,644,0.8679245283018868,-0.0013477088948787063,0,0,0,0,0.004378218036954267,0.06049859125056429,883.6034333153929,978.4364644209481,1246.9393390993732,92.16054314244967,0.0944496265141957,0.8342586376387804,-0.0019456070055994144,-0.005468063452393969,86.43719739289769,143.51616858949038,0.0013477088948787063,0.0,False,False,True,False,False,0.8342579639771341,883.6211144083849,parent feature timing + parent same-structure correctness-R head/selector timing proxy + parent complete action request
R32_r2,32,2,subsets/R32_r2.json,27,5,LogisticRegression,True,True,0.0,fixed_T,[],0,0,1.0,1.0,0.05579260250511309,0,732,0.7029830349535992,0.22629058489878554,0.7230514096185738,0.22837033252398675,0.8444130258174879,742,0,0.0,0,,0.0,0,0,0,645,0.8692722371967655,0.0,0,0,0,0,,,975.7639764578425,966.1796200089157,1223.725617479067,0.0,0.0,0.8320949672747028,-0.004109277369676964,-0.007631733816471519,178.59774053534736,235.67671173194006,0.0026954177897574125,0.0013477088948787063,False,False,False,False,False,0.8320949672747028,975.7639764578425,parent feature timing + parent same-structure correctness-R head/selector timing proxy + parent complete action request
R128_r2,128,2,subsets/R128_r2.json,113,15,LogisticRegression,True,True,0.25,selective,[0.25],327,5,0.0008727811962850154,0.04944604211927356,0.0008727811962850154,0,791,0.7456386622371903,0.2453743529535592,0.7445480928689884,0.2536996376862085,0.9414165474221527,742,179,0.24123989218328842,5,0.027932960893854747,0.006738544474393531,2,3,0,644,0.8679245283018868,-0.0013477088948787063,0,0,0,0,0.009130671442166692,0.06397939165609985,846.9365727759543,968.2999547035554,1230.9859348492273,128.8274036818882,0.13202721845660811,0.8356556699174446,-0.0005485747269352198,-0.004071031173729774,49.77033685345916,106.84930805005183,0.0013477088948787063,0.0,False,False,True,False,False,0.8356549962557984,846.9542538689464,parent feature timing + parent same-structure correctness-R head/selector timing proxy + parent complete action request
R512_r2,512,2,subsets/R512_r2.json,419,93,LogisticRegression,True,True,0.3,selective,"[0.25, 0.3]",400,6,0.0001964790310089471,0.044477710260310575,0.0001964790310089471,124,911,0.7595446254481415,0.2529968779375065,0.7671641791044775,0.2711670834591741,0.9750135897401137,742,213,0.28706199460916443,3,0.014084507042253521,0.004043126684636119,1,2,0,644,0.8679245283018868,-0.0013477088948787063,0,0,0,0,0.002914035654096143,0.04060693899814923,815.2352418156253,953.4380358273379,1226.2425233765434,160.52873464221727,0.16451594700693775,0.8368635121481848,0.0006592675038050102,-0.0028631889429895454,18.06900589313008,75.14797708972274,0.0013477088948787063,0.0,True,False,True,False,False,0.8368628384865386,815.2529229086173,parent feature timing + parent same-structure correctness-R head/selector timing proxy + parent complete action request
R32_r3,32,3,subsets/R32_r3.json,27,5,LogisticRegression,True,True,0.45,selective,"[0.15, 0.25, 0.3, 0.35, 0.4, 0.45]",572,11,0.00011742275702779007,0.044168236966455846,4.028254010482302e-05,188,843,0.762792399750699,0.24895693697417393,0.7390339966832504,0.2762852536797364,0.8929091907796828,742,313,0.42183288409703507,9,0.02875399361022364,0.012129380053908356,3,5,1,643,0.866576819407008,-0.0026954177897574125,0,0,0,0,0.013230710295627758,0.053880472598473624,718.1879182760407,881.9194920406295,1218.3828452960752,257.5760581818018,0.2639737317592296,0.8392133721628924,0.0030091275185126685,-0.000513328928281886,-78.97831764645441,-21.89934644986175,0.0,-0.0013477088948787063,True,True,True,False,False,0.8392126985012462,718.2055993690328,parent feature timing + parent same-structure correctness-R head/selector timing proxy + parent complete action request
