pair,dataset,id,row,fold,path,sha256,dimension,dtype,config_sha256
large,obqa,10,0,0,$DATA_DIR/P2_E1_DIRECTION_20260913T053456Z/features/large/obqa/00000.npz,455341de4a23a8f523667237e3fe5e48482639fcc6cb6944759c91e1fbf23da4,8192,float32,ca2386f24d445258fc1244651ef6164bedaed16011ff4e7a0eff25b7fba9a542
large,obqa,10-100,1,0,$DATA_DIR/P2_E1_DIRECTION_20260913T053456Z/features/large/obqa/00001.npz,cc6708260ef972d55f9999e951818d4a6f06b2c902101f6c8a1caf0c1949a85d,8192,float32,ca2386f24d445258fc1244651ef6164bedaed16011ff4e7a0eff25b7fba9a542
large,obqa,10-1001,2,0,$DATA_DIR/P2_E1_DIRECTION_20260913T053456Z/features/large/obqa/00002.npz,133d29fa6ade9f3dfb4818b43f3e349394472987db54a66e48a723e75a70d82a,8192,float32,ca2386f24d445258fc1244651ef6164bedaed16011ff4e7a0eff25b7fba9a542
large,obqa,10-1017,10,0,$DATA_DIR/P2_E1_DIRECTION_20260913T053456Z/features/large/obqa/00010.npz,2aee7ca1d7e9d1cfcf08d819cc45a0b232f7a1a4de817af77d5ca73b309c3f86,8192,float32,ca2386f24d445258fc1244651ef6164bedaed16011ff4e7a0eff25b7fba9a542
large,obqa,10-1036,19,0,$DATA_DIR/P2_E1_DIRECTION_20260913T053456Z/features/large/obqa/00019.npz,67fe4a292182ba8c6331cef610cd9c170e3737731e1185623fb55a22e14a1c9e,8192,float32,ca2386f24d445258fc1244651ef6164bedaed16011ff4e7a0eff25b7fba9a542
large,obqa,10-1043,24,0,$DATA_DIR/P2_E1_DIRECTION_20260913T053456Z/features/large/obqa/00024.npz,645817577c4ab176627adf00d6f91d8862851cb47d6a07377d3582a76510e101,8192,float32,ca2386f24d445258fc1244651ef6164bedaed16011ff4e7a0eff25b7fba9a542
large,obqa,10-1047,26,0,$DATA_DIR/P2_E1_DIRECTION_20260913T053456Z/features/large/obqa/00026.npz,b9a5d872e396bb0cda2656f2fa514af05478e169148cee0f3ff185fcadac8579,8192,float32,ca2386f24d445258fc1244651ef6164bedaed16011ff4e7a0eff25b7fba9a542
large,obqa,10-1048,27,0,$DATA_DIR/P2_E1_DIRECTION_20260913T053456Z/features/large/obqa/00027.npz,08ae754e25459bbe74d908dfbc07a6048af5d6e2062776fbcd31bd554c4399f6,8192,float32,ca2386f24d445258fc1244651ef6164bedaed16011ff4e7a0eff25b7fba9a542
large,obqa,10-106,35,0,$DATA_DIR/P2_E1_DIRECTION_20260913T053456Z/features/large/obqa/00035.npz,6e56dd90c4086bc29b7035aefd76ee2068629627ba1515c04b5dcdc3bff8dc32,8192,float32,ca2386f24d445258fc1244651ef6164bedaed16011ff4e7a0eff25b7fba9a542
large,obqa,10-1088,47,0,$DATA_DIR/P2_E1_DIRECTION_20260913T053456Z/features/large/obqa/00047.npz,2f2c612cb46077bc1d686d1ada0bd5c60b930f89e00a5b9799878e83f0649108,8192,float32,ca2386f24d445258fc1244651ef6164bedaed16011ff4e7a0eff25b7fba9a542
