group_sha256,representative,id,selected_unique
4857fff72b895607a8d634440047d8383446aa6505ea4d534346a8b86769e0fc,11-572,11-572,True
e02722517cfe18649e0c68b6718a0ee1953111bb4dc5a4eebe1e831611f060bd,9-885,9-885,True
123f60a48625e34ddc3eb319f109c8ca7cbc28be4965a8f69ce4c06ea8a7b8e3,10-965,10-965,True
da2ae37ba0b086b57456ef639f2c5abd8486db8305776a5595a6d827e5306522,45,45,True
c32f681f69eafcc7e0c1ad699272c9a916f5feb0d85967e42284edc0c344b8d0,9-667,9-667,True
55dc0ba9051c0947f0b79811595f19ca9ae17f56c181da8024ff7260a370ca10,14-889,14-889,True
35109117cb41148dba6b6e56a76f424d35a9c47598093d4417823eb52a90ded3,14-644,14-644,True
45b2412933dcefa24cc0ae0635f91fca80f5eb7b59870be43784144eaaf42d9a,12-337,12-337,True
98c6d28abed975e0af5795774954cf04c9ed3158cf59a51834466883daca7670,9-1174,9-1174,True
b471b27dca0798b595aacb306f5f962523c750c592677ab9f82de59146b14b9b,13-946,13-946,True
f595f1ab8c83f4296420d71c9fae89c41033aece99ee3786036d4dd7f3d1f82d,10-1205,10-1205,True
a2b99e481da6adc464c2dba30c27efff0b11a95bb2a9702e30e204218d1ec0d8,7-167,7-167,True
480bfa4e2324df5326bd8c7a5bbd9fdd45a1fe2f56bb8046b599d253079714f5,10-1107,10-1107,True
530371f0ca97772f571a9fbc6a47333419de585e36d7d9fa75e793e47068dbcf,10-844,10-844,True
741ed5ed14e2f933216fc1fb1cb95fdef9ee7768318f719a12ae2f31749ac64d,11-385,11-385,True
56e3d6977ab4ab21565617b84379470ae6c9aa892633b3f0d19c089ceb6b8d5b,10-733,10-733,True
47980b1242ea84be630d4c6f03c5c685034380ed1d15202c23f5b995acdfd5cb,12-881,12-881,True
c96adaf66ce48ddef1870751cc4285ee1d4f0dd5c7cd20c9ffaff586c4d26ff0,11-502,11-502,True
16692b69e2bec745fec6c49c32276721cc46a630eaa5f20d11f92e7c39990382,12-883,12-883,True
ebcc638b1c592e4baaadd57902af38fba08fc6933f8b67777ced2bec8757fde3,10-776,10-776,True
51d84c5574f13698776a077fd73a2aead6a2c6204cf56eafb7b1396bbd0dc702,11-571,11-571,True
a432b8175d4321b6f9fa14df18bac88cf23f61a3a3dab17922d4223f3d1b3f0f,9-314,9-314,True
507ac49ee26dc93767ee02a4ce959449d7f391bd8467e89e6fcf635eda7c168e,9-31,9-31,True
16a3c6c78258c112784c08732c83e4259f6e7372d983ae88d0be8e8ad395ba5e,13-692,13-692,True
18b22247d362ef486b68b1f99ac096811bf291779c4c3718fdeeeda07c8d1ae8,11-83,11-83,True
c08e4056c8025bfd12ce590e5d95d9541c8c3621be245903769f5400d1f7d461,10-898,10-898,True
6a5838165b5cfbe3f94cdfdd5172f7995549e61833545770b0da8cba964c6132,13-333,13-333,True
ae9b871586a761bacce5f3aef4edef4b9fa2b9d90beb255fc173648481d7beea,10-262,10-262,True
e93d8239a2b11142d2b50b6ab4b749453613f4781cc602b73197944c067a8714,1422,1422,True
135c2d4cf519e18e96f2720148e45fcdee269707a90177a82cf552590cf57455,10-1181,10-1181,True
5510ac97baeeb790d4923b67146fac897631517fcbbbad4e44907c396ce089c1,888,888,True
4f2971bf2a9460913174de86d0e5e0a3ec920aaa13424ff0bd024b8979fd2468,10-889,10-889,True
506444badef1650176bf4bbaf7b756635f579bda01eb525488e298ce526a3e9d,7-890,7-890,True
62c2819bc6278a3f08c6bd770da97ec2b198e7f3f58cf8498159d025d35eeb93,13-339,13-339,True
1c543799c35504f08385aad166bf04e4312482f1b916c2e28cc13553e00e7ae6,10-812,10-812,True
9b84a71a8601813191b833bb42279e2378fdc116a586694f3e5979cf03e4804e,12-95,12-95,True
1c5dd279732746ac04dbf5898c4a960ede810d186360785688d63188ad8563ce,11-93,11-93,True
b92ed143cd65e432608ad2ffcaa52eb87b979c49f00f45b55e0b0a048ada74d5,12-114,12-114,True
3f102f3f33cd4713c70ddb9082fe05332096158b28dc08a1f9b4f2aef6456939,10-371,10-371,True
1aac90df44fab77296ccf285acf341ca28f04f6cc99c54ca89037f60dad71bb4,13-952,13-952,True
896a2d1526e658938375c069ea15171280294cc3fa690b4bffb0ed80110b67da,10-603,10-603,True
3cfcdb2b6d5f1f54147cee55a1648a5422a13a0c3aa0f09d4497e289f83b9cbb,10-434,10-434,True
53592bd9bcfb2e4b72c7a5db0c90c0438963cae45b58d53647e70b2cc1095ab7,11-729,11-729,True
d2d0158c116ef62d2b6c2b3e2b59c26584e4bd29c6ec5b7a61c8119cd7d36e51,12-355,12-355,True
6454fee68722cf5bce9075486d154768d336cc9faefd42edac3980182da33c63,8-474,8-474,True
7c13bfe62ad416a54def014b49c235a79ae0991d6dc8015ee91c3ad1e87e9f74,12-535,12-535,True
e7acce35f896fceec1f35fe3e8066e9fb328f1d5e60b422e08b0e081b075b80a,8-313,8-313,True
ece319a3aa1f31cc8764a435690becff41505e0697a5eaa7aa1b38c24265522a,11-549,11-549,True
f64833e413c62b218e26c1a11ca4a265aa6527e94c2455fc8a6c39864b7a9a00,10-532,10-532,True
dbd618ca5c24b8f0d27d84c1d9d666a20767598f385f074f2d6a07bec4757f44,8-113,8-113,True
e8486cd37ab3d05bd9f7f9d6bcb7690766325bc4074ff6f42bc6aee9c277d8e1,10-1127,10-1127,True
4fd9e7fea409b47ccee1f663bc973e81a12f6456d9a87a3144f79750bfd99f51,8-243,8-243,True
ed8bd55a5321f949a93a63d76821544bd1f529d2ff6f7b2e50bb9f7969e66ba6,10-1077,10-1077,True
286a71e519e64b43c301d58bbeb3eacd2b17f29dd0dfe375229fa51dd13eb7a9,10-219,10-219,True
846ef7a8f0b3b3fb22b46238fc2645ca68c1419fd6e312c58d129a62a8055804,9-236,9-236,True
ddefcc117f186f199e668c60273207c6509a2ba672a62d3d067778e47e45c058,14-95,14-95,True
699f50238811bdc1437d2c9f87b1d8a0797b0fa88dca8fb0af98e2caf6bfd446,11-263,11-263,True
d29c188c959e5fe4cb261937c9c780e3cef77664687b7bd7d61eb665fa4e9249,14-1506,14-1506,True
e650a436860e903e0b2dc510116fe39d3b90ec28d3151b056dea8040263290bc,14-1088,14-1088,True
ac72001251ac7f59e534bb1b6a1652e3717db90b1f3b4d340270d1dd8460f361,9-963,9-963,True
5837d8fc06e264c48d7866becd287b73a4f2bdbd78b5cdc4eda19ba4b76140ea,10-1052,10-1052,True
a86f5a608bee94de26060ad770786d5d861f9ba3151bc5050d5bb707184ea8d6,13-472,13-472,True
5bed267ef65e758710bd3e89008ccb00333417098fc675c2b9f97835362ba10f,8-242,8-242,True
db2a215ad70de2e12755dd6e3eddd29e8df3bf89ee549c2f0643712db22de13b,11-96,11-96,True
9840a9e55e1b059eb4352906ff4568f13be47d699c940e4ef7fc9e91f5c56df3,7-774,7-774,True
8b3a65495c95e42228ad24df21a707176c131605e10afd7823fc85105f5076d0,12-678,12-678,True
f938fb5ee6730ababf8cd81933e2e8c9198fda3a0a00ae36700d855809606f3a,11-554,11-554,True
