family,q,threshold,N,n_R,changed,conditional_risk,p_value,CP_upper_0_999,accepted,coverage,marginal_change
D,0.05,0.06544978618624626,1366,79,0,0.0,0.017384604615803836,0.08372609881132642,False,0.057833089311859445,0.0
D,0.1,0.07011126782477158,1366,132,0,0.0,0.0011468745040508369,0.05098576395752707,False,0.09663250366032211,0.0
D,0.15,0.07361258920795709,1366,188,1,0.005319148936170213,0.0007067316463860652,0.0480526838204854,True,0.1376281112737921,0.0007320644216691069
D,0.2,0.07703257617313741,1366,249,2,0.008032128514056224,0.0002828699440593419,0.04426886490975078,True,0.1822840409956076,0.0014641288433382138
D,0.25,0.08051686084384338,1366,325,4,0.012307692307692308,0.0002585875876890614,0.04477067949153525,True,0.23792093704245973,0.0029282576866764276
D,0.3,0.08307916184658852,1366,380,6,0.015789473684210527,0.00040960882929912964,0.046781425415328697,True,0.2781844802342606,0.004392386530014641
D,0.35,0.08614836532551183,1366,454,11,0.024229074889867842,0.0044192974862344615,0.055462897713094816,False,0.3323572474377745,0.008052708638360176
D,0.4,0.08877346652614314,1366,527,13,0.024667931688804556,0.0026411339337506366,0.053189507093452104,False,0.3857979502196193,0.00951683748169839
D,0.45,0.09124921560598001,1366,581,15,0.025817555938037865,0.0026457381276919862,0.05302617492356853,False,0.4253294289897511,0.010980966325036604
D,0.5,0.09428394401285886,1366,643,18,0.027993779160186624,0.004086038237162701,0.05423876365746787,False,0.4707174231332357,0.013177159590043924
D,0.55,0.09748868540822955,1366,709,24,0.03385049365303244,0.024662228496444796,0.060282411238447915,False,0.5190336749633968,0.017569546120058566
D,0.6,0.10060263240834924,1366,779,30,0.038510911424903725,0.07841479228101093,0.0646875440345514,False,0.5702781844802343,0.021961932650073207
D,0.65,0.10404623601403046,1366,849,39,0.045936395759717315,0.3278776834738853,0.07250518032452906,False,0.6215226939970717,0.02855051244509517
D,0.7,0.10772473703441966,1366,920,43,0.04673913043478261,0.3599800283446081,0.07225863017772491,False,0.6734992679355783,0.0314787701317716
D,0.75,0.11108057622555029,1366,990,51,0.051515151515151514,0.6223228692571645,0.07690278722937806,False,0.7247437774524158,0.03733528550512445
D,0.8,0.11470266135181671,1366,1063,69,0.06491063029162747,0.9868482046269593,0.09156686510618971,False,0.7781844802342606,0.050512445095168376
D,0.85,0.11984897005427914,1366,1142,86,0.07530647985989491,0.9999084999236215,0.10243251549220185,False,0.83601756954612,0.0629575402635432
D,0.9,0.12519989957761207,1366,1220,102,0.08360655737704918,0.9999997241918529,0.11084104131573609,False,0.8931185944363104,0.0746705710102489
D,0.95,0.13437740872606294,1366,1282,114,0.08892355694227769,0.9999999977157504,0.11606746500266031,False,0.9385065885797951,0.08345534407027819
D,1.0,Infinity,1366,1366,143,0.10468521229868229,0.9999999999999999,0.1326098138082249,False,1.0,0.10468521229868229
R,0.05,0.11714229392379705,1366,64,0,0.0,0.03752413921111614,0.10231286755268579,False,0.04685212298682284,0.0
R,0.1,0.12736104171705365,1366,129,0,0.0,0.0013376579723584634,0.052140022347761564,False,0.09443631039531479,0.0
R,0.15,0.13448889633827654,1366,187,2,0.0106951871657754,0.004029846702331185,0.05858620412451017,False,0.13689604685212298,0.0014641288433382138
R,0.2,0.14059583531561914,1366,242,3,0.012396694214876033,0.0017670016801383868,0.05286626076659349,False,0.17715959004392387,0.0021961932650073207
R,0.25,0.14677750415404223,1366,311,4,0.012861736334405145,0.0004495578314934306,0.04675110884762529,True,0.22767203513909223,0.0029282576866764276
R,0.3,0.15367244904923216,1366,387,6,0.015503875968992248,0.0003172420151450698,0.045948466853728824,True,0.28330893118594436,0.004392386530014641
R,0.35,0.1590408411246479,1366,449,8,0.017817371937639197,0.0003337836241248031,0.046431972918144854,True,0.328696925329429,0.005856515373352855
R,0.4,0.16532099602212336,1366,523,11,0.021032504780114723,0.000563729079806503,0.04824838475266088,True,0.3828696925329429,0.008052708638360176
R,0.45,0.1709493339600331,1366,584,15,0.025684931506849314,0.002442340882162373,0.052757598361142355,False,0.42752562225475843,0.010980966325036604
R,0.5,0.17649812580475832,1366,653,20,0.030627871362940276,0.010553461187023053,0.05745373539947955,False,0.4780380673499268,0.014641288433382138
R,0.55,0.18327371995228192,1366,715,27,0.03776223776223776,0.07409976823523949,0.06512203871530453,False,0.5234260614934114,0.019765739385065886
R,0.6,0.19074781808510477,1366,782,30,0.03836317135549872,0.07501249728540947,0.06444277612286249,False,0.5724743777452416,0.021961932650073207
R,0.65,0.1976087190417628,1366,852,37,0.04342723004694836,0.2137583539198015,0.06938685983930276,False,0.623718887262079,0.027086383601756955
R,0.7,0.20524083299824047,1366,927,47,0.05070118662351672,0.577379172853331,0.07690871076794667,False,0.678623718887262,0.034407027818448024
R,0.75,0.21248436173756335,1366,988,56,0.05668016194331984,0.8498076407838421,0.08304862977780407,False,0.7232796486090776,0.040995607613469986
R,0.8,0.22006179553703664,1366,1068,70,0.06554307116104868,0.9896506928819316,0.09222896451227115,False,0.7818448023426061,0.05124450951683748
R,0.85,0.23149812757749977,1366,1150,85,0.07391304347826087,0.9998170206321878,0.10073871207454926,False,0.8418740849194729,0.06222547584187409
R,0.9,0.24333991959058865,1366,1223,98,0.08013082583810302,0.9999971570283246,0.1068835275321812,False,0.8953147877013177,0.07174231332357248
R,0.95,0.261719957483052,1366,1285,114,0.088715953307393,0.9999999973975987,0.11580055464655552,False,0.9407027818448024,0.08345534407027819
R,1.0,Infinity,1366,1366,143,0.10468521229868229,0.9999999999999999,0.1326098138082249,False,1.0,0.10468521229868229
Diff,0.05,0.013679740316734912,1366,69,0,0.0,0.029035463617657964,0.09526427576507027,False,0.050512445095168376,0.0
Diff,0.1,0.01757404873527646,1366,138,1,0.007246376811594203,0.00696632258717349,0.06494872206026095,False,0.10102489019033675,0.0007320644216691069
Diff,0.15,0.020360565518235507,1366,209,2,0.009569377990430622,0.0015952693302991833,0.05255514694267397,False,0.15300146412884333,0.0014641288433382138
Diff,0.2,0.023043689898662345,1366,279,4,0.014336917562724014,0.0015484581671877827,0.052009590593697426,False,0.2042459736456808,0.0029282576866764276
Diff,0.25,0.025890845497101078,1366,342,8,0.023391812865497075,0.010393397643014151,0.06067898859428556,False,0.25036603221083453,0.005856515373352855
Diff,0.3,0.028190387142774664,1366,402,9,0.022388059701492536,0.003980875866968926,0.05540993093941147,False,0.29428989751098095,0.006588579795021962
Diff,0.35,0.031071249279197022,1366,476,15,0.031512605042016806,0.03399268418319412,0.06452210639839202,False,0.3484626647144949,0.010980966325036604
Diff,0.4,0.033016270370298306,1366,531,16,0.030131826741996232,0.017320666129753047,0.06047940102383117,False,0.38872620790629575,0.01171303074670571
Diff,0.45,0.03487732061456217,1366,572,18,0.03146853146853147,0.02094134742766971,0.06086817617662821,False,0.41874084919472915,0.013177159590043924
Diff,0.5,0.037276597307819626,1366,646,21,0.032507739938080496,0.020607714350321292,0.06008617926347818,False,0.47291361639824303,0.015373352855051245
Diff,0.55,0.039738665800783224,1366,711,26,0.03656821378340366,0.054751671048729196,0.0637021159281126,False,0.5204978038067349,0.01903367496339678
Diff,0.6,0.042528707186739734,1366,777,31,0.039897039897039896,0.1105740581620733,0.06645834293510679,False,0.568814055636896,0.022693997071742314
Diff,0.65,0.045363873322016635,1366,847,38,0.0448642266824085,0.27695863531951126,0.07123439822285242,False,0.6200585651537335,0.027818448023426062
Diff,0.7,0.048391125919059474,1366,916,41,0.04475982532751092,0.261497764649256,0.06992700490074172,False,0.6705710102489019,0.030014641288433383
Diff,0.75,0.05150182277488857,1366,1000,57,0.057,0.8610810536909479,0.0832442492457161,False,0.7320644216691069,0.04172767203513909
Diff,0.8,0.05495314450268218,1366,1067,70,0.06560449859418932,0.989852706641077,0.09231415576384842,False,0.781112737920937,0.05124450951683748
Diff,0.85,0.05899105719359188,1366,1130,85,0.0752212389380531,0.999896778531287,0.10249517605826326,False,0.8272327964860908,0.06222547584187409
Diff,0.9,0.06430356667521742,1366,1215,104,0.08559670781893004,0.999999930316283,0.1131428263536956,False,0.8894582723279648,0.07613469985358712
Diff,0.95,0.07184769980313588,1366,1285,115,0.08949416342412451,0.9999999986323519,0.11667062647103361,False,0.9407027818448024,0.0841874084919473
Diff,1.0,Infinity,1366,1366,143,0.10468521229868229,0.9999999999999999,0.1326098138082249,False,1.0,0.10468521229868229
H,0.05,0.045943813183105135,1366,83,0,0.0,0.01415986911335107,0.07985679847161589,False,0.06076134699853587,0.0
H,0.1,0.0484861424305195,1366,137,0,0.0,0.0008874296289393042,0.04917150208440416,True,0.10029282576866765,0.0
H,0.15,0.050250763134808224,1366,197,1,0.005076142131979695,0.00046478316831497613,0.04590306327529859,True,0.14421669106881405,0.0007320644216691069
H,0.2,0.052216939387285145,1366,269,3,0.011152416356877323,0.0005930840084160625,0.04765922131664484,True,0.19692532942898974,0.0021961932650073207
H,0.25,0.05362096654722128,1366,327,4,0.012232415902140673,0.00023881525778559942,0.044501373522178506,True,0.23938506588579794,0.0029282576866764276
H,0.3,0.05527878170826983,1366,388,8,0.020618556701030927,0.0025246398740154763,0.05360774195734543,False,0.2840409956076135,0.005856515373352855
H,0.35,0.05674748570779616,1366,465,11,0.023655913978494623,0.003225244523465751,0.054171587218238164,False,0.3404099560761347,0.008052708638360176
H,0.4,0.05797360744743901,1366,531,14,0.026365348399246705,0.004900743047113474,0.05538148708721497,False,0.38872620790629575,0.010248901903367497
H,0.45,0.05916083866108548,1366,575,16,0.02782608695652174,0.006077389285212172,0.05591896081275036,False,0.42093704245973645,0.01171303074670571
H,0.5,0.06054404428993229,1366,640,18,0.028125,0.004396431226500022,0.05448952982191703,False,0.4685212298682284,0.013177159590043924
H,0.55,0.06213846426496155,1366,709,23,0.03244005641748942,0.015377016860822046,0.058470527348448376,False,0.5190336749633968,0.01683748169838946
H,0.6,0.06369634690047259,1366,782,32,0.04092071611253197,0.13818565364579796,0.0676300646161799,False,0.5724743777452416,0.02342606149341142
H,0.65,0.06522160496562059,1366,846,39,0.04609929078014184,0.3363620990121097,0.07275866673995249,False,0.6193265007320644,0.02855051244509517
H,0.7,0.06693927405430387,1366,916,42,0.04585152838427948,0.3145344810784098,0.07125004750227931,False,0.6705710102489019,0.03074670571010249
H,0.75,0.06869357264583029,1366,1002,52,0.05189620758483034,0.6431549938769093,0.07718034461136217,False,0.7335285505124451,0.03806734992679356
H,0.8,0.07021375331710436,1366,1075,73,0.06790697674418604,0.9959041245436607,0.09486237736452559,False,0.7869692532942899,0.053440702781844804
H,0.85,0.07239492941810417,1366,1134,85,0.07495590828924162,0.9998839978162192,0.10213900206970646,False,0.8301610541727672,0.06222547584187409
H,0.9,0.07497978205849046,1366,1215,101,0.0831275720164609,0.9999995940913168,0.11036301567769503,False,0.8894582723279648,0.0739385065885798
H,0.95,0.07908576259385748,1366,1281,113,0.08821233411397346,0.9999999958634085,0.11528342328267537,False,0.9377745241581259,0.08272327964860908
H,1.0,Infinity,1366,1366,143,0.10468521229868229,0.9999999999999999,0.1326098138082249,False,1.0,0.10468521229868229
Random,0.05,0.05,1366,70,11,0.15714285714285714,0.9998280109422862,0.32862749918777134,False,0.05124450951683748,0.008052708638360176
Random,0.1,0.1,1366,137,16,0.11678832116788321,0.9994824951228579,0.22385099002688416,False,0.10029282576866765,0.01171303074670571
Random,0.15,0.15,1366,204,26,0.12745098039215685,0.9999956131728458,0.21418366436082445,False,0.1493411420204978,0.01903367496339678
Random,0.2,0.2,1366,278,33,0.11870503597122302,0.9999982730169029,0.18966424537414828,False,0.20351390922401172,0.024158125915080528
Random,0.25,0.25,1366,334,42,0.12574850299401197,0.9999999814358111,0.19081097078058637,False,0.2445095168374817,0.03074670571010249
Random,0.3,0.3,1366,398,49,0.12311557788944724,0.9999999968235983,0.18162549218726412,False,0.2913616398243045,0.03587115666178624
Random,0.35,0.35,1366,458,55,0.12008733624454149,0.9999999989544666,0.17370135058170807,False,0.33528550512445093,0.04026354319180088
Random,0.4,0.4,1366,541,65,0.12014787430683918,0.999999999959235,0.16899817377968485,False,0.39604685212298685,0.04758418740849195
Random,0.45,0.45,1366,598,70,0.11705685618729098,0.9999999999729635,0.16284016286878128,False,0.4377745241581259,0.05124450951683748
Random,0.5,0.5,1366,668,76,0.11377245508982035,0.999999999982615,0.15639528835760158,False,0.4890190336749634,0.055636896046852125
Random,0.55,0.55,1366,729,82,0.11248285322359397,0.999999999994395,0.1529267573292254,False,0.5336749633967789,0.060029282576866766
Random,0.6,0.6,1366,815,91,0.1116564417177914,0.9999999999993111,0.1495851583853026,False,0.5966325036603221,0.06661786237188873
Random,0.65,0.65,1366,874,96,0.10983981693363844,0.9999999999995396,0.1461194482361411,False,0.6398243045387995,0.07027818448023426
Random,0.7,0.7,1366,946,106,0.11205073995771671,0.9999999999999911,0.14704451467885218,False,0.6925329428989752,0.07759882869692533
Random,0.75,0.75,1366,1013,116,0.11451135241855874,0.9999999999999999,0.1484928449640921,False,0.7415812591508053,0.0849194729136164
Random,0.8,0.8,1366,1087,120,0.11039558417663294,0.9999999999999994,0.14265373618213853,False,0.7957540263543191,0.08784773060029283
Random,0.85,0.85,1366,1170,125,0.10683760683760683,0.9999999999999982,0.13744919673577338,False,0.8565153733528551,0.09150805270863836
Random,0.9,0.9,1366,1243,135,0.1086082059533387,1.0,0.1384139251961461,False,0.9099560761346999,0.09882869692532943
Random,0.95,0.95,1366,1305,139,0.10651340996168582,0.9999999999999999,0.13532829448094386,False,0.9553440702781845,0.10175695461200586
Random,1.0,1.0,1366,1366,143,0.10468521229868229,0.9999999999999999,0.1326098138082249,False,1.0,0.10468521229868229
