split,family,q,threshold,cal_accepted,final_deployment,N,n_R,coverage,changed,conditional_risk,marginal_change,benefit,harm,neutral_change,correct,accuracy,accuracy_diff_Text,INVALID_selected,routed_both_INVALID,routed_R_only_INVALID,routed_Text_only_INVALID,routed_both_valid,risk_CP95_descriptive_low,risk_CP95_descriptive_high,mean_cost_ms,median_cost_ms,p95_cost_ms,net_saving_vs_Text_ms,net_saving_vs_Text_fraction,U,random_expected_changes,random_hypergeom95_low,random_hypergeom95_high
fit,D,0.05,0.06544978618624626,False,False,2100,105,0.05,0,0.0,0.0,0,0,0,1800,0.8571428571428571,0.0,1,0,0,0,105,0.0,0.03452221412650563,,,,,,,,,
fit,D,0.1,0.07011126782477158,False,False,2100,210,0.1,0,0.0,0.0,0,0,0,1800,0.8571428571428571,0.0,1,0,0,0,210,0.0,0.017412708267863678,,,,,,,,,
fit,D,0.15,0.07361258920795709,True,False,2100,315,0.15,0,0.0,0.0,0,0,0,1800,0.8571428571428571,0.0,1,0,0,0,315,0.0,0.011642424734286007,,,,,,,,,
fit,D,0.2,0.07703257617313741,True,False,2100,420,0.2,0,0.0,0.0,0,0,0,1800,0.8571428571428571,0.0,1,0,0,0,420,0.0,0.008744588043961133,,,,,,,,,
fit,D,0.25,0.08051686084384338,True,False,2100,525,0.25,0,0.0,0.0,0,0,0,1800,0.8571428571428571,0.0,1,0,0,0,525,0.0,0.007001809362012784,,,,,,,,,
fit,D,0.3,0.08307916184658852,True,True,2100,630,0.3,5,0.007936507936507936,0.002380952380952381,1,4,0,1797,0.8557142857142858,-0.0014285714285714286,1,0,0,0,630,0.0025818390453574863,0.01842331233591296,,,,,,,,,
fit,D,0.35,0.08614836532551183,False,False,2100,735,0.35,9,0.012244897959183673,0.004285714285714286,2,7,0,1795,0.8547619047619047,-0.002380952380952381,1,0,0,0,735,0.00561401710799765,0.02311689686879193,,,,,,,,,
fit,D,0.4,0.08877346652614314,False,False,2100,840,0.4,13,0.015476190476190477,0.006190476190476191,2,10,1,1792,0.8533333333333334,-0.0038095238095238095,2,0,1,0,839,0.008265479577196071,0.02631936098094925,,,,,,,,,
fit,D,0.45,0.09124921560598001,False,False,2100,945,0.45,22,0.02328042328042328,0.010476190476190476,6,14,2,1792,0.8533333333333334,-0.0038095238095238095,2,0,1,0,944,0.014645880839121822,0.03503563043850948,,,,,,,,,
fit,D,0.5,0.09428394401285886,False,False,2100,1050,0.5,24,0.022857142857142857,0.011428571428571429,6,16,2,1790,0.8523809523809524,-0.004761904761904762,2,0,1,0,1049,0.014698612899942978,0.03381964771899215,,,,,,,,,
fit,D,0.55,0.09748868540822955,False,False,2100,1155,0.55,28,0.024242424242424242,0.013333333333333334,7,18,3,1789,0.8519047619047619,-0.005238095238095238,1,0,1,1,1153,0.01616796991242165,0.03484753489539396,,,,,,,,,
fit,D,0.6,0.10060263240834924,False,False,2100,1260,0.6,38,0.03015873015873016,0.018095238095238095,14,21,3,1793,0.8538095238095238,-0.0033333333333333335,1,0,1,1,1258,0.021428639126013893,0.04116182954018059,,,,,,,,,
fit,D,0.65,0.10404623601403046,False,False,2100,1365,0.65,50,0.03663003663003663,0.023809523809523808,16,29,5,1787,0.8509523809523809,-0.006190476190476191,1,0,1,1,1363,0.027307413863931165,0.04800913647994852,,,,,,,,,
fit,D,0.7,0.10772473703441966,False,False,2100,1470,0.7,63,0.04285714285714286,0.03,19,38,6,1781,0.8480952380952381,-0.009047619047619047,1,0,1,1,1468,0.033087025508790203,0.05450244476195981,,,,,,,,,
fit,D,0.75,0.11108057622555029,False,False,2100,1575,0.75,77,0.04888888888888889,0.03666666666666667,22,46,9,1776,0.8457142857142858,-0.011428571428571429,1,0,1,1,1573,0.03877195020440747,0.06072661062311755,,,,,,,,,
fit,D,0.8,0.11470266135181671,False,False,2100,1680,0.8,93,0.055357142857142855,0.04428571428571428,27,56,10,1771,0.8433333333333334,-0.01380952380952381,1,0,1,1,1678,0.044909659579749205,0.06738974935630355,,,,,,,,,
fit,D,0.85,0.11984897005427914,False,False,2100,1785,0.85,113,0.06330532212885154,0.05380952380952381,32,68,13,1764,0.84,-0.017142857142857144,1,0,1,1,1783,0.052453977336281626,0.07561755888524485,,,,,,,,,
fit,D,0.9,0.12519989957761207,False,False,2100,1890,0.9,147,0.07777777777777778,0.07,39,89,19,1750,0.8333333333333334,-0.023809523809523808,1,0,1,1,1888,0.06610138631775846,0.09078343232610159,,,,,,,,,
fit,D,0.95,0.13437740872606294,False,False,2100,1995,0.95,171,0.08571428571428572,0.08142857142857143,40,107,24,1733,0.8252380952380952,-0.03190476190476191,1,0,1,1,1993,0.07379528110170909,0.09886663085244009,,,,,,,,,
fit,D,1.0,Infinity,False,False,2100,2100,1.0,203,0.09666666666666666,0.09666666666666666,46,129,28,1717,0.8176190476190476,-0.039523809523809524,2,0,2,1,2097,0.08435950648241218,0.11011231655161621,,,,,,,,,
fit,R,0.05,0.11714229392379705,False,False,2100,105,0.05,0,0.0,0.0,0,0,0,1800,0.8571428571428571,0.0,1,0,0,0,105,0.0,0.03452221412650563,,,,,,,,,
fit,R,0.1,0.12736104171705365,False,False,2100,210,0.1,0,0.0,0.0,0,0,0,1800,0.8571428571428571,0.0,1,0,0,0,210,0.0,0.017412708267863678,,,,,,,,,
fit,R,0.15,0.13448889633827654,False,False,2100,315,0.15,0,0.0,0.0,0,0,0,1800,0.8571428571428571,0.0,1,0,0,0,315,0.0,0.011642424734286007,,,,,,,,,
fit,R,0.2,0.14059583531561914,False,False,2100,420,0.2,0,0.0,0.0,0,0,0,1800,0.8571428571428571,0.0,1,0,0,0,420,0.0,0.008744588043961133,,,,,,,,,
