policy,reference,metric,difference,CI95_descriptive_low,CI95_descriptive_high,replicates,seed
D,Fixed_Text,accuracy,-0.0026954177897574125,-0.009433962264150941,0.0040431266846361336,2000,0
D,Fixed_Text,mean_cost_ms,-178.59774053534736,-203.91256445024268,-153.13714363141352,2000,0
D,Fixed_Text,U,0.0041092773696769684,-0.0026928349598394656,0.010457093909677417,2000,0
R,Fixed_Text,accuracy,-0.0013477088948787063,-0.009433962264150941,0.005390835579514808,2000,0
R,Fixed_Text,mean_cost_ms,-235.67671173194006,-261.5846690087139,-210.8382490185969,2000,0
R,Fixed_Text,U,0.007631733816471524,-0.00020835774158982072,0.014429315020732874,2000,0
Diff,Fixed_Text,accuracy,0.0,0.0,0.0,2000,0
Diff,Fixed_Text,mean_cost_ms,0.0,0.0,0.0,2000,0
Diff,Fixed_Text,U,0.0,0.0,0.0,2000,0
H,Fixed_Text,accuracy,-0.0026954177897574125,-0.009433962264150941,0.0040431266846361336,2000,0
H,Fixed_Text,mean_cost_ms,-141.3190387770093,-164.39895942590766,-119.37152806474595,2000,0
H,Fixed_Text,U,0.0026889335252107192,-0.004140299255697246,0.008957848515022657,2000,0
Random,Fixed_Text,accuracy,0.0,0.0,0.0,2000,0
Random,Fixed_Text,mean_cost_ms,0.0,0.0,0.0,2000,0
Random,Fixed_Text,U,0.0,0.0,0.0,2000,0
D,R,accuracy,-0.0013477088948787063,-0.0040431266846361336,0.0,2000,0
D,R,mean_cost_ms,57.07897119659266,42.77525581962124,71.46236232022663,2000,0
D,R,U,-0.003522456446794554,-0.006623990779765593,-0.00173094396962592,2000,0
D,Diff,accuracy,-0.0026954177897574125,-0.009433962264150941,0.0040431266846361336,2000,0
D,Diff,mean_cost_ms,-178.59774053534736,-203.91256445024268,-153.13714363141352,2000,0
D,Diff,U,0.0041092773696769684,-0.0026928349598394656,0.010457093909677417,2000,0
D,H,accuracy,0.0,0.0,0.0,2000,0
D,H,mean_cost_ms,-37.278701758338066,-49.736721866881005,-25.189331181337685,2000,0
D,H,U,0.0014203438444662492,0.0009597306183460024,0.0018950028680050884,2000,0
D,Random,accuracy,-0.0026954177897574125,-0.009433962264150941,0.0040431266846361336,2000,0
D,Random,mean_cost_ms,-178.59774053534736,-203.91256445024268,-153.13714363141352,2000,0
D,Random,U,0.0041092773696769684,-0.0026928349598394656,0.010457093909677417,2000,0
