split,family,N,d_count,AUROC_disagreement,AP_disagreement,AP_random_baseline,in_sample
fit,D,2100,203,0.7939448078506119,0.2548661926287439,0.09666666666666666,True
fit,R,2100,203,0.7926438166563227,0.24814113976101085,0.09666666666666666,True
fit,Diff,2100,203,0.7717786185602884,0.23644441438130226,0.09666666666666666,True
fit,H,2100,203,0.7868088321981037,0.2474118290857605,0.09666666666666666,True
cal,D,1366,143,0.7676697791170399,0.2561154244081586,0.10468521229868229,False
cal,R,1366,143,0.7674467805293643,0.25889705451116685,0.10468521229868229,False
cal,Diff,1366,143,0.7544842728816564,0.24570145686973832,0.10468521229868229,False
cal,H,1366,143,0.7655312798403558,0.25235753545020495,0.10468521229868229,False
cal,Random,1366,143,0.45874812023626416,0.09460718415113425,0.10468521229868229,False
dev,D,742,72,0.7631426202321725,0.2818580583596058,0.09703504043126684,False
dev,R,742,72,0.7691749585406302,0.2897698216504391,0.09703504043126684,False
dev,Diff,742,72,0.7547885572139303,0.25766729614747225,0.09703504043126684,False
dev,H,742,72,0.759950248756219,0.2738232955983146,0.09703504043126684,False
dev,Random,742,72,0.5295605306799337,0.10282986385889381,0.09703504043126684,False
