split,unit,K,N,reference,q,threshold,mode,routed,coverage,changed,changed_over_routed,conditional_disagreement,marginal_disagreement,descriptive_CP_0_95_upper,R_reference_disagreement_count,R_reference_disagreement_prevalence,AUROC,AP,score_direction,reference_correct,policy_correct,reference_accuracy,policy_accuracy,accuracy_difference,benefit,harm,neutral_change,invalid_R,invalid_Text,invalid_C2C,invalid_policy
fit,group_representatives,3,6,Text,0.4,3.838539123535156e-05,selective,4,0.6666666666666666,0,0/4,0.0,0.0,0.527129195498412,1,0.16666666666666666,0.8,0.5,higher u predicts R/reference disagreement,5,5,0.8333333333333334,0.8333333333333334,0.0,0,0,0,0,0,0,0
fit,group_representatives,4,146,Text,0.4,3.838539123535156e-05,selective,86,0.589041095890411,2,2/86,0.023255813953488372,0.0136986301369863,0.07139977152716362,24,0.1643835616438356,0.8343579234972678,0.4875622717980387,higher u predicts R/reference disagreement,74,74,0.5068493150684932,0.5068493150684932,0.0,1,1,0,0,0,1,0
fit,group_representatives,5,14,Text,0.4,3.838539123535156e-05,selective,9,0.6428571428571429,0,0/9,0.0,0.0,0.28312883556311347,2,0.14285714285714285,0.875,0.5,higher u predicts R/reference disagreement,10,10,0.7142857142857143,0.7142857142857143,0.0,0,0,0,0,0,1,0
fit,group_representatives,6,21,Text,0.4,3.838539123535156e-05,selective,11,0.5238095238095238,0,0/11,0.0,0.0,0.2384041903808526,3,0.14285714285714285,0.8148148148148148,0.3694444444444444,higher u predicts R/reference disagreement,11,11,0.5238095238095238,0.5238095238095238,0.0,0,0,0,0,0,0,0
fit,group_representatives,7,36,Text,0.4,3.838539123535156e-05,selective,22,0.6111111111111112,1,1/22,0.045454545454545456,0.027777777777777776,0.19812213163688158,6,0.16666666666666666,0.9333333333333335,0.8643790849673203,higher u predicts R/reference disagreement,25,25,0.6944444444444444,0.6944444444444444,0.0,0,0,1,0,0,0,0
fit,group_representatives,8,90,Text,0.4,3.838539123535156e-05,selective,53,0.5888888888888889,0,0/53,0.0,0.0,0.054955488465177824,14,0.15555555555555556,0.9276315789473684,0.6634474108840468,higher u predicts R/reference disagreement,64,64,0.7111111111111111,0.7111111111111111,0.0,0,0,0,1,0,1,0
fit,group_representatives,9,203,Text,0.4,3.838539123535156e-05,selective,100,0.49261083743842365,4,4/100,0.04,0.019704433497536946,0.08919625015887987,43,0.21182266009852216,0.8259447674418605,0.539154738983743,higher u predicts R/reference disagreement,103,103,0.5073891625615764,0.5073891625615764,0.0,1,1,2,1,0,4,0
fit,group_representatives,10,2484,Text,0.4,3.838539123535156e-05,selective,915,0.36835748792270534,35,35/915,0.03825136612021858,0.014090177133655395,0.050397289270602164,583,0.23470209339774556,0.8032433954143481,0.5180613957845734,higher u predicts R/reference disagreement,1130,1126,0.45491143317230276,0.4533011272141707,-0.001610305958132045,10,14,11,7,0,17,1
fit,group_representatives,3,6,C2C,0.4,3.838539123535156e-05,selective,4,0.6666666666666666,0,0/4,0.0,0.0,0.527129195498412,1,0.16666666666666666,1.0,1.0,higher u predicts R/reference disagreement,5,5,0.8333333333333334,0.8333333333333334,0.0,0,0,0,0,0,0,0
fit,group_representatives,4,146,C2C,0.4,3.838539123535156e-05,selective,86,0.589041095890411,8,8/86,0.09302325581395349,0.0547945205479452,0.16158826470859586,37,0.2534246575342466,0.8497396479047855,0.6866354234391836,higher u predicts R/reference disagreement,68,70,0.4657534246575342,0.4794520547945205,0.0136986301369863,5,3,0,0,0,1,0
fit,group_representatives,5,14,C2C,0.4,3.838539123535156e-05,selective,9,0.6428571428571429,2,2/9,0.2222222222222222,0.14285714285714285,0.5496416495066101,5,0.35714285714285715,0.7555555555555554,0.7357142857142858,higher u predicts R/reference disagreement,7,9,0.5,0.6428571428571429,0.14285714285714285,2,0,0,0,0,1,0
fit,group_representatives,6,21,C2C,0.4,3.838539123535156e-05,selective,11,0.5238095238095238,0,0/11,0.0,0.0,0.2384041903808526,5,0.23809523809523808,0.8875000000000001,0.7533333333333333,higher u predicts R/reference disagreement,11,11,0.5238095238095238,0.5238095238095238,0.0,0,0,0,0,0,0,0
fit,group_representatives,7,36,C2C,0.4,3.838539123535156e-05,selective,22,0.6111111111111112,0,0/22,0.0,0.0,0.12730543165483868,4,0.1111111111111111,0.84375,0.3617424242424242,higher u predicts R/reference disagreement,22,22,0.6111111111111112,0.6111111111111112,0.0,0,0,0,0,0,0,0
fit,group_representatives,8,90,C2C,0.4,3.838539123535156e-05,selective,53,0.5888888888888889,1,1/53,0.018867924528301886,0.011111111111111112,0.08640681821816416,16,0.17777777777777778,0.8826013513513513,0.5160349648390784,higher u predicts R/reference disagreement,56,57,0.6222222222222222,0.6333333333333333,0.011111111111111112,1,0,0,1,0,1,1
fit,group_representatives,9,203,C2C,0.4,3.838539123535156e-05,selective,100,0.49261083743842365,5,5/100,0.05,0.024630541871921183,0.1022533776432745,49,0.2413793103448276,0.8273257354890008,0.6035967046137454,higher u predicts R/reference disagreement,102,104,0.5024630541871922,0.5123152709359606,0.009852216748768473,2,0,3,1,0,4,3
fit,group_representatives,10,2484,C2C,0.4,3.838539123535156e-05,selective,915,0.36835748792270534,33,33/915,0.036065573770491806,0.013285024154589372,0.04792963920692576,763,0.3071658615136876,0.841895237536773,0.6584401802344679,higher u predicts R/reference disagreement,1050,1063,0.4227053140096618,0.427938808373591,0.005233494363929146,16,3,14,7,0,17,12
fit,raw_rows_descriptive,3,6,Text,0.4,3.838539123535156e-05,selective,4,0.6666666666666666,0,0/4,0.0,0.0,,1,0.16666666666666666,0.8,0.5,higher u predicts R/reference disagreement,5,5,0.8333333333333334,0.8333333333333334,0.0,0,0,0,0,0,0,0
fit,raw_rows_descriptive,4,147,Text,0.4,3.838539123535156e-05,selective,87,0.5918367346938775,2,2/87,0.022988505747126436,0.013605442176870748,,24,0.16326530612244897,0.8355352303523035,0.48751567781798094,higher u predicts R/reference disagreement,75,75,0.5102040816326531,0.5102040816326531,0.0,1,1,0,0,0,1,0
fit,raw_rows_descriptive,5,14,Text,0.4,3.838539123535156e-05,selective,9,0.6428571428571429,0,0/9,0.0,0.0,,2,0.14285714285714285,0.875,0.5,higher u predicts R/reference disagreement,10,10,0.7142857142857143,0.7142857142857143,0.0,0,0,0,0,0,1,0
fit,raw_rows_descriptive,6,23,Text,0.4,3.838539123535156e-05,selective,13,0.5652173913043478,0,0/13,0.0,0.0,,3,0.13043478260869565,0.8333333333333333,0.3694444444444444,higher u predicts R/reference disagreement,13,13,0.5652173913043478,0.5652173913043478,0.0,0,0,0,0,0,0,0
