split,unit,category,N,reference,q,threshold,mode,routed,coverage,changed,changed_over_routed,conditional_disagreement,marginal_disagreement,descriptive_CP_0_95_upper,R_reference_disagreement_count,R_reference_disagreement_prevalence,AUROC,AP,score_direction,reference_correct,policy_correct,reference_accuracy,policy_accuracy,accuracy_difference,benefit,harm,neutral_change,invalid_R,invalid_Text,invalid_C2C,invalid_policy
fit,group_representatives,biology,163,Text,0.4,3.838539123535156e-05,selective,109,0.6687116564417178,3,3/109,0.027522935779816515,0.018404907975460124,0.06959656844661254,21,0.12883435582822086,0.8886653252850436,0.5615643462392155,higher u predicts R/reference disagreement,119,121,0.7300613496932515,0.7423312883435583,0.012269938650306749,2,0,1,0,0,3,0
fit,group_representatives,business,201,Text,0.4,3.838539123535156e-05,selective,54,0.26865671641791045,1,1/54,0.018518518518518517,0.004975124378109453,0.08486195988423352,44,0.21890547263681592,0.8498118123914302,0.655157348512987,higher u predicts R/reference disagreement,85,85,0.4228855721393035,0.4228855721393035,0.0,0,0,1,0,0,3,0
fit,group_representatives,chemistry,292,Text,0.4,3.838539123535156e-05,selective,73,0.25,1,1/73,0.0136986301369863,0.003424657534246575,0.0633415999309451,66,0.22602739726027396,0.8347412174845804,0.579168884364115,higher u predicts R/reference disagreement,105,105,0.3595890410958904,0.3595890410958904,0.0,0,0,1,2,0,3,0
fit,group_representatives,computer science,105,Text,0.4,3.838539123535156e-05,selective,51,0.4857142857142857,2,2/51,0.0392156862745098,0.01904761904761905,0.11834909903946435,24,0.22857142857142856,0.8065843621399177,0.49698699191043433,higher u predicts R/reference disagreement,59,59,0.5619047619047619,0.5619047619047619,0.0,1,1,0,0,0,2,0
fit,group_representatives,economics,216,Text,0.4,3.838539123535156e-05,selective,138,0.6388888888888888,6,6/138,0.043478260869565216,0.027777777777777776,0.08400588250731097,33,0.1527777777777778,0.8125517469779765,0.4019022895643748,higher u predicts R/reference disagreement,130,130,0.6018518518518519,0.6018518518518519,0.0,2,2,2,1,0,2,0
fit,group_representatives,engineering,250,Text,0.4,3.838539123535156e-05,selective,53,0.212,0,0/53,0.0,0.0,0.054955488465177824,60,0.24,0.7846491228070176,0.46621874259333035,higher u predicts R/reference disagreement,114,114,0.456,0.456,0.0,0,0,0,0,0,0,0
fit,group_representatives,health,176,Text,0.4,3.838539123535156e-05,selective,97,0.5511363636363636,3,3/97,0.030927835051546393,0.017045454545454544,0.07799470845335697,34,0.19318181818181818,0.850973487986744,0.49061991139233957,higher u predicts R/reference disagreement,105,104,0.5965909090909091,0.5909090909090909,-0.005681818181818182,0,1,2,0,0,1,0
fit,group_representatives,history,98,Text,0.4,3.838539123535156e-05,selective,49,0.5,4,4/49,0.08163265306122448,0.04081632653061224,0.17714788196748052,26,0.2653061224489796,0.7938034188034189,0.5697878736429498,higher u predicts R/reference disagreement,47,46,0.47959183673469385,0.46938775510204084,-0.01020408163265306,0,1,3,1,0,0,0
fit,group_representatives,law,247,Text,0.4,3.838539123535156e-05,selective,78,0.3157894736842105,4,4/78,0.05128205128205128,0.016194331983805668,0.11351736195607219,72,0.291497975708502,0.797222222222222,0.5940327581291694,higher u predicts R/reference disagreement,71,70,0.2874493927125506,0.2834008097165992,-0.004048582995951417,0,1,3,0,0,3,0
fit,group_representatives,math,347,Text,0.4,3.838539123535156e-05,selective,101,0.2910662824207493,7,7/101,0.06930693069306931,0.020172910662824207,0.12623532300558654,102,0.29394812680115273,0.7710084033613446,0.5913618898671461,higher u predicts R/reference disagreement,142,145,0.4092219020172911,0.41786743515850144,0.008645533141210375,5,2,0,1,0,4,0
fit,group_representatives,other,238,Text,0.4,3.838539123535156e-05,selective,118,0.4957983193277311,3,3/118,0.025423728813559324,0.012605042016806723,0.06439585183945712,55,0.23109243697478993,0.8476900149031297,0.5661781353751362,higher u predicts R/reference disagreement,120,120,0.5042016806722689,0.5042016806722689,0.0,1,1,1,2,0,2,0
fit,group_representatives,philosophy,128,Text,0.4,3.838539123535156e-05,selective,58,0.453125,2,2/58,0.034482758620689655,0.015625,0.1045972819188962,24,0.1875,0.8333333333333333,0.5149287634844938,higher u predicts R/reference disagreement,58,58,0.453125,0.453125,0.0,1,1,0,2,0,0,1
