split,unit,N,reference,q,threshold,mode,routed,coverage,changed,changed_over_routed,conditional_disagreement,marginal_disagreement,descriptive_CP_0_95_upper,R_reference_disagreement_count,R_reference_disagreement_prevalence,AUROC,AP,score_direction,reference_correct,policy_correct,reference_accuracy,policy_accuracy,accuracy_difference,benefit,harm,neutral_change,invalid_R,invalid_Text,invalid_C2C,invalid_policy
fit,group_representatives,3000,Text,0.4,3.838539123535156e-05,selective,1200,0.4,42,42/1200,0.035,0.014,0.045036343545926553,676,0.22533333333333333,0.8120366079703428,0.5173436949149663,higher u predicts R/reference disagreement,1422,1418,0.474,0.4726666666666667,-0.0013333333333333333,12,16,14,9,0,24,1
fit,group_representatives,3000,C2C,0.4,3.838539123535156e-05,selective,1200,0.4,49,49/1200,0.04083333333333333,0.01633333333333333,0.051523132168588115,880,0.29333333333333333,0.8436583404802744,0.648816931605604,higher u predicts R/reference disagreement,1321,1341,0.44033333333333335,0.447,0.006666666666666667,26,6,17,9,0,24,16
fit,raw_rows_descriptive,3093,Text,0.4,3.838539123535156e-05,selective,1252,0.4047849983834465,45,45/1252,0.035942492012779555,0.014548981571290009,,694,0.22437762689945037,0.8139012052332084,0.5197412358482949,higher u predicts R/reference disagreement,1479,1476,0.478176527643065,0.4772065955383123,-0.0009699321047526673,14,17,14,9,0,26,1
fit,raw_rows_descriptive,3093,C2C,0.4,3.838539123535156e-05,selective,1252,0.4047849983834465,51,51/1252,0.04073482428115016,0.016488845780795344,,899,0.290656320724216,0.8432168630596337,0.6440625451830015,higher u predicts R/reference disagreement,1369,1391,0.44261235046880054,0.4497251859036534,0.007112835434852894,28,6,17,9,0,26,17
cal,group_representatives,6000,Text,0.4,3.838539123535156e-05,selective,2358,0.393,67,67/2358,0.028413910093299407,0.011166666666666667,0.034708997806413636,1295,0.21583333333333332,0.8139185701566148,0.4998456911576047,higher u predicts R/reference disagreement,2879,2883,0.47983333333333333,0.4805,0.0006666666666666666,27,23,17,17,3,51,3
cal,group_representatives,6000,C2C,0.4,3.838539123535156e-05,selective,2358,0.393,75,75/2358,0.031806615776081425,0.0125,0.03841277227767154,1748,0.29133333333333333,0.8404098031132476,0.6242947768532009,higher u predicts R/reference disagreement,2645,2679,0.44083333333333335,0.4465,0.005666666666666667,41,7,27,17,3,51,41
cal,raw_rows_descriptive,6196,Text,0.4,3.838539123535156e-05,selective,2452,0.3957391865719819,71,71/2452,0.02895595432300163,0.011459005810200129,,1331,0.21481601032924466,0.8136739293764087,0.4985478534350537,higher u predicts R/reference disagreement,2986,2987,0.4819238218205294,0.4820852162685604,0.00016139444803098772,27,26,18,17,3,52,3
cal,raw_rows_descriptive,6196,C2C,0.4,3.838539123535156e-05,selective,2452,0.3957391865719819,78,78/2452,0.03181076672104405,0.012588766946417043,,1788,0.28857327307940606,0.8417269724154173,0.6249724286361935,higher u predicts R/reference disagreement,2747,2783,0.4433505487411233,0.4491607488702389,0.005810200129115558,43,7,28,17,3,52,41
dev,group_representatives,2641,Text,0.4,3.838539123535156e-05,selective,1069,0.40477092010602045,40,40/1069,0.037418147801683815,0.015145778114350625,0.04843208949925558,561,0.2124195380537675,0.8214679315782257,0.5222871575558767,higher u predicts R/reference disagreement,1319,1321,0.49943203332071184,0.5001893222264294,0.0007572889057175312,14,12,14,6,2,20,2
dev,group_representatives,2641,C2C,0.4,3.838539123535156e-05,selective,1069,0.40477092010602045,37,37/1069,0.03461178671655753,0.014009844755774327,0.045283858706777556,756,0.2862552063612268,0.8463998007101454,0.6289406730796272,higher u predicts R/reference disagreement,1233,1257,0.466868610374858,0.4759560772434684,0.009087466868610375,27,3,7,6,2,20,19
dev,raw_rows_descriptive,2743,Text,0.4,3.838539123535156e-05,selective,1130,0.41195771053590957,42,42/1130,0.03716814159292035,0.015311702515493984,,578,0.2107181917608458,0.8235354051959053,0.5241997960567142,higher u predicts R/reference disagreement,1383,1383,0.5041924899744805,0.5041924899744805,0.0,14,14,14,6,2,21,2
dev,raw_rows_descriptive,2743,C2C,0.4,3.838539123535156e-05,selective,1130,0.41195771053590957,37,37/1130,0.03274336283185841,0.013488880787458987,,767,0.2796208530805687,0.8471534555474033,0.6226587701230386,higher u predicts R/reference disagreement,1296,1320,0.47247539190667154,0.4812249362012395,0.008749544294567991,27,3,7,6,2,21,20
