reference,resample,mean_saving_ms,seed,N
Text,0,395.43690656319086,0,128
Text,1,328.0992840664112,0,128
Text,2,278.2665202212229,0,128
Text,3,325.3638275600679,0,128
Text,4,396.6204071894026,0,128
Text,5,308.45671987117385,0,128
Text,6,341.52244741198956,0,128
Text,7,285.3890275091544,0,128
Text,8,353.76351632112346,0,128
Text,9,419.203200019183,0,128
Text,10,377.4954022392194,0,128
Text,11,250.45381556083157,0,128
Text,12,368.2371610611881,0,128
Text,13,335.2430766190082,0,128
Text,14,344.03056938026566,0,128
Text,15,231.52343812034815,0,128
Text,16,301.9599860890594,0,128
Text,17,329.7212467296049,0,128
Text,18,353.6200529015332,0,128
Text,19,421.1097653424076,0,128
Text,20,441.28961337992223,0,128
Text,21,368.08233582451066,0,128
Text,22,346.64347040052235,0,128
Text,23,296.93611649963714,0,128
Text,24,353.7705569015088,0,128
Text,25,403.4460804032278,0,128
Text,26,354.42200044053607,0,128
Text,27,352.44952084030956,0,128
Text,28,382.5570900717139,0,128
Text,29,356.0424683473684,0,128
Text,30,292.0654005865799,0,128
Text,31,342.61177782536834,0,128
Text,32,344.0857875848451,0,128
Text,33,318.6525612600235,0,128
Text,34,342.0084768004017,0,128
Text,35,371.6261417248461,0,128
Text,36,319.06591385813954,0,128
Text,37,314.96958287061716,0,128
Text,38,336.59417754461174,0,128
Text,39,292.20002711554116,0,128
Text,40,330.2399380172574,0,128
Text,41,308.7426562397013,0,128
Text,42,486.1988936117996,0,128
Text,43,388.93937449756777,0,128
Text,44,382.6707559564966,0,128
Text,45,314.190677841907,0,128
Text,46,415.3948277107702,0,128
Text,47,372.25685495468497,0,128
Text,48,319.3489237182803,0,128
Text,49,321.91935023729457,0,128
Text,50,325.83385575890134,0,128
Text,51,342.3596282136714,0,128
Text,52,335.25883633956255,0,128
Text,53,324.2160969257384,0,128
Text,54,295.58819526209845,0,128
Text,55,377.32266781677026,0,128
Text,56,348.05541730020195,0,128
Text,57,536.5231657688128,0,128
Text,58,353.8953442748607,0,128
Text,59,390.31202716068947,0,128
Text,60,286.6071858934447,0,128
Text,61,282.6545776169951,0,128
Text,62,295.9196982628782,0,128
Text,63,295.91528305354586,0,128
Text,64,253.3852169617603,0,128
Text,65,342.5490813169745,0,128
Text,66,316.9480229389592,0,128
Text,67,239.73261351056863,0,128
Text,68,301.81791942959535,0,128
Text,69,399.9985679947713,0,128
Text,70,421.62418142652314,0,128
Text,71,288.5478284515557,0,128
Text,72,318.56441803029156,0,128
Text,73,380.82914781443833,0,128
Text,74,287.7273851518112,0,128
Text,75,336.1944843745732,0,128
Text,76,359.08357939661073,0,128
Text,77,293.57774065101694,0,128
Text,78,345.1293735197396,0,128
Text,79,319.67829006498505,0,128
Text,80,320.2626826114283,0,128
Text,81,230.96320506374468,0,128
