reference,id,key,online_probe_ms,selector_ms,saved_inner_probe_ms,ProbeMax,route,probe_shared
Text,test:3074,mmlu_pro|test:3074|policy_T,342.42267394438386,0.0005208421498537064,339.691512985155,0.06711608171463013,T,False
Text,test:3502,mmlu_pro|test:3502|policy_T,46.444477047771215,0.00047101639211177826,46.275276923552155,0.0,R,False
Text,test:3459,mmlu_pro|test:3459|policy_T,52.07749200053513,0.0002898741513490677,51.89460492692888,8.940696716308594e-07,R,False
Text,test:2955,mmlu_pro|test:2955|policy_T,43.88315905816853,0.00037997961044311523,43.7165021430701,0.0,R,False
Text,test:3232,mmlu_pro|test:3232|policy_T,44.04864087700844,0.0003711320459842682,43.888468062505126,0.0,R,False
Text,test:3202,mmlu_pro|test:3202|policy_T,43.04604302160442,0.0003110617399215698,42.886110953986645,2.384185791015625e-07,R,False
Text,test:2979,mmlu_pro|test:2979|policy_T,44.091241201385856,0.0004309695214033127,43.927331920713186,0.0,R,False
Text,test:297,mmlu_pro|test:297|policy_T,42.722180020064116,0.00029010698199272156,42.55437315441668,0.004070103168487549,T,False
Text,test:481,mmlu_pro|test:481|policy_T,43.03629486821592,0.0003501772880554199,42.87621192634106,0.21153700351715088,T,False
Text,test:673,mmlu_pro|test:673|policy_T,43.10600599274039,0.00027101486921310425,42.925445130094886,0.33292800188064575,T,False
Text,test:205,mmlu_pro|test:205|policy_T,42.73963300511241,0.0003098975867033005,42.576073901727796,0.00021535158157348633,T,False
Text,test:429,mmlu_pro|test:429|policy_T,44.231618056073785,0.0002707820385694504,44.06874882988632,0.5266059041023254,T,False
Text,test:413,mmlu_pro|test:413|policy_T,42.71993599832058,0.00030105002224445343,42.56051406264305,0.42420244216918945,T,False
Text,test:289,mmlu_pro|test:289|policy_T,45.45467300340533,0.0003210734575986862,45.29447015374899,0.3321601152420044,T,False
Text,test:770,mmlu_pro|test:770|policy_T,43.38445398025215,0.0002600718289613724,43.22655498981476,0.3296963572502136,T,False
Text,test:402,mmlu_pro|test:402|policy_T,52.82043805345893,0.00027101486921310425,52.654212806373835,0.011001288890838623,T,False
Text,test:4181,mmlu_pro|test:4181|policy_T,44.62204687297344,0.00028009526431560516,44.45361811667681,3.993511199951172e-06,R,False
Text,test:3885,mmlu_pro|test:3885|policy_T,50.93143112026155,0.00026100315153598785,50.764214945957065,0.3478459119796753,T,False
Text,test:3996,mmlu_pro|test:3996|policy_T,44.42682699300349,0.00031082890927791595,44.26926886662841,0.07979828119277954,T,False
Text,test:4133,mmlu_pro|test:4133|policy_T,42.862697038799524,0.0002798624336719513,42.70953591912985,1.7881393432617188e-06,R,False
Text,test:4665,mmlu_pro|test:4665|policy_T,43.087380938231945,0.00029103830456733704,42.92305093258619,0.40429985523223877,T,False
Text,test:4076,mmlu_pro|test:4076|policy_T,42.757124872878194,0.00028009526431560516,42.60234208777547,2.9206275939941406e-06,R,False
Text,test:4073,mmlu_pro|test:4073|policy_T,45.899482909590006,0.0003110617399215698,45.72900012135506,0.004072725772857666,T,False
Text,test:4334,mmlu_pro|test:4334|policy_T,43.36260096170008,0.0003310851752758026,43.20421093143523,0.0,R,False
Text,test:3783,mmlu_pro|test:3783|policy_T,45.351285953074694,0.00030011869966983795,45.18465884029865,0.00013315677642822266,T,False
Text,test:3934,mmlu_pro|test:3934|policy_T,44.923033798113465,0.00025122426450252533,44.75625907070935,0.037475407123565674,T,False
Text,test:3957,mmlu_pro|test:3957|policy_T,45.10138207115233,0.00033993273973464966,44.94236106984317,0.18250805139541626,T,False
Text,test:4214,mmlu_pro|test:4214|policy_T,45.538449892774224,0.00028009526431560516,45.37806590087712,0.060448527336120605,T,False
Text,test:10489,mmlu_pro|test:10489|policy_T,43.47439296543598,0.00029010698199272156,43.3265829924494,9.638071060180664e-05,T,False
