pair,task,reference,recomputed_q,expected_q,ledger_accepted_flags_agree,max_abs_p_diff,max_abs_CP_diff,match,source,label
small,OBQA,Text,0.0,0.0,True,0.0,0.0,True,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/calibration_all_160.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,C2C,0.0,0.0,True,0.0,0.0,True,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/calibration_all_160.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,ARC,Text,0.0,0.0,True,0.0,0.0,True,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/calibration_all_160.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,ARC,C2C,0.0,0.0,True,0.0,0.0,True,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/calibration_all_160.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,0.0,0.0,True,0.0,0.0,True,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/calibration/obqa_T.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,C2C,0.55,0.55,True,0.0,0.0,True,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/calibration/obqa_C.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,Text,0.0,0.0,True,0.0,0.0,True,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/calibration/arc_T.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,C2C,0.6,0.6,True,0.0,0.0,True,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/calibration/arc_C.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,Text,0.8,0.8,True,0.0,0.0,True,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/calibration_all_160.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,C2C,0.8,0.8,True,0.0,0.0,True,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/calibration_all_160.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,Text,0.95,0.95,True,0.0,0.0,True,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/calibration_all_160.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,C2C,0.9,0.9,True,0.0,0.0,True,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/calibration_all_160.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,Text,0.4,0.4,True,0.0,0.0,True,$DATA_DIR/P2_MMLU_PRO_BREADTH_STAGE1_20260916T002337Z/calibration/40_test_ledger.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,C2C,0.4,0.4,True,0.0,0.0,True,$DATA_DIR/P2_MMLU_PRO_BREADTH_STAGE1_20260916T002337Z/calibration/40_test_ledger.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
