pair,task,reference,deployed_q,basis,q,threshold,N_cal,n_q,k_q,p,CP_upper_0999,n_q0.05,k_q0.05,n_q0.10,k_q0.10,min_p_tied_q,source,label
small,OBQA,Text,0.0,fallback: min p over grid,0.05,0.00014084577560424805,1366,65,5,0.8941257108629487,0.23172368159371168,65,5,142,19,0.05,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/calibration_all_160.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,C2C,0.0,fallback: min p over grid,0.05,0.00014084577560424805,1366,65,2,0.36299667300016447,0.16096722074665454,65,2,142,10,0.05,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/calibration_all_160.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,ARC,Text,0.0,fallback: min p over grid,0.1,0.0004367232322692871,448,33,5,0.9946125467066538,0.418621975179847,18,4,33,5,0.1,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/calibration_all_160.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,ARC,C2C,0.0,fallback: min p over grid,0.1,0.0004367232322692871,448,33,2,0.7728068695765471,0.2962538778877184,18,1,33,2,0.1,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/calibration_all_160.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,0.0,fallback: min p over grid,0.05,0.0,1366,601,36,0.8842951640164337,0.09578028400420299,,,,,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/calibration/obqa_T.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,C2C,0.55,selected,0.55,1.3113021850585938e-06,1366,739,19,0.0006941865963785939,0.0490693013388247,,,,,,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/calibration/obqa_C.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,Text,0.0,fallback: min p over grid,0.05,0.0,448,256,12,0.48296017845249306,0.10249754525175182,,,,,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/calibration/arc_T.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,C2C,0.6,selected,0.6,3.5762786865234375e-07,448,290,1,5.637030858186349e-06,0.03139127484505013,,,,,,$DATA_DIR/P2_MEDIUM_PAIR_BOUNDARY_EXTENSION_STAGE1_20260915T144407Z/execution_retry1_20260915T164957Z/calibration/arc_C.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,Text,0.8,selected,0.8,0.001170039176940918,1366,1064,18,1.1550466704560778e-08,0.03295449557541666,,,,,,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/calibration_all_160.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,C2C,0.8,selected,0.8,0.001170039176940918,1366,1064,22,6.7085048137187e-07,0.03791617334278821,,,,,,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/calibration_all_160.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,Text,0.95,selected,0.95,0.01800704002380371,448,422,4,4.801495832619201e-06,0.034611682349104694,,,,,,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/calibration_all_160.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,C2C,0.9,selected,0.9,0.0007095932960510254,448,404,7,0.0005396969574823307,0.04782528727380111,,,,,,$DATA_DIR/P2_CONFIDENCE_REFERENCE_BOUNDARIES_20260914T165012Z/summary/calibration_all_160.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,Text,0.4,selected,0.4,3.838539123535156e-05,6000,2358,67,1.335577911279424e-07,0.04060735664086911,,,,,,$DATA_DIR/P2_MMLU_PRO_BREADTH_STAGE1_20260916T002337Z/calibration/40_test_ledger.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,C2C,0.4,selected,0.4,3.838539123535156e-05,6000,2358,75,1.012696335561767e-05,0.04457860072380251,,,,,,$DATA_DIR/P2_MMLU_PRO_BREADTH_STAGE1_20260916T002337Z/calibration/40_test_ledger.csv,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
