pair,task,reference,score,q,threshold,N,n,k,p,CP,accepted,label
small,OBQA,Text,Entropy,0.05,0.00149237287871042,1366,66,5,0.8881799080533435,0.22851988743024795,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,Entropy,0.1,0.004429051787645452,1366,141,18,0.9999159110399056,0.23543980153776348,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,Entropy,0.15,0.007945230286909619,1366,212,35,0.9999999998506668,0.25642602718783924,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,Entropy,0.2,0.014487636271676797,1366,286,56,1.0,0.2768237088520379,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,Entropy,0.25,0.023136128587885427,1366,372,91,1.0,0.3190966283202937,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,Entropy,0.3,0.0339940988096534,1366,444,121,1.0,0.3420833133993995,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,Entropy,0.35,0.04778374237388279,1366,512,158,1.0,0.37488711543809505,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,Entropy,0.4,0.06743355607960563,1366,571,190,1.0,0.3962785827549866,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,Entropy,0.45,0.09343550805431246,1366,645,213,1.0,0.3897937831185013,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,Entropy,0.5,0.11965484715436726,1366,709,251,1.0,0.4114192469472344,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,Entropy,0.55,0.15924856466109646,1366,781,286,1.0,0.4210937420441578,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,Entropy,0.6,0.20710612609398754,1366,867,322,1.0,0.42353463598575847,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,Entropy,0.65,0.27133441240935646,1366,942,360,1.0,0.4323324351563648,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
