pair,task,reference,variant,deployed_q,fit_threshold,cal_n,cal_k,accepted_q,dev_N,dev_omitted,dev_changed,dev_coverage_pct,dev_changed_over_omitted,historically_tested,label
small,OBQA,Text,primary_ProbeMax,0.0,,,,,742,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,alpha_0.02,0.0,,,,,742,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,alpha_0.10,0.0,,,,,742,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,fixed_sequence_0.02,0.0,,,,,742,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,Entropy,0.0,,,,,742,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,Margin,0.0,,,,,742,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,C2C,primary_ProbeMax,0.0,,,,,742,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,C2C,alpha_0.02,0.0,,,,,742,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,C2C,alpha_0.10,0.0,,,,,742,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,C2C,fixed_sequence_0.02,0.0,,,,,742,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,C2C,Entropy,0.0,,,,,742,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,C2C,Margin,0.0,,,,,742,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,ARC,Text,primary_ProbeMax,0.0,,,,,299,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,ARC,Text,alpha_0.02,0.0,,,,,299,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,ARC,Text,alpha_0.10,0.0,,,,,299,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,ARC,Text,fixed_sequence_0.02,0.0,,,,,299,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,ARC,Text,Entropy,0.0,,,,,299,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,ARC,Text,Margin,0.0,,,,,299,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,ARC,C2C,primary_ProbeMax,0.0,,,,,299,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,ARC,C2C,alpha_0.02,0.0,,,,,299,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,ARC,C2C,alpha_0.10,0.0,,,,,299,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,ARC,C2C,fixed_sequence_0.02,0.0,,,,,299,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,ARC,C2C,Entropy,0.0,,,,,299,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,ARC,C2C,Margin,0.0,,,,,299,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,primary_ProbeMax,0.0,,,,,742,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,alpha_0.02,0.0,,,,,742,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,alpha_0.10,0.45,0.0,601,36,0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45,742,321,18,43.26145552560647,18/321,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,fixed_sequence_0.02,0.0,,,,,742,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,Entropy,0.0,,,,,742,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,Text,Margin,0.0,,,,,742,0,0,0.0,N/A,,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
