pair,task,reference,score,q,threshold,N,n,k,p,CP,accepted,label
small,OBQA,Text,learned_D,0.05,0.4476823695493829,1366,60,20,0.9999999999994323,0.5400234187172592,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,learned_D,0.1,0.45078234168405285,1366,129,40,1.0,0.4472980455559701,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,learned_D,0.15,0.4531527573806685,1366,193,63,1.0,0.4380415625377532,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,learned_D,0.2,0.454999800930565,1366,250,89,1.0,0.45451466732245693,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,learned_D,0.25,0.45652331267900503,1366,317,116,1.0,0.4532927497998769,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,learned_D,0.3,0.4580262893196159,1366,379,142,1.0,0.4545347629743267,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,learned_D,0.35,0.45975650960655706,1366,465,177,1.0,0.4526500130888369,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,learned_D,0.4,0.46108191158523654,1366,532,206,1.0,0.4545353260068708,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,learned_D,0.45,0.4623945475300647,1366,600,234,1.0,0.4533397629589653,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,learned_D,0.5,0.46392242322363664,1366,670,264,1.0,0.45395549059893947,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,learned_D,0.55,0.46524811504552344,1366,743,298,1.0,0.4580184229398732,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,learned_D,0.6,0.4670681651896474,1366,831,332,1.0,0.4532786548553104,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,learned_D,0.65,0.4689680663232108,1366,910,367,1.0,0.45467291932647175,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,learned_D,0.7,0.47085818601376983,1366,965,391,1.0,0.4550675291333164,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,learned_D,0.75,0.4730381903841554,1366,1027,420,1.0,0.457331277761272,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,learned_D,0.8,0.4752892482094435,1366,1090,452,1.0,0.46166907879322616,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,learned_D,0.85,0.4782051288831536,1366,1155,484,1.0,0.46471615512233533,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,learned_D,0.9,0.48184192025670913,1366,1236,526,1.0,0.4697444054304235,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,learned_D,0.95,0.48708095685183683,1366,1305,561,1.0,0.472894290945429,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,Text,learned_D,1.0,Infinity,1366,1366,598,1.0,0.4798483993108848,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,C2C,learned_D,0.05,0.4447417165968038,1366,64,17,0.9999999985146892,0.46210524618567456,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,C2C,learned_D,0.1,0.45056716940287744,1366,131,44,1.0,0.47316668311917154,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,C2C,learned_D,0.15,0.453528789054859,1366,182,66,1.0,0.4790334789277892,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,C2C,learned_D,0.2,0.4564694443379491,1366,244,91,1.0,0.4731678750366319,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,C2C,learned_D,0.25,0.45907356929815046,1366,319,112,1.0,0.4377478156180428,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,C2C,learned_D,0.3,0.46173175557359913,1366,390,147,1.0,0.4556681785879311,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,C2C,learned_D,0.35,0.46452163641035255,1366,458,174,1.0,0.45246630483891404,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
small,OBQA,C2C,learned_D,0.4,0.4666502765982138,1366,508,190,1.0,0.4426822768671437,False,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
