pair,task,reference,arm,first_request_id,first_request_attempt,first_request_latency_ms,arm_median_latency_ms,first_request_is_global_cold_after_load,first_request_in_primary_units,source,label
large,OBQA,Text,fixed_Text,9-782,2,1357.112952042371,1012.7124094869941,False,True,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,Text,policy_Text,9-782,1,2827.9454100411385,296.86394752934575,True,True,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,C2C,fixed_C2C,9-782,4,727.9558340087533,353.751722490415,False,True,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,C2C,policy_C2C,9-782,3,298.2200619298965,296.6000174637884,False,True,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,Text,fixed_Text,Mercury_7207358,514,1069.547891849652,1076.161289587617,False,True,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,Text,policy_Text,Mercury_7207358,513,296.02043284103274,335.2771765785292,False,True,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,C2C,fixed_C2C,Mercury_7207358,516,233.32175984978676,400.59922100044787,False,True,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,C2C,policy_C2C,Mercury_7207358,515,294.0018658991903,334.5944370375946,False,True,$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,C2C,fixed_C2C,9-782,1,3269.2359229549766,388.2481310283765,True,True,$DATA_DIR/P2_MEDIUM_PAIR_E2E_STAGE2_20260915T205303Z/records/e2e_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,C2C,policy_C2C,9-782,2,813.7545411009341,334.5956535777077,False,True,$DATA_DIR/P2_MEDIUM_PAIR_E2E_STAGE2_20260915T205303Z/records/e2e_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,C2C,fixed_C2C,Mercury_7207358,257,342.3482929356396,412.4458124861121,False,True,$DATA_DIR/P2_MEDIUM_PAIR_E2E_STAGE2_20260915T205303Z/records/e2e_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,C2C,policy_C2C,Mercury_7207358,258,256.1098930891603,287.7930924296379,False,True,$DATA_DIR/P2_MEDIUM_PAIR_E2E_STAGE2_20260915T205303Z/records/e2e_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,Text,fixed_Text,test:3074,1,5232.788305031136,1273.1016781181097,True,True,$DATA_DIR/P2_MMLU_PRO_E2E_STAGE2_20260916T212147Z/records/four_arm_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,Text,policy_Text,test:3074,2,1806.6085851751268,1170.6022474681959,False,True,$DATA_DIR/P2_MMLU_PRO_E2E_STAGE2_20260916T212147Z/records/four_arm_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,C2C,fixed_C2C,test:3074,3,1179.218609817326,250.89407549239695,False,True,$DATA_DIR/P2_MMLU_PRO_E2E_STAGE2_20260916T212147Z/records/four_arm_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
