pair,task,reference,population,N,fixed_first_id,fixed_first_ms,fixed_first_global_cold,policy_first_id,policy_first_ms,policy_first_global_cold,i_mean_ms,i_CI_low,i_CI_high,i_reproduces_paper,paper_value,ii_excluded_ids,ii_N,ii_mean_ms,ii_CI_low,ii_CI_high,iii_trim_per_tail,iii_trimmed_mean_ms,iii_CI_low,iii_CI_high,bootstrap,source,label
large,OBQA,Text,dev panel 128 (P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z),128,9-782,1357.112952042371,False,9-782,2827.9454100411385,True,517.1262959393061,447.76240365922604,583.5989186702591,True,"517.1 [447.8, 583.6]",9-782,127,532.7795144742516,470.88955374958005,594.6754332465454,0.05,533.3224663105473,464.42190189459484,597.7695386790056,"seed 0, 2000 resamples; (i),(iii) paper indices $DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/summary/obqa_bootstrap_indices.npz; (ii) default_rng(0).integers(0,N_ii,(2000,N_ii)) over remaining units",$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,OBQA,C2C,dev panel 128 (P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z),128,9-782,727.9558340087533,False,9-782,298.2200619298965,False,36.57528850817471,18.015153644773818,56.77256611406846,True,"36.6 [18.0, 56.8]",9-782,127,33.479536669035475,16.509498729724367,51.660851873897414,0.05,26.475094395272176,8.565999520892388,47.64084164354276,"seed 0, 2000 resamples; (i),(iii) paper indices $DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/summary/obqa_bootstrap_indices.npz; (ii) default_rng(0).integers(0,N_ii,(2000,N_ii)) over remaining units",$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,Text,dev panel 128 (P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z),128,Mercury_7207358,1069.547891849652,False,Mercury_7207358,296.02043284103274,False,717.6287613056047,670.6139493022874,763.2107882986928,True,"717.6 [670.6, 763.2]",Mercury_7207358,127,717.1886140795967,670.0745990229441,761.8162001948803,0.05,730.4870590631818,682.5359791372241,771.928898730528,"seed 0, 2000 resamples; (i),(iii) paper indices $DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/summary/arc_bootstrap_indices.npz; (ii) default_rng(0).integers(0,N_ii,(2000,N_ii)) over remaining units",$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC,C2C,dev panel 128 (P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z),128,Mercury_7207358,233.32175984978676,False,Mercury_7207358,294.0018658991903,False,110.93494467604614,81.95591963353763,142.82876717547876,True,"110.9 [82.0, 142.8]",Mercury_7207358,127,112.28624428805756,83.65769789647678,142.2773511344695,0.05,100.68728252924208,70.9291671929632,133.45756560001033,"seed 0, 2000 resamples; (i),(iii) paper indices $DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/summary/arc_bootstrap_indices.npz; (ii) default_rng(0).integers(0,N_ii,(2000,N_ii)) over remaining units",$DATA_DIR/P2_FROZEN_POLICY_E2E_VALIDATION_20260914T174120Z/records/e2e_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,OBQA,C2C,dev panel 128 (P2_MEDIUM_PAIR_E2E_STAGE2_20260915T205303Z),128,9-782,3269.2359229549766,True,9-782,813.7545411009341,False,79.6591089656431,48.086896885524766,129.10239917268876,True,"79.7 [48.1, 129.1]",9-782,127,60.95184697439586,43.88330563230029,79.85201105246261,0.05,56.21253060787146,38.319107249041956,76.11208224402145,"seed 0, 2000 resamples; (i),(iii) paper indices $DATA_DIR/P2_MEDIUM_PAIR_E2E_STAGE2_20260915T205303Z/summary/obqa_bootstrap_indices.npz; (ii) default_rng(0).integers(0,N_ii,(2000,N_ii)) over remaining units",$DATA_DIR/P2_MEDIUM_PAIR_E2E_STAGE2_20260915T205303Z/records/e2e_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
medium,ARC,C2C,dev panel 128 (P2_MEDIUM_PAIR_E2E_STAGE2_20260915T205303Z),128,Mercury_7207358,342.3482929356396,False,Mercury_7207358,256.1098930891603,False,100.66012487186526,74.4974185454339,133.12655095660375,True,"100.7 [74.5, 133.1]",Mercury_7207358,127,100.77368176182894,73.02306202427286,132.7602810551335,0.05,82.35141257795601,59.13626811866536,109.53355703441676,"seed 0, 2000 resamples; (i),(iii) paper indices $DATA_DIR/P2_MEDIUM_PAIR_E2E_STAGE2_20260915T205303Z/summary/arc_bootstrap_indices.npz; (ii) default_rng(0).integers(0,N_ii,(2000,N_ii)) over remaining units",$DATA_DIR/P2_MEDIUM_PAIR_E2E_STAGE2_20260915T205303Z/records/e2e_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,Text,dev panel 128 (P2_MMLU_PRO_E2E_STAGE2_20260916T212147Z),128,test:3074,5232.788305031136,True,test:3074,1806.6085851751268,False,346.3156871330284,249.8286115142946,442.9725224629692,True,"346.3 [249.8, 443.0]",test:3074,127,322.06478923757186,234.7740560087126,412.52088865263397,0.05,292.4187759234538,201.5817196549976,387.95679926602287,"seed 0, 2000 resamples; (i),(iii) paper indices $DATA_DIR/P2_MMLU_PRO_E2E_STAGE2_20260916T212147Z/protocol/bootstrap_indices.npz; (ii) default_rng(0).integers(0,N_ii,(2000,N_ii)) over remaining units",$DATA_DIR/P2_MMLU_PRO_E2E_STAGE2_20260916T212147Z/records/four_arm_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,MMLU-Pro,C2C,dev panel 128 (P2_MMLU_PRO_E2E_STAGE2_20260916T212147Z),128,test:3074,1179.218609817326,False,test:3074,946.8623101711273,False,8.242936348324292,-20.510967994323437,44.02031206291207,True,"8.2 [-20.5, 44.0]",test:3074,127,6.478264196372525,-23.327103508480523,41.14445305060902,0.05,-23.31721300363605,-38.95946603829387,-0.36758662398170394,"seed 0, 2000 resamples; (i),(iii) paper indices $DATA_DIR/P2_MMLU_PRO_E2E_STAGE2_20260916T212147Z/protocol/bootstrap_indices.npz; (ii) default_rng(0).integers(0,N_ii,(2000,N_ii)) over remaining units",$DATA_DIR/P2_MMLU_PRO_E2E_STAGE2_20260916T212147Z/records/four_arm_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC-sealed-test,Text,sealed test 1172 (P2_FINAL_SEALED_ARC_CONFIRMATION_20260914T211958Z),1172,Mercury_7175875,1159.9200849886984,False,Mercury_7175875,2925.4032960161567,True,685.6329437540352,669.6143680759515,700.8016402741581,True,"685.6 [669.6, 700.8]",Mercury_7175875,1171,687.7261257820296,672.0351287719227,703.2173790604945,0.05,700.8316429635285,684.4998582039393,716.7640806216943,"seed 0, 2000 resamples; (i),(iii) paper indices $DATA_DIR/P2_FINAL_SEALED_ARC_CONFIRMATION_20260914T211958Z/summary/paired_bootstrap_indices.npz; (ii) default_rng(0).integers(0,N_ii,(2000,N_ii)) over remaining units",$DATA_DIR/P2_FINAL_SEALED_ARC_CONFIRMATION_20260914T211958Z/records/e2e_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
large,ARC-sealed-test,C2C,sealed test 1172 (P2_FINAL_SEALED_ARC_CONFIRMATION_20260914T211958Z),1172,Mercury_7175875,794.3865221459419,False,Mercury_7175875,325.54889703169465,False,90.92630879077807,80.98003717553372,100.9846724776852,True,"90.9 [81.0, 101.0]",Mercury_7175875,1171,90.60358349929773,80.9500456348926,100.23288314569149,0.05,77.95546524545044,68.19305466672658,87.84745158420372,"seed 0, 2000 resamples; (i),(iii) paper indices $DATA_DIR/P2_FINAL_SEALED_ARC_CONFIRMATION_20260914T211958Z/summary/paired_bootstrap_indices.npz; (ii) default_rng(0).integers(0,N_ii,(2000,N_ii)) over remaining units",$DATA_DIR/P2_FINAL_SEALED_ARC_CONFIRMATION_20260914T211958Z/records/e2e_requests.jsonl,POST-HOC sensitivity analysis (reviewer R1); does not change any primary decision
