pair,task,reference,arm,setting,N,deployed_q,q_A,omitted,coverage,a_mean_saving_ms,a_CI_low,a_CI_high,a_class,a_median_saving_ms,b_N,b_excluded_ids,b_mean_saving_ms,b_CI_low,b_CI_high,b_class,b_median_saving_ms,mean_probe_ms,mean_selector_ms,mean_arm_latency_ms,mean_fixed_latency_ms,changed_on_omitted,changed_over_omitted,correct_arm,correct_fixed,accuracy_diff_answers,invalid_arm,invalid_fixed,label
large,OBQA,Text,ORIGINAL,large/obqa/T,128,0.8,0.8,97,0.757812,436.25286648057227,378.64138320919665,503.18541468295734,+,521.4554456761107,127,9-782,414.99265066282015,366.70262822047187,462.9337855182518,+,520.9986502304673,33.80994104009005,0.000480506059830077,375.1650427129789,811.4179091935512,3,3/97,112,113,-1,0,0,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
large,OBQA,Text,REUSE,large/obqa/T,128,0.8,0.8,97,0.757812,437.77201007833355,378.12017647052016,506.01520048403455,+,521.6708580264822,127,9-782,414.83686974008134,366.84461912808496,462.83013841694617,+,521.4454969391227,33.47935149213299,0.0006122791091911495,373.6458991152176,811.4179091935512,3,3/97,112,113,-1,0,0,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
large,OBQA,Text,ARGMAX,large/obqa/T,128,0.8,0.8,97,0.757812,589.7357979283697,518.0001622493819,670.2685021023626,+,716.1866499809548,127,9-782,566.4617408169654,503.81708447463944,627.0120825764712,+,715.9532711375505,32.07055965867767,0.0005248057277640328,221.68211126518145,811.4179091935512,3,3/97,112,113,-1,0,0,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
large,OBQA,C2C,ORIGINAL,large/obqa/C,128,0.8,0.8,97,0.757812,31.186309879558394,16.719751236723823,47.29291470548559,+,6.950795999728143,127,9-782,28.383665556806747,14.889773510544979,42.75378753333975,+,2.4609691463410854,32.002909063521656,0.0004751473170472309,250.1442724824301,281.3305823619885,2,2/97,102,101,1,0,0,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
large,OBQA,C2C,REUSE,large/obqa/C,128,0.8,0.8,97,0.757812,30.962320361140883,16.50862757815048,47.00421582656417,+,15.334195923060179,127,9-782,28.15615234705876,14.687509148878478,42.72078796089114,+,15.02267294563353,33.42428037831269,0.0006030259100953117,250.3682620008476,281.3305823619885,2,2/97,102,101,1,0,0,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
large,OBQA,C2C,ARGMAX,large/obqa/C,128,0.8,0.8,97,0.757812,182.94555158172443,158.16765778354238,208.14383480665126,+,210.3655185783282,127,9-782,179.79120334251013,155.61382598500316,204.0212580292966,+,210.35957196727395,31.955597607520758,0.0005207493813941255,98.38503078026406,281.3305823619885,2,2/97,102,101,1,0,0,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
large,ARC,Text,ORIGINAL,large/arc/T,128,0.95,0.95,120,0.9375,565.6029762103572,528.6146406650914,601.4123463924989,+,592.2024649335071,127,Mercury_7207358,565.1508395809416,528.3543840051155,600.899671611521,+,590.4492158442736,31.990093331842218,0.00050381277105771,285.3636364288832,850.9666126392403,3,3/120,117,117,0,0,0,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
large,ARC,Text,REUSE,large/arc/T,128,0.95,0.95,120,0.9375,564.3552075107436,527.4919310694713,599.558543113335,+,588.9067659154534,127,Mercury_7207358,563.9012711210631,527.2728402505804,599.7598429007903,+,588.2016739342362,33.284183798969025,0.0006290047167567536,286.6114051284967,850.9666126392403,3,3/120,117,117,0,0,0,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
large,ARC,Text,ARGMAX,large/arc/T,128,0.95,0.95,120,0.9375,762.7266889230668,717.4235004620186,804.3040688278325,+,794.5661570411175,127,Mercury_7207358,762.3063692049394,717.6717100394101,803.6917364097835,+,793.1140610016882,31.910162906569894,0.0005498550308402628,88.23992371617351,850.9666126392403,3,3/120,117,117,0,0,0,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
large,ARC,C2C,ORIGINAL,large/arc/C,128,0.9,0.9,115,0.898438,91.89105904988537,69.52371724387376,116.5785158016206,+,49.22424769029021,127,Mercury_7207358,92.93765395762414,70.83932089992418,116.11149391699324,+,49.303901148959994,31.918961631163256,0.0004827033990295604,252.01818196001113,343.9092410098965,3,3/115,115,114,1,0,0,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
large,ARC,C2C,REUSE,large/arc/C,128,0.9,0.9,115,0.898438,90.51188493504014,68.29235213190259,115.04676907266001,+,48.641515080817044,127,Mercury_7207358,91.55364629746539,69.62116316852791,114.70369201778675,+,48.97181806154549,33.34607003853307,0.0006157642928883433,253.39735607485636,343.9092410098965,3,3/115,115,114,1,0,0,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
large,ARC,C2C,ARGMAX,large/arc/C,128,0.9,0.9,115,0.898438,280.77692806073173,252.65429243199833,310.411216964485,+,251.71515170950443,127,Mercury_7207358,281.78774595157955,253.24816707041347,310.4109526945069,+,251.9622801337391,31.893095681880368,0.0005454985512187704,63.13231294916477,343.9092410098965,3,3/115,115,114,1,0,0,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
medium,OBQA,C2C,ORIGINAL,medium/obqa/C,128,0.55,0.5,66,0.515625,50.14907903932908,36.0291775911719,65.57507595052812,+,60.32908207271248,127,9-782,47.60865964486784,34.23531193535511,62.19670623669209,+,60.03822083584964,26.394942151455325,0.0004403282218845561,259.4506614805141,309.5997405198432,1,1/66,94,93,1,3,3,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
medium,OBQA,C2C,REUSE,medium/obqa/C,128,0.55,0.5,66,0.515625,49.85302418754145,35.744671745987944,65.62807606537717,+,60.751489480026066,127,9-782,47.03989902357241,33.65552691943525,62.132670531254696,+,60.596670024096966,26.186994602539926,0.0006028458301443607,259.74671633230173,309.5997405198432,1,1/66,94,93,1,3,3,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
medium,OBQA,C2C,ARGMAX,medium/obqa/C,128,0.55,0.5,61,0.476562,125.23141846941144,98.33765873959237,154.92561153778297,+,-17.979401513002813,127,9-782,122.98987529196549,95.74626024531047,151.9182881796879,+,-20.712530007585883,26.163285318034468,0.000497524524689652,184.36832205043174,309.5997405198432,0,0/61,93,93,0,3,3,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
medium,ARC,C2C,ORIGINAL,medium/arc/C,128,0.6,0.6,77,0.601562,77.85296541260323,57.35753570579618,102.9885554309203,+,62.011683359742165,127,Mercury_7207358,77.96635823580986,56.373966870853295,102.84800643149914,+,61.975701712071896,26.287159400453675,0.00043457475840114057,276.47305589925963,354.32602131186286,1,1/77,85,85,0,3,3,POST-HOC analysis of completed E6/E7 records; changes no frozen decision
