setting,q,threshold,N,n,k,p,CP,accepted
obqa/Text,0.05,0.00014084577560424805,1366,65,1,0.15760138468668727,0.13339433881256169,False
obqa/Text,0.1,0.0004979372024536133,1366,142,4,0.15717341173679733,0.10029755210964254,False
obqa/Text,0.15,0.0009494423866271973,1366,216,8,0.24350383167993112,0.09499648849788762,False
obqa/Text,0.2,0.0018350481986999512,1366,282,15,0.6617841578763639,0.10762215816642391,False
obqa/Text,0.25,0.0032129883766174316,1366,375,32,0.9986358750265103,0.13887866821932388,False
obqa/Text,0.3,0.00520014762878418,1366,447,45,0.9999959765350982,0.1518578368612351,False
obqa/Text,0.35,0.0075501203536987305,1366,506,57,0.9999999940789103,0.16224753779252524,False
obqa/Text,0.4,0.011367261409759521,1366,572,74,0.9999999999999453,0.1779517856443394,False
obqa/Text,0.45,0.01766204833984375,1366,642,91,1.0,0.1887819503190365,False
obqa/Text,0.5,0.023335695266723633,1366,703,105,1.0,0.19492992135610845,False
obqa/Text,0.55,0.033761560916900635,1366,790,133,1.0,0.21289729569342272,False
obqa/Text,0.6,0.047892868518829346,1366,868,154,1.0,0.22051166296650648,False
obqa/Text,0.65,0.06818485260009766,1366,935,175,1.0,0.22931479669682886,False
obqa/Text,0.7,0.09768414497375488,1366,1007,200,1.0,0.23991455036521078,False
obqa/Text,0.75,0.1333599090576172,1366,1064,220,1.0,0.24740266495487442,False
obqa/Text,0.8,0.1825515627861023,1366,1110,241,1.0,0.25746597536322663,False
obqa/Text,0.85,0.23033851385116577,1366,1180,275,1.0,0.27297166159513625,False
obqa/Text,0.9,0.3213103413581848,1366,1243,308,1.0,0.2873381664821031,False
obqa/Text,0.95,0.43785351514816284,1366,1313,340,1.0,0.2978669864085572,False
obqa/Text,1.0,Infinity,1366,1366,372,1.0,0.3109792502335352,False
obqa/C2C,0.05,0.00014084577560424805,1366,65,11,0.999917905223661,0.3509448600364489,False
obqa/C2C,0.1,0.0004979372024536133,1366,142,29,0.9999999999811062,0.3249620571087841,False
obqa/C2C,0.15,0.0009494423866271973,1366,216,50,1.0,0.3300439202204117,False
obqa/C2C,0.2,0.0018350481986999512,1366,282,81,1.0,0.37668338480996644,False
obqa/C2C,0.25,0.0032129883766174316,1366,375,125,1.0,0.41239995733171086,False
obqa/C2C,0.3,0.00520014762878418,1366,447,169,1.0,0.4515042608467895,False
obqa/C2C,0.35,0.0075501203536987305,1366,506,211,1.0,0.48647452232324434,False
obqa/C2C,0.4,0.011367261409759521,1366,572,255,1.0,0.5112420372763746,False
obqa/C2C,0.45,0.01766204833984375,1366,642,298,1.0,0.5258996095751236,False
obqa/C2C,0.5,0.023335695266723633,1366,703,336,1.0,0.5368698334497078,False
obqa/C2C,0.55,0.033761560916900635,1366,790,398,1.0,0.5591806249906812,False
obqa/C2C,0.6,0.047892868518829346,1366,868,451,1.0,0.5722496326022515,False
obqa/C2C,0.65,0.06818485260009766,1366,935,497,1.0,0.5821414491499439,False
obqa/C2C,0.7,0.09768414497375488,1366,1007,552,1.0,0.5966703282032582,False
obqa/C2C,0.75,0.1333599090576172,1366,1064,592,1.0,0.6034496339887183,False
obqa/C2C,0.8,0.1825515627861023,1366,1110,627,1.0,0.6107934809862889,False
obqa/C2C,0.85,0.23033851385116577,1366,1180,671,1.0,0.6131272092734663,False
obqa/C2C,0.9,0.3213103413581848,1366,1243,718,1.0,0.6208152852376722,False
obqa/C2C,0.95,0.43785351514816284,1366,1313,761,1.0,0.6215714328449582,False
obqa/C2C,1.0,Infinity,1366,1366,799,1.0,0.6259830965777339,False
arc/Text,0.05,0.00011157989501953125,448,18,2,0.9418710709147786,0.4849202413772733,False
arc/Text,0.1,0.0004367232322692871,448,33,2,0.7728068695765471,0.2962538778877184,False
arc/Text,0.15,0.0012328028678894043,448,50,6,0.9882135522027358,0.319840774455716,False
arc/Text,0.2,0.002542734146118164,448,78,11,0.999514908094946,0.2982301152060528,False
arc/Text,0.25,0.004671871662139893,448,108,19,0.9999996081505654,0.31227521169064126,False
arc/Text,0.3,0.006744503974914551,448,128,23,0.9999999778706734,0.30399228394445915,False
arc/Text,0.35,0.009816467761993408,448,140,30,0.9999999999976038,0.3372859381115359,False
arc/Text,0.4,0.014494717121124268,448,163,39,1.0,0.3550479694404953,False
arc/Text,0.45,0.02129054069519043,448,182,41,0.9999999999999999,0.33285206553526564,False
arc/Text,0.5,0.02968961000442505,448,206,45,1.0,0.31823144441348783,False
arc/Text,0.55,0.04347580671310425,448,234,54,1.0,0.32505886807770734,False
arc/Text,0.6,0.06113743782043457,448,263,63,1.0,0.32882550931187843,False
arc/Text,0.65,0.0874868631362915,448,289,78,1.0,0.35707382327836784,False
arc/Text,0.7,0.1193498969078064,448,315,87,1.0,0.3598684858955521,False
arc/Text,0.75,0.1509310007095337,448,341,94,1.0,0.35585499696532963,False
arc/Text,0.8,0.22326356172561646,448,362,108,1.0,0.3773168168227725,False
arc/Text,0.85,0.272111713886261,448,378,121,1.0,0.3983178979705168,False
arc/Text,0.9,0.34250950813293457,448,392,128,1.0,0.40353184368839334,False
arc/Text,0.95,0.43796151876449585,448,422,143,1.0,0.4134105146097787,False
arc/Text,1.0,Infinity,448,448,160,1.0,0.4299752980211054,False
arc/C2C,0.05,0.00011157989501953125,448,18,1,0.7735226201554786,0.41051258816456404,False
arc/C2C,0.1,0.0004367232322692871,448,33,1,0.503649859592104,0.24741560682467237,False
arc/C2C,0.15,0.0012328028678894043,448,50,8,0.9992440153087785,0.3700981334825494,False
arc/C2C,0.2,0.002542734146118164,448,78,18,0.9999999926650543,0.40361631252909247,False
arc/C2C,0.25,0.004671871662139893,448,108,34,1.0,0.46587221913645865,False
arc/C2C,0.3,0.006744503974914551,448,128,46,1.0,0.4990634665265531,False
arc/C2C,0.35,0.009816467761993408,448,140,54,1.0,0.5195029196764813,False
arc/C2C,0.4,0.014494717121124268,448,163,69,1.0,0.5471602054846405,False
arc/C2C,0.45,0.02129054069519043,448,182,79,1.0,0.5510979323888239,False
arc/C2C,0.5,0.02968961000442505,448,206,97,1.0,0.5802965491742008,False
arc/C2C,0.55,0.04347580671310425,448,234,117,1.0,0.6019561724654845,False
arc/C2C,0.6,0.06113743782043457,448,263,136,1.0,0.6127949612579957,False
arc/C2C,0.65,0.0874868631362915,448,289,154,1.0,0.623661855966187,False
arc/C2C,0.7,0.1193498969078064,448,315,176,1.0,0.6447570248038808,False
arc/C2C,0.75,0.1509310007095337,448,341,196,1.0,0.6568295466646412,False
arc/C2C,0.8,0.22326356172561646,448,362,210,1.0,0.6595490279641743,False
arc/C2C,0.85,0.272111713886261,448,378,225,1.0,0.6723104183215638,False
arc/C2C,0.9,0.34250950813293457,448,392,234,1.0,0.6725682878087526,False
arc/C2C,0.95,0.43796151876449585,448,422,253,1.0,0.6723499505956119,False
arc/C2C,1.0,Infinity,448,448,273,1.0,0.6796399164466802,False
