setting,seed,q,N_cal,n,k,dev_coverage,dev_changed,dev_omitted,label
obqa/Text,1,0.65,1366,928,21,0.6509433962264151,9,483,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,2,0.5,1366,645,12,0.4919137466307278,6,365,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,3,0.6,1366,841,18,0.5970350404312669,7,443,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,4,0.55,1366,785,21,0.5566037735849056,7,413,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,5,0.65,1366,903,21,0.6442048517520216,9,478,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,6,0.6,1366,819,19,0.5916442048517521,7,439,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,7,0.65,1366,873,24,0.628032345013477,9,466,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,8,0.6,1366,782,20,0.5849056603773585,7,434,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,9,0.6,1366,815,20,0.5916442048517521,7,439,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,10,0.6,1366,836,21,0.5929919137466307,7,440,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,11,0.6,1366,807,18,0.5902964959568733,7,438,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,12,0.65,1366,872,22,0.6253369272237197,9,464,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,13,0.6,1366,807,19,0.5902964959568733,7,438,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,14,0.6,1366,807,22,0.5902964959568733,7,438,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,15,0.55,1366,755,20,0.5498652291105122,7,408,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,16,0.6,1366,827,19,0.5916442048517521,7,439,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,17,0.6,1366,784,20,0.5862533692722371,7,435,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,18,0.6,1366,841,17,0.5970350404312669,7,443,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,19,0.7,1366,958,26,0.6900269541778976,13,512,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,20,0.6,1366,847,19,0.5997304582210242,7,445,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,21,0.65,1366,887,25,0.6347708894878706,9,471,"DIAGNOSTIC (descriptive, not deployable)"
