setting,q,threshold,N,n,k,p,CP999,accepted,label
obqa/Text,0.05,0.00026088953018188477,1366,49,4,0.902967253571293,0.2704037372793975,False,E13-5 style post hoc family
obqa/Text,0.1,0.0005782842636108398,1366,111,9,0.9482828726731959,0.19182966205787955,False,E13-5 style post hoc family
obqa/Text,0.15,0.0012158751487731934,1366,191,13,0.9005903567244544,0.14297341647885148,False,E13-5 style post hoc family
obqa/Text,0.2,0.002199709415435791,1366,254,20,0.9825650950091944,0.1444755083982459,False,E13-5 style post hoc family
obqa/Text,0.25,0.003865182399749756,1366,321,23,0.9660624386072519,0.1270298041370873,False,E13-5 style post hoc family
obqa/Text,0.3,0.006706178188323975,1366,393,33,0.9984491049116027,0.13578396483853294,False,E13-5 style post hoc family
obqa/Text,0.35,0.010831654071807861,1366,455,38,0.9991136707614454,0.13101176277127682,False,E13-5 style post hoc family
obqa/Text,0.4,0.01669687032699585,1366,526,41,0.9977632550917639,0.12057247120128115,False,E13-5 style post hoc family
obqa/Text,0.45,0.028030097484588623,1366,591,51,0.9999252069977906,0.12764477362346666,False,E13-5 style post hoc family
obqa/Text,0.5,0.04769003391265869,1366,674,64,0.9999994859962755,0.1346960224356117,False,E13-5 style post hoc family
obqa/Text,0.55,0.06844645738601685,1366,726,72,0.9999999793051693,0.13790265393733286,False,E13-5 style post hoc family
obqa/Text,0.6,0.0972546935081482,1366,787,84,0.9999999999522825,0.14477204933349508,False,E13-5 style post hoc family
obqa/Text,0.65,0.13543057441711426,1366,863,99,0.9999999999999857,0.15183423309204744,False,E13-5 style post hoc family
obqa/Text,0.7,0.18428069353103638,1366,927,116,1.0,0.16197605550298594,False,E13-5 style post hoc family
obqa/Text,0.75,0.24350953102111816,1366,994,144,1.0,0.18225517763158613,False,E13-5 style post hoc family
obqa/Text,0.8,0.3127708435058594,1366,1071,170,1.0,0.19581942018987067,False,E13-5 style post hoc family
obqa/Text,0.85,0.3932998776435852,1366,1140,206,1.0,0.2182033106992681,False,E13-5 style post hoc family
obqa/Text,0.9,0.46483469009399414,1366,1208,239,1.0,0.23532243996621194,False,E13-5 style post hoc family
obqa/Text,0.95,0.5346378087997437,1366,1274,275,1.0,0.2533221994678425,False,E13-5 style post hoc family
obqa/Text,1.0,Infinity,1366,1366,333,1.0,0.28125549491209895,False,E13-5 style post hoc family
arc/Text,0.05,0.00025004148483276367,448,19,0,0.37735360253530764,0.3048072038224393,False,E13-5 style post hoc family
arc/Text,0.1,0.0005946159362792969,448,47,3,0.79264352214185,0.2497851834116297,False,E13-5 style post hoc family
arc/Text,0.15,0.0010211467742919922,448,68,6,0.946901290170157,0.24293092455639198,False,E13-5 style post hoc family
arc/Text,0.2,0.00157243013381958,448,94,8,0.9542439567672872,0.2097222691055744,False,E13-5 style post hoc family
arc/Text,0.25,0.0023857951164245605,448,111,12,0.9962738346614394,0.22730478017622832,False,E13-5 style post hoc family
arc/Text,0.3,0.003396153450012207,448,125,14,0.9984915570237297,0.22389427094146605,False,E13-5 style post hoc family
arc/Text,0.35,0.005503296852111816,448,150,15,0.9963968559718144,0.1971438617702385,False,E13-5 style post hoc family
arc/Text,0.4,0.008607208728790283,448,176,16,0.9925388290492113,0.17668861379764775,False,E13-5 style post hoc family
arc/Text,0.45,0.013643205165863037,448,196,18,0.9953017982931808,0.1724369741602963,False,E13-5 style post hoc family
arc/Text,0.5,0.0194246768951416,448,207,22,0.9996854557424193,0.18777289366333585,False,E13-5 style post hoc family
arc/Text,0.55,0.029173076152801514,448,229,25,0.9999060951587366,0.18657401409319724,False,E13-5 style post hoc family
arc/Text,0.6,0.045497894287109375,448,251,27,0.9999292899599805,0.18058730187664707,False,E13-5 style post hoc family
arc/Text,0.65,0.0699416995048523,448,269,28,0.9999022469548748,0.1734880410712423,False,E13-5 style post hoc family
arc/Text,0.7,0.11429524421691895,448,297,38,0.9999999517091394,0.19788876664083943,False,E13-5 style post hoc family
arc/Text,0.75,0.17697936296463013,448,320,45,0.999999999831743,0.20967924851834896,False,E13-5 style post hoc family
arc/Text,0.8,0.2420368790626526,448,339,50,0.9999999999967765,0.2153441020201248,False,E13-5 style post hoc family
arc/Text,0.85,0.336806058883667,448,368,58,0.999999999999996,0.22377270104017086,False,E13-5 style post hoc family
arc/Text,0.9,0.4400429129600525,448,400,69,1.0,0.23746230512720515,False,E13-5 style post hoc family
arc/Text,0.95,0.5464634895324707,448,433,79,1.0,0.24571780579651384,False,E13-5 style post hoc family
arc/Text,1.0,Infinity,448,448,87,1.0,0.25747090273856227,False,E13-5 style post hoc family
