setting,q,threshold,N,n,k,p,CP999,accepted,label
obqa/Text,0.05,0.00026088953018188477,1260,45,0,0.09944025698709247,0.14230410140910585,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.1,0.0005782842636108398,1260,101,0,0.005624502759317329,0.06610719451106253,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.15,0.0012158751487731934,1260,174,0,0.0001330170525321587,0.038922033762407895,True,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.2,0.002199709415435791,1260,230,2,0.0006474516655852427,0.0478527323661317,True,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.25,0.003865182399749756,1260,291,2,4.3860295924901395e-05,0.03798076470741425,True,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.3,0.006706178188323975,1260,353,4,8.395244734426474e-05,0.04127380803733718,True,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.35,0.010831654071807861,1260,412,6,0.0001256267839872599,0.04320124918062049,True,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.4,0.01669687032699585,1260,478,6,9.958801771886639e-06,0.03731170106326491,True,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.45,0.028030097484588623,1260,537,12,0.0008855920714611209,0.049626382023268634,True,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.5,0.04769003391265869,1260,611,18,0.008760558066532512,0.05703871888084896,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.55,0.06844645738601685,1260,660,24,0.05945946792709059,0.06469159253460799,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.6,0.0972546935081482,1260,717,32,0.2889039395907776,0.07366716673810014,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.65,0.13543057441711426,1260,792,46,0.8686169605547398,0.08829673624389038,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.7,0.18428069353103638,1260,854,61,0.9974400917530213,0.10271794348283955,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.75,0.24350953102111816,1260,915,83,0.9999998899707225,0.12365335401079035,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.8,0.3127708435058594,1260,991,108,0.9999999999999677,0.14274669304206555,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.85,0.3932998776435852,1260,1052,136,1.0,0.1640848941924395,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.9,0.46483469009399414,1260,1116,166,1.0,0.18420841928396556,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,0.95,0.5346378087997437,1260,1177,196,1.0,0.20238532546236143,False,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,1.0,Infinity,1260,1260,248,1.0,0.2334158113724673,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.05,0.00025004148483276367,386,19,0,0.37735360253530764,0.3048072038224393,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.1,0.0005946159362792969,386,43,0,0.11018311023500552,0.14840606817461607,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.15,0.0010211467742919922,386,59,0,0.04849452524942324,0.1104865026891766,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.2,0.00157243013381958,386,80,0,0.01651537438501365,0.0827240646102204,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.25,0.0023857951164245605,386,92,0,0.008924249150467238,0.07233471591401204,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.3,0.003396153450012207,386,104,0,0.004822308053269692,0.06426290543698338,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.35,0.005503296852111816,386,126,0,0.0015601784194296114,0.05334773969181025,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.4,0.008607208728790283,386,151,0,0.0004327772257594776,0.044716117681517446,True,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.45,0.013643205165863037,386,168,1,0.0017809580673014886,0.05363396735850839,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.5,0.0194246768951416,386,175,2,0.006619698632725339,0.06249806174312245,False,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,0.55,0.029173076152801514,386,193,3,0.011768732041100533,0.06593974909217741,False,"DIAGNOSTIC (descriptive, not deployable)"
