setting,seed,q,N_cal,n,k,label
obqa/Text,1,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,2,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,3,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,4,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,5,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,6,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,7,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,8,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,9,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,10,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,11,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,12,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,13,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,14,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,15,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,16,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,17,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,18,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,19,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,20,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,21,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,22,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,23,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,24,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,25,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,26,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,27,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,28,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,29,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,30,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,31,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,32,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,33,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,34,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,35,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,36,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,37,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,38,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,39,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,40,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,41,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,42,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,43,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,44,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,45,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,46,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,47,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,48,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,49,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,50,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,51,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,52,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,53,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,54,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,55,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,56,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,57,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,58,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,59,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,60,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,61,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,62,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,63,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,64,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,65,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,66,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,67,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,68,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,69,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,70,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,71,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,72,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,73,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,74,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,75,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,76,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,77,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,78,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,79,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,80,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,81,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,82,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,83,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,84,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,85,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,86,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,87,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,88,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,89,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,90,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,91,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,92,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,93,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,94,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
obqa/Text,95,0.0,1366,0,0,"DIAGNOSTIC (descriptive, not deployable)"
