setting,q,threshold,N,n,k,p,CP999,accepted
large/obqa/Text sampled,0.05,0.0,1366,642,1,1.7378106481890661e-13,0.014290400585786074,True
large/obqa/Text sampled,0.1,0.0,1366,642,1,1.7378106481890661e-13,0.014290400585786074,True
large/obqa/Text sampled,0.15,0.0,1366,642,1,1.7378106481890661e-13,0.014290400585786074,True
large/obqa/Text sampled,0.2,0.0,1366,642,1,1.7378106481890661e-13,0.014290400585786074,True
large/obqa/Text sampled,0.25,0.0,1366,642,1,1.7378106481890661e-13,0.014290400585786074,True
large/obqa/Text sampled,0.3,0.0,1366,642,1,1.7378106481890661e-13,0.014290400585786074,True
large/obqa/Text sampled,0.35,0.0,1366,642,1,1.7378106481890661e-13,0.014290400585786074,True
large/obqa/Text sampled,0.4,0.0,1366,642,1,1.7378106481890661e-13,0.014290400585786074,True
large/obqa/Text sampled,0.45,0.0,1366,642,1,1.7378106481890661e-13,0.014290400585786074,True
large/obqa/Text sampled,0.5,1.1920928955078125e-07,1366,683,1,2.2532320678619448e-14,0.013437722498507833,True
large/obqa/Text sampled,0.55,3.5762786865234375e-07,1366,728,1,2.3842492305152782e-15,0.01261178588506713,True
large/obqa/Text sampled,0.6,1.7881393432617188e-06,1366,807,2,9.956079973330062e-16,0.01383503443046264,True
large/obqa/Text sampled,0.65,7.987022399902344e-06,1366,870,4,8.284684543850362e-15,0.016899601361964847,True
large/obqa/Text sampled,0.7,4.5418739318847656e-05,1366,932,8,1.6636519116978745e-12,0.022539993733984718,True
large/obqa/Text sampled,0.75,0.0002611875534057617,1366,999,13,2.568461338288297e-10,0.028254933030849024,True
large/obqa/Text sampled,0.8,0.001170039176940918,1366,1064,19,3.4363787810881016e-08,0.0342068347148866,True
large/obqa/Text sampled,0.85,0.008580565452575684,1366,1135,43,0.03164360120367716,0.05872054566393741,False
large/obqa/Text sampled,0.9,0.04792952537536621,1366,1217,68,0.842915015209294,0.0791696956591827,False
large/obqa/Text sampled,0.95,0.22272759675979614,1366,1297,103,0.9999975236240918,0.10522272972638322,False
large/obqa/Text sampled,1.0,Infinity,1366,1366,137,0.999999999999987,0.12776125508781214,False
large/arc/Text sampled,0.05,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.1,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.15,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.2,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.25,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.3,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.35,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.4,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.45,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.5,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.55,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.6,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.65,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.7,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.75,1.1920928955078125e-07,448,338,0,2.9551435872405092e-08,0.020229722779738363,True
large/arc/Text sampled,0.8,8.940696716308594e-07,448,359,1,2.0022232382237898e-07,0.02542693728168549,True
large/arc/Text sampled,0.85,3.457069396972656e-05,448,385,1,5.6391779624023226e-08,0.023728116359650362,True
large/arc/Text sampled,0.9,0.0007095932960510254,448,404,3,1.8395676690471413e-06,0.03193226928210504,True
large/arc/Text sampled,0.95,0.01800704002380371,448,422,4,4.801495832619201e-06,0.034611682349104694,True
large/arc/Text sampled,1.0,Infinity,448,448,13,0.02062832617754798,0.06240618292564066,False
