setting,q,threshold,N,n,k,p,CP999,accepted
large/obqa/Text sampled,0.05,0.0,1366,642,1,1.7378106481890661e-13,0.014290400585786074,True
large/obqa/Text sampled,0.1,0.0,1366,642,1,1.7378106481890661e-13,0.014290400585786074,True
large/obqa/Text sampled,0.15,0.0,1366,642,1,1.7378106481890661e-13,0.014290400585786074,True
large/obqa/Text sampled,0.2,0.0,1366,642,1,1.7378106481890661e-13,0.014290400585786074,True
large/obqa/Text sampled,0.25,0.0,1366,642,1,1.7378106481890661e-13,0.014290400585786074,True
large/obqa/Text sampled,0.3,0.0,1366,642,1,1.7378106481890661e-13,0.014290400585786074,True
large/obqa/Text sampled,0.35,0.0,1366,642,1,1.7378106481890661e-13,0.014290400585786074,True
large/obqa/Text sampled,0.4,0.0,1366,642,1,1.7378106481890661e-13,0.014290400585786074,True
large/obqa/Text sampled,0.45,0.0,1366,642,1,1.7378106481890661e-13,0.014290400585786074,True
large/obqa/Text sampled,0.5,1.1920928955078125e-07,1366,683,1,2.2532320678619448e-14,0.013437722498507833,True
large/obqa/Text sampled,0.55,3.5762786865234375e-07,1366,728,1,2.3842492305152782e-15,0.01261178588506713,True
large/obqa/Text sampled,0.6,1.7881393432617188e-06,1366,807,2,9.956079973330062e-16,0.01383503443046264,True
large/obqa/Text sampled,0.65,7.987022399902344e-06,1366,870,4,8.284684543850362e-15,0.016899601361964847,True
large/obqa/Text sampled,0.7,4.5418739318847656e-05,1366,932,8,1.6636519116978745e-12,0.022539993733984718,True
large/obqa/Text sampled,0.75,0.0002611875534057617,1366,999,12,6.271074729588066e-11,0.026850016141144115,True
large/obqa/Text sampled,0.8,0.001170039176940918,1366,1064,18,1.1550466704560778e-08,0.03295449557541666,True
large/obqa/Text sampled,0.85,0.008580565452575684,1366,1135,42,0.022446629250218845,0.05765106665201144,False
large/obqa/Text sampled,0.9,0.04792952537536621,1366,1217,67,0.8104583156546636,0.0782128545393063,False
large/obqa/Text sampled,0.95,0.22272759675979614,1366,1297,102,0.9999958419210573,0.10435341341322,False
large/obqa/Text sampled,1.0,Infinity,1366,1366,143,0.9999999999999999,0.1326098138082249,False
large/arc/Text sampled,0.05,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.1,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.15,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.2,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.25,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.3,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.35,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.4,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.45,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.5,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.55,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.6,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.65,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.7,0.0,448,321,0,7.067686831570697e-08,0.021289594699944462,True
large/arc/Text sampled,0.75,1.1920928955078125e-07,448,338,0,2.9551435872405092e-08,0.020229722779738363,True
large/arc/Text sampled,0.8,8.940696716308594e-07,448,359,0,1.0064085059855213e-08,0.019057719107777083,True
large/arc/Text sampled,0.85,3.457069396972656e-05,448,385,1,5.6391779624023226e-08,0.023728116359650362,True
large/arc/Text sampled,0.9,0.0007095932960510254,448,404,3,1.8395676690471413e-06,0.03193226928210504,True
large/arc/Text sampled,0.95,0.01800704002380371,448,422,4,4.801495832619201e-06,0.034611682349104694,True
large/arc/Text sampled,1.0,Infinity,448,448,12,0.010802134398183727,0.059318978439679634,False
