setting,seed,q
large/obqa/Text sampled,1,0.8
large/obqa/Text sampled,2,0.8
large/obqa/Text sampled,3,0.8
large/obqa/Text sampled,4,0.8
large/obqa/Text sampled,5,0.8
large/obqa/Text sampled,6,0.8
large/obqa/Text sampled,7,0.85
large/obqa/Text sampled,8,0.8
large/obqa/Text sampled,9,0.8
large/obqa/Text sampled,10,0.8
large/obqa/Text sampled,11,0.8
large/obqa/Text sampled,12,0.8
large/obqa/Text sampled,13,0.8
large/obqa/Text sampled,14,0.8
large/obqa/Text sampled,15,0.8
large/obqa/Text sampled,16,0.8
large/obqa/Text sampled,17,0.8
large/obqa/Text sampled,18,0.75
large/obqa/Text sampled,19,0.8
large/obqa/Text sampled,20,0.8
large/obqa/Text sampled,21,0.75
large/obqa/Text sampled,22,0.8
large/obqa/Text sampled,23,0.8
large/obqa/Text sampled,24,0.8
large/obqa/Text sampled,25,0.8
large/obqa/Text sampled,26,0.8
large/obqa/Text sampled,27,0.8
large/obqa/Text sampled,28,0.75
large/obqa/Text sampled,29,0.8
large/obqa/Text sampled,30,0.8
large/obqa/Text sampled,31,0.8
large/obqa/Text sampled,32,0.8
large/obqa/Text sampled,33,0.8
large/obqa/Text sampled,34,0.85
large/obqa/Text sampled,35,0.75
large/obqa/Text sampled,36,0.8
large/obqa/Text sampled,37,0.75
large/obqa/Text sampled,38,0.8
large/obqa/Text sampled,39,0.8
large/obqa/Text sampled,40,0.8
large/obqa/Text sampled,41,0.75
large/obqa/Text sampled,42,0.85
large/obqa/Text sampled,43,0.8
large/obqa/Text sampled,44,0.8
large/obqa/Text sampled,45,0.8
large/obqa/Text sampled,46,0.8
large/obqa/Text sampled,47,0.8
large/obqa/Text sampled,48,0.75
large/obqa/Text sampled,49,0.8
large/obqa/Text sampled,50,0.8
large/obqa/Text sampled,51,0.8
large/obqa/Text sampled,52,0.8
large/obqa/Text sampled,53,0.7
large/obqa/Text sampled,54,0.8
large/obqa/Text sampled,55,0.75
large/obqa/Text sampled,56,0.75
large/obqa/Text sampled,57,0.8
large/obqa/Text sampled,58,0.75
large/obqa/Text sampled,59,0.8
large/obqa/Text sampled,60,0.8
large/obqa/Text sampled,61,0.8
large/obqa/Text sampled,62,0.8
large/obqa/Text sampled,63,0.8
large/obqa/Text sampled,64,0.8
large/obqa/Text sampled,65,0.8
large/obqa/Text sampled,66,0.8
large/obqa/Text sampled,67,0.8
large/obqa/Text sampled,68,0.8
large/obqa/Text sampled,69,0.75
large/obqa/Text sampled,70,0.8
large/obqa/Text sampled,71,0.8
large/obqa/Text sampled,72,0.8
large/obqa/Text sampled,73,0.8
large/obqa/Text sampled,74,0.75
large/obqa/Text sampled,75,0.8
large/obqa/Text sampled,76,0.8
large/obqa/Text sampled,77,0.8
large/obqa/Text sampled,78,0.8
large/obqa/Text sampled,79,0.8
large/obqa/Text sampled,80,0.8
large/obqa/Text sampled,81,0.8
