N,d_count,AUROC_disagreement,AP_disagreement,AP_random_baseline,in_sample,split,family,Spearman_D
2100,203,0.9078049084502106,0.46799955334021426,0.09666666666666666,True,fit,ProbeMax,0.6899095486896996
2100,203,0.9115040341114178,0.47670606646669283,0.09666666666666666,True,fit,ProbeEntropy,0.7617956595300562
2100,203,0.9979329561064787,0.9816864642767399,0.09666666666666666,True,fit,WordD,0.15822374832299038
2100.0,203.0,0.7939448078506119,0.2548661926287439,0.09666666666666666,True,fit,D,0.9999999999999998
2100.0,203.0,0.7926438166563227,0.24814113976101085,0.09666666666666666,True,fit,R2100,0.9839295421932878
1366,143,0.9186226692359153,0.5410299533174374,0.10468521229868229,False,cal,ProbeMax,0.6779411797817942
1366,143,0.9209126931939687,0.5350776400919693,0.10468521229868229,False,cal,ProbeEntropy,0.7435359497409411
1366,143,0.5245469983818308,0.11129520672964227,0.10468521229868229,False,cal,WordD,0.07115375489482643
1366.0,143.0,0.7676697791170399,0.2561154244081586,0.10468521229868229,False,cal,D,1.0
1366.0,143.0,0.7674467805293643,0.25889705451116685,0.10468521229868229,False,cal,R2100,0.9856544633096296
742,72,0.8727300995024876,0.3929204236654057,0.09703504043126684,False,dev,ProbeMax,0.691014362210976
742,72,0.8767412935323383,0.39308013056901564,0.09703504043126684,False,dev,ProbeEntropy,0.7538596996662557
742,72,0.5376036484245439,0.12480031808850542,0.09703504043126684,False,dev,WordD,0.0576705375242132
742.0,72.0,0.7631426202321725,0.2818580583596058,0.09703504043126684,False,dev,D,0.9999999999999999
742.0,72.0,0.7691749585406302,0.2897698216504391,0.09703504043126684,False,dev,R2100,0.9869815202593426
