dataset,split,id,representative,primary,group_sha256
arc,fit,Mercury_7181965,Mercury_7181965,True,9dd7069ab7175141483ef405a52cd848f8d8a370b7d18134f5b7ef7a16d5bd1e
arc,fit,Mercury_7009923,Mercury_7009923,True,42289aa7cb3e7e16adb1a70aa179af30e6c674d866fd86ec26fa1dc1bfcded1f
arc,fit,Mercury_7230195,Mercury_7230195,True,d186cfa3bae934fa19372b2bb305768d3b199c2ac6e302e5fcae3e547ae6e9a1
arc,fit,NYSEDREGENTS_2016_4_13,NYSEDREGENTS_2016_4_13,True,2c16fed089064ea482008fe0afcffbd2b0bf0eae85799143b865779b044e7e8c
arc,fit,Mercury_7133368,Mercury_7133368,True,dd7cdc183d598fe604724ed905650f8e2cd77808fe56b424e8a2134458bdec62
arc,fit,Mercury_7228288,Mercury_7228288,True,2b648e2c66170bf67aee5efbc1b16f142c5fd37f2dd8dc3943b684082137c5c0
arc,fit,Mercury_184293,Mercury_184293,True,2350574690f7daf86a1d4bdf29659c95fa2fca6d6291d3501748ca574e729657
arc,fit,Mercury_SC_407691,Mercury_SC_407691,True,7a0d5e1fce2848aadd3a8d31cc316c6d1c951324352182f91fe0993186b07bc9
arc,fit,Mercury_7221743,Mercury_7221743,True,37bdcf768b4475907e99b13b841123971c00fd26c72d96c29c8740d581871c3c
arc,fit,Mercury_7043995,Mercury_7043995,True,d2ad961cc5d158a01529b3a3752122519544d2d56fa5cac1806c4408ca63d4e2
arc,fit,MCAS_2004_8_36,MCAS_2004_8_36,True,f676c06f52297c1880f449acc69b31c4083124108c7354409ecab15f455b8c47
arc,fit,TIMSS_1995_8_I17,TIMSS_1995_8_I17,True,40b72ceafeaa5ca5f530adf12edd3cc47e5d70d9e6642afa72e70544bc64e812
arc,fit,TIMSS_2003_8_pg27,TIMSS_2003_8_pg27,True,3abbce442feb7df41e7b0bb8324e177ac8619e9d88daeafcc51689cb00c314e7
arc,fit,Mercury_7230300,Mercury_7230300,True,7b9011d50955616ca4a80eab075cb17c2e0de12e0ff17d858597c82e5c98ac46
arc,fit,Mercury_402062,Mercury_402062,True,72e99cb479664ccf16440004155c632fe5fa7e148f9b07322106e0262197bd26
arc,fit,Mercury_7234430,Mercury_7234430,True,5d0e5d8bec5d64aa02431d001143de94293e2043061359279f49859e5db01e6d
arc,fit,Mercury_7011358,Mercury_7011358,True,163056f43ea63dc548fd17239707a079b3e9d108ef353694ecffb6fe000c4572
arc,fit,Mercury_7120698,Mercury_7120698,True,52f1a010b6e765baee9ba5e4cba3cc22c50dc5754a983eff1365553ce60fbae3
arc,fit,Mercury_7216598,Mercury_7216598,True,510c72c268a96551b37d99740bc8047c1dd3b05cc1da968f0b0da9ddd7ab5c1d
arc,fit,MCAS_1999_8_6,MCAS_1999_8_6,True,27138396c67c24ff9331f3af17312a43336c0e1121335480a8f51a3130c30d20
arc,fit,MEA_2016_5_1,MEA_2016_5_1,True,ef2f1b35ff2257ba4d47db76e308978a541a84bb92b1776340283b5710d34b0f
arc,fit,Mercury_405142,Mercury_405142,True,d32aa310e7d95aa9f4589c5739eb51045ed3ad88b0299be70f4c71bb2eb9eeaf
arc,fit,MEA_2014_8_15,MEA_2014_8_15,True,3c87842f128960e3d57ebea03dc1513478d1961deba7e609e78f856219a53451
arc,fit,Mercury_7247975,Mercury_7247975,True,657c2c995d432c7a53017b1371760c9288eae710a23458f04ef476776ce04fd8
arc,fit,Mercury_7174195,Mercury_7174195,True,61bf85214b90f77f57fc0b6bfaf753dd79fb138c1560bb7217a88a855abe46d7
arc,fit,Mercury_SC_401133,Mercury_SC_401133,True,6d666da493a2ea1db4596d38b5467dcd08e0043def1c213b35dc7cfdb7e02898
arc,fit,MSA_2013_8_5,MSA_2013_8_5,True,3160693ee3f451dd93fd67fba4396792231f170cc72eddd11e9f396fdfa1750b
arc,fit,Mercury_7283588,Mercury_7283588,True,94778c051abb83d1a07b462691e5918ad6a825787d5ba1517c08750c4ce59210
arc,fit,Mercury_7188073,Mercury_7188073,True,126ca980260f978725c8b50251e057ca8bd6e50b1a8bb9eaede54cf92a777cc2
arc,fit,ACTAAP_2008_7_10,ACTAAP_2008_7_10,True,77767a5ab4b91588a44686d871990c1ff44dfd5e32243a1f82261515eeffb064
arc,fit,VASoL_2007_5_28,VASoL_2007_5_28,True,ffac4f7b38c000f3deeb3edcfb4d60b01916c3c7911d86136c41504446206b69
arc,fit,ACTAAP_2009_7_4,ACTAAP_2009_7_4,True,6451048df42cafd0b427134b7eff2feca3d0d7e490c15b6fceb410ff8477ed0f
arc,fit,Mercury_SC_412487,Mercury_SC_412487,True,2ae7b52e0100bc101974e65910bc2dc3fe696c2e520ad16b393d5f4e592074f8
arc,fit,Mercury_SC_407137,Mercury_SC_407137,True,27f9bad7a251c1f75e4126b03eb34b9b09b321a356b28a58713b9064b337cb2b
arc,fit,Mercury_405061,Mercury_405061,True,75d357e817d4ceea427aa08a66381a3c39d4f1970f816e6fdc003881318136a8
arc,fit,Mercury_SC_412698,Mercury_SC_412698,True,ce349cc7620c527b686b217d2fe360187716188573eefcd1f833c1b6366c5ac2
arc,fit,NCEOGA2013_8_50,NCEOGA2013_8_50,True,31ce273a06b8dc9fd8a0d432640e1022f3c669158df5cabfc5f47050a5e022d7
arc,fit,Mercury_186218,Mercury_186218,True,e5d95e27bdce9aa0f33dd88e6e49fe53833bf8b172631d01298de83647de28b4
arc,fit,Mercury_7248010,Mercury_7248010,True,8a014701774ae6ead23d4006a25776b4354be47fe1d28f7207390163b74ee6d5
arc,fit,Mercury_7044048,Mercury_7044048,True,57af4d5f1793ab275c5affff1f77be7df7cc9e095fecc3f40d8f94d9f6a5598d
arc,fit,Mercury_7268293,Mercury_7268293,True,89da2d6c41235033370b1b57d369e1ce4a66ed446bd1e1b9703a958aa9c4ba81
arc,fit,Mercury_7164430,Mercury_7164430,True,970c5c37a1765a402d8cf584c8cd6de46baa55cf9d57909bfa0baafadf447c19
arc,fit,Mercury_7100398,Mercury_7100398,True,d73ff56f955f5cefc789678997268687634abf3cd78ead6044256f025183c3dc
arc,fit,Mercury_405773,Mercury_405773,True,073f07f6864d1cf2781372c480c84b124a533a5ee3e6830db1f821c12eb71edf
arc,fit,Mercury_7188720,Mercury_7188720,True,d7d358d74c561d6476a00cece124efec8be5e776d0024792319fa01b6b77a22c
arc,fit,Mercury_7168665,Mercury_7168665,True,9bd5d26174b277850729a27575737e8ae21de9669650b9742949e38fe840f7e5
arc,fit,Mercury_400025,Mercury_400025,True,4aab82b5575c12dd62d13dbca47e03e0d3643cbed6bdf21573069b9ac48eada1
arc,fit,ACTAAP_2013_7_6,ACTAAP_2013_7_6,True,4e1717c25879947ab9076cc0bc7af8d56c029fb3cc3a804cc89f87bbe2e8fa02
arc,fit,Mercury_7033810,Mercury_7033810,True,9a41a8125c380e472ebb376e4d657bc98c0507ec48bfe46e8a1cd2a517c0bed6
arc,fit,Mercury_401376,Mercury_401376,True,937713d157343bed66d7cc1d72c9b337dffe28cfc330a1c839e35a34f5566566
arc,fit,Mercury_412647,Mercury_412647,True,77b07538e2f449092720ee7ba7a5cc1fdaf82c4f52033c35c93fbf9be6fb2992
arc,fit,Mercury_402398,Mercury_402398,True,8c53c632faa716f0fe05900be1ae91b7d82642190a5d1d9fba91fab622b064ad
arc,fit,Mercury_SC_406987,Mercury_SC_406987,True,4ea87695819530b92ac8b46734a3ef1a285680513ac714e5ad9ca792112dc811
arc,fit,Mercury_7233573,Mercury_7233573,True,64b2774394313e16ea2cb1d1dbf11aecf30c12aaa93600fa06cdc24c377a7b92
arc,fit,NAEP_2005_4_S12+12,NAEP_2005_4_S12+12,True,2223b69afe0e4eb8708209da980d57cfedbb0bfb1d9874ee76fa013a16cf7f14
arc,fit,Mercury_416647,Mercury_416647,True,fe1a007bc98921c1a2fed70f49d0925707985f1df2ad2785dc9ca935fc4a2f70
arc,fit,Mercury_7090685,Mercury_7090685,True,d9523629f8124d18852a5a45306d9856f1759fbe7989b1b884dccea325af6629
arc,fit,Mercury_7056613,Mercury_7056613,True,3605204c4ed7484880434e1c03b453d6ee9b1b1d8f161297b4d91533f6b7b502
arc,fit,Mercury_7211103,Mercury_7211103,True,5788544fb4d6d84dd71922e3b3d7bc2d14d0ae284d53d2dd82f7fd997ef5666a
arc,fit,NCEOGA_2013_5_38,NCEOGA_2013_5_38,True,257d9f5cdeba4cea6f998410c2512849a92c143f83d9155f645aefaa45cb5fbb
arc,fit,Mercury_7142730,Mercury_7142730,True,12ae0cb11307b1ebdfcab76d3a14a17aa3fd9401612133a5d0cbd1d0d17e59db
arc,fit,NYSEDREGENTS_2011_4_24,NYSEDREGENTS_2011_4_24,True,f82fa45a7a273b8fcf2d5056eeee11722c90362969daf30a3155b6e9f8ec52dd
arc,fit,MCAS_1998_4_9,MCAS_1998_4_9,True,97a14c5bb4f77867f89837075423e50aad88f59e3a9d86354493119e9e6aeb2d
arc,fit,Mercury_7267680,Mercury_7267680,True,5e592a375b57daf6dcba81375e0ac4983e833b71b4a63e22d41c73e97c8c918d
arc,fit,Mercury_7161210,Mercury_7161210,True,02928a9ac87679925000a7650346ffbe0ad8c3530e91b036ede0ed4d8ba290d8
arc,fit,Mercury_SC_402240,Mercury_SC_402240,True,9f48ed8572a9830e883172eb261043aa580d84de3463a0a90a2c241e77451a0d
arc,fit,Mercury_7038010,Mercury_7038010,True,7883655e9f4e31a47bad447c012d702e2d4f3c4c963272830b1ec70182a3dc76
arc,fit,MCAS_1998_8_25,MCAS_1998_8_25,True,d405b105e92fb460449e5d61ad06a358e9b62c6d90e7ae354a1d2f1b1b51de36
arc,fit,MEA_2014_5_14,MEA_2014_5_14,True,af1d3c480b7d30a4c114a3bd74a165959d676df64c61dd39bd903625685a7a6d
arc,fit,Mercury_400940,Mercury_400940,True,fa8603287030a29a0514afb55423eba8854302b0fcc632ab5ddd476a2036b258
arc,fit,Mercury_7006808,Mercury_7006808,True,b33f3a8c23b2ddee5ad4e4ebb0f77e7c1b322f34e938b3c6db63db8e791a7acf
